# Scan number: 5
# Command: ascan monoE 8.969 9.004 70 1
# Date: Thu Jul 25 15:06:24 2024
# date: Thu Jul 25 15:06:24 2024
# C Thu Jul 25 15: 07:09 2024.  Scan aborted after 17 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.969	12.734319	-56.7072	12.5997	0	0	0	86482672	1	0	0	0	297.25262	12.733537	4.568142e-08	1.658481e-09	-1790.667	7.7091023e+08	1.1686323e+09	1.0120467	26.36321	0.74523872	11392	797	950	1730	12	12	24	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.261	4.56422e-08	1.65682e-09	0	7	1.2283905e+08	1.2283905e+08
8.9695	12.733594	-56.7104	12.5997	0	0	0	86482674	1	0	0	0	297.23671	12.733537	4.55118e-08	1.658957e-09	-1790.667	7.7091023e+08	1.1690636e+09	1.0122163	27.290325	0.7359792	11428	823	992	1744	10	10	23	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.241	4.55377e-08	1.65673e-09	0	5	1.2237928e+08	1.2237928e+08
8.97	12.732874	-56.7135	12.5996	0	0	0	86482676	1	0	0	0	297.22155	12.733537	4.548883e-08	1.655296e-09	-1790.667	7.7091023e+08	1.1665795e+09	1.0120221	26.82879	0.7405088	11625	796	1015	1827	18	19	22	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.222	4.54581e-08	1.65706e-09	0	14	1.2231387e+08	1.2231387e+08
8.9705	12.732154	-56.7167	12.5996	0	0	0	86482678	1	0	0	0	297.2053	12.733537	4.547155e-08	1.654037e-09	-1790.667	7.7091023e+08	1.1657879e+09	1.0121872	26.945593	0.73944736	11763	769	1005	1979	13	13	11	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.205	4.54656e-08	1.65562e-09	0	10	1.2226377e+08	1.2226377e+08
8.971	12.731429	-56.7199	12.5995	0	0	0	86482681	1	0	0	0	297.1815	12.731037	4.543699e-08	1.653479e-09	-1790.667	7.7091023e+08	1.1654904e+09	1.0122282	27.615877	0.73269248	11670	837	998	1999	18	19	18	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.19	4.53156e-08	1.65395e-09	0	8	1.221672e+08	1.221672e+08
8.9715	12.730709	-56.723	12.5995	0	0	0	86482683	1	0	0	0	297.16561	12.731037	4.523486e-08	1.657146e-09	-1790.667	7.7091023e+08	1.168171e+09	1.0120298	27.490449	0.73381824	11647	805	982	2013	13	15	24	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.174	4.52541e-08	1.65274e-09	0	10	1.2162011e+08	1.2162011e+08
8.972	12.729989	-56.7262	12.5994	0	0	0	86482685	1	0	0	0	297.15092	12.731037	4.52419e-08	1.656819e-09	-1790.667	7.7091023e+08	1.1680365e+09	1.0117971	27.910892	0.72939552	11837	783	1010	2087	15	15	13	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.155	4.51794e-08	1.65371e-09	0	10	1.2163541e+08	1.2163541e+08
8.9725	12.729264	-56.7294	12.5994	0	0	0	86482687	1	0	0	0	297.13596	12.731037	4.51264e-08	1.653767e-09	-1790.667	7.7091023e+08	1.1659806e+09	1.011791	27.94898	0.72900576	11998	808	987	2218	13	14	17	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.136	4.50577e-08	1.6538e-09	0	7	1.2132127e+08	1.2132127e+08
8.973	12.728544	-56.7325	12.5993	0	0	0	86482689	1	0	0	0	297.11924	12.728537	4.496292e-08	1.651484e-09	-1790.667	7.7091023e+08	1.1644666e+09	1.0118317	28.317311	0.72530816	11934	805	938	2350	16	16	15	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.119	4.50057e-08	1.6545e-09	0	9	1.2087816e+08	1.2087816e+08
8.9735	12.727824	-56.7357	12.5993	0	0	0	86482692	1	0	0	0	297.09486	12.728537	4.487288e-08	1.654367e-09	-1790.667	7.7091023e+08	1.1665952e+09	1.0119174	28.82983	0.72018336	12163	828	950	2350	18	19	19	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.104	4.49535e-08	1.65293e-09	0	11	1.2063251e+08	1.2063251e+08
8.974	12.727104	-56.7388	12.5992	0	0	0	86482694	1	0	0	0	297.08098	12.728537	4.485355e-08	1.655225e-09	-1790.667	7.7091023e+08	1.1672962e+09	1.0118323	28.613468	0.722312	12175	776	1002	2584	13	14	17	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.085	4.48316e-08	1.65188e-09	0	10	1.2057696e+08	1.2057696e+08
8.9745	12.726384	-56.742	12.5992	0	0	0	86482696	1	0	0	0	297.06436	12.728537	4.472508e-08	1.655007e-09	-1790.667	7.7091023e+08	1.1672383e+09	1.0117869	29.989335	0.70835872	12303	814	921	2755	15	16	17	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.064	4.47353e-08	1.65326e-09	0	6	1.2022802e+08	1.2022802e+08
8.975	12.725659	-56.7452	12.5992	0	0	0	86482698	1	0	0	0	297.04882	12.726037	4.47078e-08	1.651596e-09	-1790.667	7.7091023e+08	1.1649283e+09	1.0121088	30.158845	0.70686848	12477	793	986	2768	16	16	17	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.049	4.46043e-08	1.65466e-09	0	9	1.20178e+08	1.20178e+08
8.9755	12.724939	-56.7483	12.5991	0	0	0	86482700	1	0	0	0	297.03308	12.726037	4.438562e-08	1.650877e-09	-1790.667	7.7091023e+08	1.1645169e+09	1.0121507	31.11154	0.69725504	12738	774	962	3088	19	19	10	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.033	4.4392e-08	1.6542e-09	0	7	1.1930841e+08	1.1930841e+08
8.976	12.724219	-56.7515	12.5991	0	0	0	86482703	1	0	0	0	297.00792	12.726037	4.399794e-08	1.652342e-09	-1790.667	7.7091023e+08	1.165646e+09	1.0118589	31.11792	0.69698944	12775	724	900	3356	19	19	23	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.016	4.41197e-08	1.65083e-09	0	6	1.1826281e+08	1.1826281e+08
8.9765	12.723499	-56.7546	12.599	0	0	0	86482705	1	0	0	0	296.99248	12.726037	4.375124e-08	1.655312e-09	-1790.667	7.7091023e+08	1.1678372e+09	1.0120966	32.646748	0.68168	13192	781	927	3571	16	17	21	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.002	4.36939e-08	1.65017e-09	0	7	1.175962e+08	1.175962e+08
8.977	12.722779	-56.7578	12.599	0	0	0	86482707	1	0	0	0	296.97655	12.723537	4.335539e-08	1.654625e-09	-1790.667	7.7091023e+08	1.1674484e+09	1.0117901	32.607459	0.68187104	13383	713	924	3943	24	24	21	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.985	4.32162e-08	1.65172e-09	0	10	1.1652876e+08	1.1652876e+08
8.9775	12.722059	-56.761	12.5989	0	0	0	86482709	1	0	0	0	296.96338	12.723537	4.276194e-08	1.651879e-09	-1790.667	7.7091023e+08	1.1656067e+09	1.0120122	35.238217	0.65539712	13752	712	871	4460	22	24	16	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.963	4.27619e-08	1.65215e-09	0	10	1.149303e+08	1.149303e+08
