# Scan number: 20
# Command: k-scan 3 12 8.979 180 1 10
# Date: Thu Jul 25 17:01:22 2024
# date: Thu Jul 25 17:01:22 2024
# C Thu Jul 25 17: 23:11 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86489568	1	0	0	0	297.7372	12.673537	1.031148e-08	1.566475e-09	-1790.667	7.7091023e+08	1.1118807e+09	1.0118371	92.673034	0.07413696	8443	123	154	4862	108	123	10	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	297.745	1.02986e-08	1.56663e-09	0	10	27655635	27655635
9.01444	12.669064	25	-58.6672	12.589	86489570	1.0200544	0	0	0	297.7158	12.671037	1.027532e-08	1.568083e-09	-1790.667	7.7091023e+08	1.1132335e+09	1.028039	92.75847	0.07444576	8276	133	150	5045	95	114	8	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.722	1.02671e-08	1.56986e-09	0	11	27556806	27556806
9.0156	12.667399	25	-58.6672	12.5889	86489573	1.0404384	0	0	0	297.70123	12.668537	1.014864e-08	1.569985e-09	-1790.667	7.7091023e+08	1.1147973e+09	1.0522058	93.034488	0.07329152	8816	107	115	5872	98	108	4	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.701	1.01503e-08	1.57213e-09	0	7	27215232	27215232
9.01678	12.665709	25	-58.6672	12.5888	86489576	1.061152	0	0	0	297.67744	12.668537	1.003703e-08	1.570685e-09	-1790.667	7.7091023e+08	1.1155118e+09	1.0681104	93.055939	0.07417024	9279	120	81	5982	136	144	5	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.681	1.00232e-08	1.57125e-09	0	12	26914083	26914083
9.01799	12.663989	25	-58.6672	12.5887	86489578	1.0821956	0	0	0	297.65461	12.666037	9.832412e-09	1.570578e-09	-1790.667	7.7091023e+08	1.1156588e+09	1.0920896	93.369277	0.07241344	9196	97	111	6178	121	138	6	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.662	9.82122e-09	1.57045e-09	0	9	26363549	26363549
9.01921	12.662244	25	-58.6672	12.5887	86489581	1.1035684	0	0	0	297.63938	12.663537	9.521354e-09	1.569619e-09	-1790.667	7.7091023e+08	1.1152024e+09	1.1158579	93.35491	0.07414976	9048	129	149	5148	137	153	7	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.639	9.54956e-09	1.57171e-09	0	10	25527702	25527702
9.02045	12.660474	25	-58.6672	12.5886	86489584	1.1252712	0	0	0	297.61721	12.663537	9.283294e-09	1.573552e-09	-1790.667	7.7091023e+08	1.1182259e+09	1.1320397	93.707556	0.07123296	8770	122	164	5494	107	121	2	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.617	9.28656e-09	1.57321e-09	0	6	24887646	24887646
9.02171	12.658679	25	-58.6672	12.5885	86489587	1.1473032	0	0	0	297.59483	12.661037	9.105101e-09	1.572447e-09	-1790.667	7.7091023e+08	1.1176735e+09	1.1562173	93.814533	0.07151744	9044	107	122	5812	129	146	2	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.598	9.08889e-09	1.57133e-09	0	6	24408142	24408142
9.02299	12.656859	25	-58.6672	12.5884	86489589	1.1696652	0	0	0	297.58164	12.658537	9.054482e-09	1.571211e-09	-1790.667	7.7091023e+08	1.1170313e+09	1.1801581	94.029085	0.07046624	8787	161	177	4695	114	136	10	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.582	9.05529e-09	1.57221e-09	0	6	24270645	24270645
9.02428	12.655009	25	-58.6672	12.5883	86489592	1.1923568	0	0	0	297.55981	12.656037	8.83324e-09	1.567514e-09	-1790.667	7.7091023e+08	1.1146407e+09	1.2042758	94.068469	0.071432	9205	121	131	5507	122	146	5	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	297.56	8.84013e-09	1.57039e-09	0	7	23675833	23675833
9.0256	12.653134	25	-58.6672	12.5882	86489595	1.2153784	0	0	0	297.5342	12.656037	8.682981e-09	1.566427e-09	-1790.667	7.7091023e+08	1.1141109e+09	1.2201229	94.261378	0.07001824	9260	97	96	5926	137	164	3	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	297.534	8.68689e-09	1.56968e-09	0	8	23271313	23271313
9.02693	12.651229	25	-58.6672	12.5881	86489598	1.2387292	0	0	0	297.51437	12.653537	8.57089e-09	1.564258e-09	-1790.667	7.7091023e+08	1.112813e+09	1.2438173	94.336583	0.07044256	9478	119	121	6032	141	163	8	0	0	16.997457	0	9.0253158	0	0	0	0	0	0	297.846	-5.22782e-13	297.514	8.57354e-09	1.56736e-09	0	11	22969129	22969129
9.02829	12.649304	25	-58.6672	12.588	86489601	1.2624096	0	0	0	297.49341	12.651037	8.536066e-09	1.563395e-09	-1790.667	7.7091023e+08	1.1124494e+09	1.2679008	94.301131	0.072256	9689	115	108	6383	138	161	10	0	0	16.997457	0	9.0270703	0	0	0	0	0	0	297.846	-5.22782e-13	297.493	8.53229e-09	1.5653e-09	0	7	22874004	22874004
9.02966	12.647349	25	-58.6672	12.5879	86489605	1.28642	0	0	0	297.46172	12.648537	8.582546e-09	1.562583e-09	-1790.667	7.7091023e+08	1.1121237e+09	1.2922854	93.286164	0.08676192	11609	108	146	8009	159	186	1	0	0	16.997457	0	9.0288254	0	0	0	0	0	0	297.846	-5.22782e-13	297.469	8.57062e-09	1.56407e-09	0	8	22996735	22996735
9.03105	12.645369	25	-58.6672	12.5878	86489608	1.31076	0	0	0	297.42961	12.648537	8.666362e-09	1.560922e-09	-1790.667	7.7091023e+08	1.1111971e+09	1.3162118	93.850546	0.08093984	9548	175	175	4838	125	142	10	0	0	16.997457	0	9.0288254	0	0	0	0	0	0	297.846	-5.22782e-13	297.44	8.66623e-09	1.56239e-09	0	13	23219454	23219454
9.03246	12.643364	25	-58.6672	12.5877	86489612	1.3354296	0	0	0	297.40986	12.646037	8.757027e-09	1.559945e-09	-1790.667	7.7091023e+08	1.1107608e+09	1.340041	93.916914	0.08151584	10748	101	99	7011	144	170	6	0	0	16.997457	0	9.0305812	0	0	0	0	0	0	297.846	-5.22782e-13	297.416	8.7435e-09	1.56033e-09	0	9	23460460	23460460
9.03389	12.641329	25	-58.6672	12.5876	86489615	1.3604288	0	0	0	297.38625	12.643537	8.82973e-09	1.557421e-09	-1790.667	7.7091023e+08	1.1092262e+09	1.3720595	93.418268	0.09030528	11093	154	191	6694	143	167	11	0	0	16.997457	0	9.0323377	0	0	0	0	0	0	297.846	-5.22782e-13	297.39	8.83061e-09	1.55747e-09	0	10	23653283	23653283
