monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,21409453.0,,1.0118371,,21158991.897015836,
7.093,21201178.0,,1.0122355,,20944906.595352564,
7.094,21222635.0,,1.0118454,,20974187.361033615,
7.095,21415463.0,,1.0121981,,21157383.124904107,
7.096,21129229.0,,1.0121027,,20876566.182463497,
7.097,21201330.0,,1.011921,,20951566.377217192,
7.098,20825416.0,,1.0119914,,20578649.18614921,
7.099,21339729.0,,1.0121827,,21082882.566556413,
7.1,21232623.0,,1.0119418,,20982059.442548968,
7.101,20778674.0,,1.012224,,20527742.871143147,
7.102,20630579.0,,1.0120653,,20384632.295959562,
7.103,25557275.0,,1.0119286,,25256006.20439031,
7.104,21024267.0,,1.0121325,,20772247.704722453,
7.105,21059385.0,,1.0119968,,20809734.7738649,
7.106,20874227.0,,1.011799,,20630804.141929377,
7.107,20788464.0,,1.012056,,20540823.82793047,
7.108,20047558.0,,1.0122864,,19804235.244096927,
7.109,19741356.0,,1.0118026,,19511074.591031887,
7.11,18805205.0,,1.012135,,18579739.85683728,
7.111,17861072.0,,1.0118925,,17651155.631650593,
7.112,15533853.0,,1.0121635,,15347177.60519916,
7.113,11066282.0,,1.0120314,,10934721.985898858,
7.114,7828873.9,,1.0119341,,7736545.195976695,
7.115,6458016.7,,1.0121114,,6380737.0413968265,
7.116,5525936.1,,1.0119146,,5460871.994533925,
7.117,5054210.3,,1.0120406,,4994078.597242047,
7.118,4824399.0,,1.0122659,,4765940.451021811,
7.119,4217846.1,,1.011937,,4168091.590682028,
7.12,3300812.3,,1.0120554,,3261493.6889818483,
7.121,2459738.8,,1.0118515,,2430928.6491150134,
7.122,1866455.4,,1.0120637,,1844207.4347691752,
7.123,1433168.1,,1.0122182,,1415868.732650727,
7.124,1171638.4,,1.0120906,,1157641.815861149,
7.125,1060434.1,,1.0119261,,1047936.3068113375,
7.126,927723.87,,1.0119779,,916743.2114871283,
7.127,869213.86,,1.0119251,,858970.550290728,
7.128,789203.87,,1.0119667,,779871.3831196224,
7.129,718947.75,,1.0118771,,710508.9639838672,
7.13,642816.22,,1.0119533,,635223.2064463843,
7.131,568624.38,,1.0118531,,561963.37195587,
7.132,541319.46,,1.0119344,,534935.3278236218,
