monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
19.96,166051420.0,,1.0051824,,165195311.81604454,
19.962,166826020.0,,1.011944,,164856968.3697912,
19.964,166564260.0,,1.011881,,164608545.86655942,
19.966,164775750.0,,1.0120909,,162807263.6558633,
19.968,163101560.0,,1.0119357,,161177790.2489259,
19.97,161772410.0,,1.0120074,,159852991.19354266,
19.972,159289540.0,,1.012263,,157359836.32712054,
19.974,160395110.0,,1.0120026,,158492784.50470385,
19.976,158069320.0,,1.0122874,,156150634.6912942,
19.978,158973160.0,,1.0120214,,157084781.01352403,
19.98,157525880.0,,1.0122778,,155615266.87634563,
19.982,157823950.0,,1.0121277,,155932843.2568341,
19.984,157559220.0,,1.011879,,155709546.29950815,
19.986,155821770.0,,1.0118371,,153998869.97620466,
19.988,154704390.0,,1.0119386,,152879226.07162136,
19.99,154077590.0,,1.0122608,,152211356.99416593,
19.992,153753850.0,,1.0122198,,151897690.60040122,
19.994,151305590.0,,1.0122208,,149478839.0042963,
19.996,149231980.0,,1.0119558,,147468871.66415766,
19.998,146275340.0,,1.0119318,,144550591.2552605,
20.0,141393860.0,,1.0118736,,139734705.99489897,
20.002,134267860.0,,1.0121405,,132657333.64093225,
20.004,126096610.0,,1.0122733,,124567752.60199,
20.006,117675320.0,,1.0045126,,117146683.87434861,
20.008,108555130.0,,1.0118218,,107286806.82705195,
20.01,99560799.0,,1.0121373,,98366890.53945546,
20.012,92589705.0,,1.0119325,,91497906.23386443,
20.014,83297352.0,,1.0118557,,82321374.4805707,
20.016,75507472.0,,1.0120032,,74611890.55528678,
20.018,71235734.0,,1.0118048,,70404621.52383544,
20.02,67440278.0,,1.0120522,,66637153.69622239,
20.022,66572138.0,,1.0119498,,65786008.35733156,
20.024,66428752.0,,1.0117894,,65654722.217884466,
20.026,66067680.0,,1.0118256,,65295521.283509724,
20.028,64937311.0,,1.0121315,,64158966.49793036,
20.03,65823978.0,,1.0120752,,65038623.61215847,
20.032,63458948.0,,1.0119462,,62709804.13780891,
20.034,63793823.0,,1.0121088,,63030598.093801774,
20.036,64012660.0,,1.0122349,,63238937.91846142,
20.038,62851358.0,,1.01192,,62110994.94031149,
20.04,61137274.0,,1.0121632,,60402585.27478573,
