# Scan number: 15
# Command: ascan monoE 8.989 9.019 60 2
# Date: Thu Jul 25 19:35:48 2024
# date: Thu Jul 25 19:35:48 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.989	12.705509	-58.6672	12.5908	0	0	0	86498832	2	0	0	0	297.41306	12.708537	1.003387e-08	1.221956e-09	-1790.667	7.7091023e+08	8.6387509e+08	2.0120579	76.829931	0.4661952	33286	464	514	22832	245	289	9	0	0	16.997457	0	8.9868946	0	0	0	0	0	0	297.846	-5.22782e-13	297.416	1.00186e-08	1.21814e-09	0	19	26949449	26949449
8.9895	12.704789	-58.6672	12.5908	0	0	0	86498836	2	0	0	0	297.38545	12.706037	9.656045e-09	1.21808e-09	-1790.667	7.7091023e+08	8.612058e+08	2.0122566	77.751959	0.44768768	32919	403	464	22758	257	297	11	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	297.396	9.63634e-09	1.21557e-09	0	22	25933903	25933903
8.99	12.704074	-58.6672	12.5908	0	0	0	86498841	2	0	0	0	297.34928	12.706037	9.213679e-09	1.206354e-09	-1790.667	7.7091023e+08	8.5298551e+08	2.012024	77.600601	0.45068128	33944	428	458	23659	283	321	11	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	297.374	9.27284e-09	1.21275e-09	0	22	24745080	24745080
8.9905	12.703354	-58.6672	12.5907	0	0	0	86498844	2	0	0	0	297.32685	12.706037	8.867602e-09	1.206612e-09	-1790.667	7.7091023e+08	8.5323817e+08	2.0118586	79.655667	0.4092992	31809	325	465	22079	263	298	7	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	297.331	8.86198e-09	1.21219e-09	0	24	23814923	23814923
8.991	12.702634	-58.6672	12.5907	0	0	0	86498847	2	0	0	0	297.3069	12.703537	8.436434e-09	1.207072e-09	-1790.667	7.7091023e+08	8.5363373e+08	2.0119389	80.763376	0.38702912	30897	391	460	21516	239	283	12	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.31	8.45617e-09	1.20711e-09	0	19	22656305	22656305
8.9915	12.701919	-58.6672	12.5906	0	0	0	86498850	2	0	0	0	297.28462	12.703537	8.022703e-09	1.206651e-09	-1790.667	7.7091023e+08	8.5340626e+08	2.0120179	81.687066	0.36845952	30457	325	400	21329	264	301	10	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.288	8.03161e-09	1.21012e-09	0	26	21544583	21544583
8.992	12.701199	-58.6672	12.5906	0	0	0	86498854	2	0	0	0	297.25629	12.703537	7.612332e-09	1.209148e-09	-1790.667	7.7091023e+08	8.5524269e+08	2.0122461	82.5975	0.35018112	29732	300	405	20889	265	305	12	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.267	7.57533e-09	1.20413e-09	0	27	20441949	20441949
8.9925	12.700484	-58.6672	12.5906	0	0	0	86498857	2	0	0	0	297.23125	12.703537	7.146749e-09	1.203709e-09	-1790.667	7.7091023e+08	8.5146574e+08	2.0120266	83.506349	0.33185664	28675	322	357	19798	291	333	9	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.243	7.14577e-09	1.20312e-09	0	27	19191119	19191119
8.993	12.699764	-58.6672	12.5905	0	0	0	86498860	2	0	0	0	297.20923	12.701037	6.762981e-09	1.205835e-09	-1790.667	7.7091023e+08	8.5303985e+08	2.0122278	84.436943	0.31316416	28224	286	349	20029	294	335	10	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	297.218	6.76982e-09	1.20114e-09	0	21	18160054	18160054
8.9935	12.699044	-58.6672	12.5905	0	0	0	86498863	2	0	0	0	297.18839	12.701037	6.41425e-09	1.197716e-09	-1790.667	7.7091023e+08	8.4736604e+08	2.0121245	85.279145	0.29620192	27168	269	329	18789	309	357	8	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	297.192	6.39056e-09	1.19364e-09	0	19	17223130	17223130
8.994	12.698329	-58.6672	12.5905	0	0	0	86498866	2	0	0	0	297.1674	12.701037	6.053728e-09	1.189459e-09	-1790.667	7.7091023e+08	8.4159365e+08	2.0121376	86.091782	0.27985248	26675	266	324	18822	289	331	11	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	297.171	6.07962e-09	1.19332e-09	0	23	16254601	16254601
