# Scan number: 20
# Command: k-scan 3 12 8.979 180 1 10
# Date: Thu Jul 25 20:09:04 2024
# date: Thu Jul 25 20:09:04 2024
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86500829	1	0	0	0	297.2071	12.671037	3.652893e-09	7.949339e-10	-1790.667	7.7091023e+08	5.6424243e+08	1.0122797	75.726392	0.2457168	16130	131	194	11656	104	113	3	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.207	3.6594e-09	7.92976e-10	0	5	9797145.9	9797145.9
9.01444	12.669064	25	-58.6672	12.589	86500832	1.0200544	0	0	0	297.18707	12.671037	3.70505e-09	7.938432e-10	-1790.667	7.7091023e+08	5.6357528e+08	1.027872	74.052551	0.26670656	17383	161	179	12502	144	158	3	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.194	3.72263e-09	7.97833e-10	0	13	9936366.4	9936366.4
9.0156	12.667399	25	-58.6672	12.5889	86500835	1.0404384	0	0	0	297.16424	12.668537	3.721933e-09	7.897185e-10	-1790.667	7.7091023e+08	5.6075445e+08	1.0520934	75.577409	0.25694848	16860	149	180	12209	129	145	4	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.167	3.73449e-09	7.94787e-10	0	8	9980969.7	9980969.7
9.01678	12.665709	25	-58.6672	12.5888	86500838	1.061152	0	0	0	297.14142	12.668537	3.703271e-09	7.939249e-10	-1790.667	7.7091023e+08	5.6385119e+08	1.068017	75.684611	0.25969248	16897	149	179	12196	134	148	1	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.15	3.69243e-09	7.94484e-10	0	12	9930242.6	9930242.6
9.01799	12.663989	25	-58.6672	12.5887	86500840	1.0821956	0	0	0	297.12957	12.666037	3.668642e-09	7.864607e-10	-1790.667	7.7091023e+08	5.5866174e+08	1.0920726	75.236197	0.27043872	17713	173	199	12817	139	156	3	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.13	3.65774e-09	7.89799e-10	0	14	9836693.4	9836693.4
9.01921	12.662244	25	-58.6672	12.5887	86500843	1.1035684	0	0	0	297.10794	12.663537	3.595606e-09	7.839205e-10	-1790.667	7.7091023e+08	5.5696959e+08	1.1081194	75.470079	0.2718208	17807	154	173	12892	143	164	3	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.111	3.62001e-09	7.86118e-10	0	8	9640179.1	9640179.1
9.02045	12.660474	25	-58.6672	12.5886	86500846	1.1252712	0	0	0	297.08556	12.663537	3.542606e-09	7.842367e-10	-1790.667	7.7091023e+08	5.5730845e+08	1.1321126	75.858911	0.27330432	18247	185	206	13261	136	150	4	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.09	3.53669e-09	7.84443e-10	0	16	9497396.7	9497396.7
9.02171	12.658679	25	-58.6672	12.5885	86500848	1.1473032	0	0	0	297.06297	12.661037	3.419519e-09	7.88333e-10	-1790.667	7.7091023e+08	5.6033613e+08	1.156192	76.049487	0.27691392	18653	161	205	13574	136	155	6	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.071	3.40813e-09	7.79501e-10	0	13	9166741.5	9166741.5
9.02299	12.656859	25	-58.6672	12.5884	86500851	1.1696652	0	0	0	297.04899	12.658537	3.323926e-09	7.755077e-10	-1790.667	7.7091023e+08	5.5133675e+08	1.1800931	76.647863	0.27557696	18806	164	202	13556	151	169	6	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.049	3.34023e-09	7.79718e-10	0	11	8909822.7	8909822.7
9.02428	12.655009	25	-58.6672	12.5883	86500854	1.1923568	0	0	0	297.02777	12.656037	3.346109e-09	7.77348e-10	-1790.667	7.7091023e+08	5.5276299e+08	1.2038973	76.9234	0.27781856	19145	164	177	13994	144	166	4	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	297.028	3.35068e-09	7.76746e-10	0	13	8968613.8	8968613.8
9.0256	12.653134	25	-58.6672	12.5882	86500857	1.2153784	0	0	0	297.00509	12.656037	3.260251e-09	7.720118e-10	-1790.667	7.7091023e+08	5.4908833e+08	1.2201974	77.238648	0.27773344	19309	162	208	14087	161	173	6	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	297.009	3.2736e-09	7.7803e-10	0	13	8737819.5	8737819.5
9.02693	12.651229	25	-58.6672	12.5881	86500860	1.2387292	0	0	0	296.9855	12.653537	3.229882e-09	7.744383e-10	-1790.667	7.7091023e+08	5.5093536e+08	1.2442275	77.261754	0.28291552	19610	175	220	13977	172	188	2	0	0	16.997457	0	9.0253158	0	0	0	0	0	0	297.846	-5.22782e-13	296.989	3.23554e-09	7.76796e-10	0	23	8655760.9	8655760.9
9.02829	12.649304	25	-58.6672	12.588	86500863	1.2624096	0	0	0	296.96257	12.651037	3.205418e-09	7.718448e-10	-1790.667	7.7091023e+08	5.492139e+08	1.2680966	77.50473	0.28526176	20089	159	208	14658	189	203	6	0	0	16.997457	0	9.0270703	0	0	0	0	0	0	297.846	-5.22782e-13	296.966	3.22093e-09	7.7819e-10	0	14	8589524.1	8589524.1
9.02966	12.647349	25	-58.6672	12.5879	86500866	1.28642	0	0	0	296.93982	12.648537	3.19945e-09	7.765806e-10	-1790.667	7.7091023e+08	5.5270899e+08	1.2919008	77.315583	0.29306016	20673	185	220	14983	204	229	4	0	0	16.997457	0	9.0288254	0	0	0	0	0	0	297.846	-5.22782e-13	296.94	3.20779e-09	7.75519e-10	0	25	8572852.8	8572852.8
9.03105	12.645369	25	-58.6672	12.5878	86500869	1.31076	0	0	0	296.9178	12.648537	3.221654e-09	7.693259e-10	-1790.667	7.7091023e+08	5.4767164e+08	1.316167	76.957818	0.3032736	20992	179	208	15305	173	200	4	0	0	16.997457	0	9.0288254	0	0	0	0	0	0	297.846	-5.22782e-13	296.918	3.23914e-09	7.75907e-10	0	23	8631654.9	8631654.9
9.03246	12.643364	25	-58.6672	12.5877	86500872	1.3354296	0	0	0	296.896	12.646037	3.28987e-09	7.75902e-10	-1790.667	7.7091023e+08	5.5248199e+08	1.3479008	76.75753	0.31328544	21677	192	235	15719	201	219	3	0	0	16.997457	0	9.0305812	0	0	0	0	0	0	297.846	-5.22782e-13	296.896	3.28446e-09	7.75651e-10	0	22	8813706.1	8813706.1
9.03389	12.641329	25	-58.6672	12.5876	86500875	1.3604288	0	0	0	296.87466	12.643537	3.359695e-09	7.749463e-10	-1790.667	7.7091023e+08	5.5193214e+08	1.3719651	75.730205	0.33297312	22112	241	263	15703	191	217	3	0	0	16.997457	0	9.0323377	0	0	0	0	0	0	297.846	-5.22782e-13	296.875	3.35031e-09	7.71323e-10	0	13	9000028.1	9000028.1
9.03534	12.639269	25	-58.6672	12.5875	86500879	1.3857576	0	0	0	296.84531	12.641037	3.403855e-09	7.635137e-10	-1790.667	7.7091023e+08	5.4392019e+08	1.3962448	75.4485	0.34279904	22882	188	246	16811	161	191	5	0	0	16.997457	0	9.034095	0	0	0	0	0	0	297.846	-5.22782e-13	296.849	3.41765e-09	7.71073e-10	0	7	9117563	9117563
9.0368	12.637189	25	-58.6672	12.5874	86500882	1.4114164	0	0	0	296.82407	12.638537	3.449507e-09	7.716885e-10	-1790.667	7.7091023e+08	5.4987679e+08	1.42016	74.858315	0.35705216	23553	195	251	16897	185	210	0	0	0	16.997457	0	9.0358529	0	0	0	0	0	0	297.846	-5.22782e-13	296.824	3.44104e-09	7.69205e-10	0	18	9239069.6	9239069.6
9.03829	12.635074	25	-58.6672	12.5873	86500886	1.4374044	0	0	0	296.79527	12.636037	3.418158e-09	7.622241e-10	-1790.667	7.7091023e+08	5.4326688e+08	1.4438259	74.49062	0.36831104	24049	208	257	17471	184	215	9	0	0	16.997457	0	9.0376115	0	0	0	0	0	0	297.846	-5.22782e-13	296.798	3.45906e-09	7.66301e-10	0	19	9154320.5	9154320.5
9.03979	12.632939	25	-58.6672	12.5872	86500889	1.4637224	0	0	0	296.76619	12.636037	3.456645e-09	7.674821e-10	-1790.667	7.7091023e+08	5.4715042e+08	1.4761651	74.489835	0.37657216	24445	222	256	17755	179	205	3	0	0	16.997457	0	9.0376115	0	0	0	0	0	0	297.846	-5.22782e-13	296.774	3.44469e-09	7.63176e-10	0	18	9256595.9	9256595.9
9.04131	12.630774	25	-58.6672	12.5871	86500893	1.49037	0	0	0	296.74385	12.633537	3.407447e-09	7.5784e-10	-1790.667	7.7091023e+08	5.4041251e+08	1.4999411	74.248013	0.38626464	25016	213	263	18228	184	216	7	0	0	16.997457	0	9.0393708	0	0	0	0	0	0	297.846	-5.22782e-13	296.747	3.43344e-09	7.63276e-10	0	20	9124051.2	9124051.2
9.04286	12.628589	25	-58.6672	12.587	86500897	1.5173472	0	0	0	296.71274	12.631037	3.404434e-09	7.615135e-10	-1790.667	7.7091023e+08	5.4317159e+08	1.5241043	74.568376	0.38760448	25256	254	305	18044	180	201	6	0	0	16.997457	0	9.0411309	0	0	0	0	0	0	297.846	-5.22782e-13	296.719	3.38708e-09	7.57479e-10	0	20	9115172.4	9115172.4
9.04442	12.626374	25	-58.6672	12.5869	86500900	1.544654	0	0	0	296.69373	12.628537	3.331966e-09	7.509833e-10	-1790.667	7.7091023e+08	5.3579916e+08	1.556217	74.400567	0.39838272	25928	228	312	18800	199	231	4	0	0	16.997457	0	9.0428916	0	0	0	0	0	0	297.846	-5.22782e-13	296.698	3.35388e-09	7.55813e-10	0	23	8920345.4	8920345.4
9.046	12.624129	25	-58.6672	12.5867	86500904	1.5722904	0	0	0	296.66395	12.626037	3.347651e-09	7.525855e-10	-1790.667	7.7091023e+08	5.3708296e+08	1.5802237	74.366363	0.4050688	26337	225	250	19302	195	222	3	0	0	16.997457	0	9.0446531	0	0	0	0	0	0	297.846	-5.22782e-13	296.672	3.34207e-09	7.52639e-10	0	24	8961526	8961526
9.04759	12.621864	25	-58.6672	12.5866	86500907	1.6002568	0	0	0	296.64033	12.623537	3.334861e-09	7.486776e-10	-1790.667	7.7091023e+08	5.3443499e+08	1.6117942	74.351982	0.41339328	26887	234	272	19555	217	239	9	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.644	3.31471e-09	7.48057e-10	0	18	8926475	8926475
9.04921	12.619569	25	-58.6672	12.5865	86500911	1.6285524	0	0	0	296.61347	12.621037	3.305104e-09	7.392167e-10	-1790.667	7.7091023e+08	5.2782325e+08	1.6361434	73.926725	0.42659616	27364	252	299	19847	223	254	7	0	0	16.997457	0	9.048178	0	0	0	0	0	0	297.846	-5.22782e-13	296.616	3.31204e-09	7.43547e-10	0	26	8846004.2	8846004.2
9.05085	12.617254	25	-58.6672	12.5864	86500915	1.657178	0	0	0	296.58513	12.618537	3.276863e-09	7.359553e-10	-1790.667	7.7091023e+08	5.2563751e+08	1.6681904	73.555249	0.4411488	28161	241	292	20547	215	242	9	0	0	16.997457	0	9.0499416	0	0	0	0	0	0	297.846	-5.22782e-13	296.589	3.2835e-09	7.38201e-10	0	22	8769596	8769596
9.0525	12.614909	25	-58.6672	12.5863	86500919	1.6861332	0	0	0	296.55516	12.616037	3.245841e-09	7.32701e-10	-1790.667	7.7091023e+08	5.2345651e+08	1.692072	73.663551	0.44563168	28283	230	290	20713	215	244	7	0	0	16.997457	0	9.0517058	0	0	0	0	0	0	297.846	-5.22782e-13	296.562	3.23302e-09	7.29717e-10	0	21	8685756	8685756
9.05418	12.612539	25	-58.6672	12.5862	86500922	1.715418	0	0	0	296.53316	12.613537	3.19249e-09	7.165966e-10	-1790.667	7.7091023e+08	5.1209397e+08	1.7242765	73.549393	0.4560816	28907	273	299	20954	217	242	5	0	0	16.997457	0	9.0534708	0	0	0	0	0	0	297.846	-5.22782e-13	296.536	3.19081e-09	7.20305e-10	0	21	8542171.9	8542171.9
9.05587	12.610144	25	-58.6672	12.586	86500926	1.7450324	0	0	0	296.50445	12.611037	3.149513e-09	7.150369e-10	-1790.667	7.7091023e+08	5.1112275e+08	1.7562269	73.403017	0.46710336	29538	293	304	21388	222	253	9	0	0	16.997457	0	9.0552365	0	0	0	0	0	0	297.846	-5.22782e-13	296.508	3.15655e-09	7.17559e-10	0	21	8426366.2	8426366.2
9.05758	12.607719	25	-58.6672	12.5859	86500930	1.7749764	0	0	0	296.47581	12.608537	3.03595e-09	7.12685e-10	-1790.667	7.7091023e+08	5.0958623e+08	1.7802307	72.806491	0.4841072	30061	279	362	21881	217	249	5	0	0	16.997457	0	9.0570028	0	0	0	0	0	0	297.846	-5.22782e-13	296.48	3.10989e-09	7.10238e-10	0	29	8121743.1	8121743.1
9.05931	12.605274	25	-58.6672	12.5858	86500934	1.8052504	0	0	0	298.08731	12.608537	3.076135e-09	7.144862e-10	-1790.667	7.7091023e+08	5.1102094e+08	1.8119437	73.173736	0.4860768	30637	227	308	22400	218	254	7	0	0	16.997457	0	9.0570028	0	0	0	0	0	0	297.846	-5.22782e-13	298.091	3.08862e-09	7.1178e-10	0	22	8228435.7	8228435.7
9.06106	12.602799	25	-58.6672	12.5857	86500938	1.835854	0	0	0	298.05928	12.606037	3.039393e-09	7.127667e-10	-1790.667	7.7091023e+08	5.0993932e+08	1.8440883	73.119847	0.49569376	31203	240	325	22914	214	240	4	0	0	16.997457	0	9.0587699	0	0	0	0	0	0	297.846	-5.22782e-13	298.065	3.01715e-09	7.05443e-10	0	20	8129344.9	8129344.9
9.06283	12.600299	25	-58.6672	12.5855	86500942	1.8667868	0	0	0	298.03067	12.603537	2.942311e-09	7.032455e-10	-1790.667	7.7091023e+08	5.0327549e+08	1.8758416	72.722865	0.51167584	32156	257	328	23516	215	250	6	0	0	16.997457	0	9.0605377	0	0	0	0	0	0	297.846	-5.22782e-13	298.04	2.93349e-09	7.00754e-10	0	30	7868892.5	7868892.5
9.06461	12.597774	25	-58.6672	12.5854	86500946	1.8980496	0	0	0	298.00019	12.601037	2.833527e-09	6.919691e-10	-1790.667	7.7091023e+08	4.9535207e+08	1.9082026	72.870972	0.5176768	32468	292	304	23698	247	276	6	0	0	16.997457	0	9.0623062	0	0	0	0	0	0	297.846	-5.22782e-13	298.01	2.83113e-09	6.89893e-10	0	26	7577196.3	7577196.3
9.06642	12.595224	25	-58.6672	12.5853	86500950	1.929642	0	0	0	297.96911	12.59843	2.745395e-09	6.781953e-10	-1790.667	7.7091023e+08	4.8563807e+08	1.9398477	71.798462	0.54706688	33312	281	331	24423	233	268	9	0	0	16.997457	0	9.0641514	0	0	0	0	0	0	297.846	-5.22782e-13	297.972	2.72546e-09	6.74236e-10	0	25	7340767.5	7340767.5
9.06824	12.592649	25	-58.6672	12.5852	86500954	1.9615644	0	0	0	297.94074	12.593537	2.622933e-09	6.755947e-10	-1790.667	7.7091023e+08	4.8392226e+08	1.9735552	72.748323	0.53782688	33441	269	307	24656	221	248	7	0	0	16.997457	0	9.0676159	0	0	0	0	0	0	297.846	-5.22782e-13	297.944	2.63377e-09	6.80386e-10	0	21	7012600.2	7012600.2
9.07009	12.590049	25	-58.6672	12.585	86500958	1.993816	0	0	0	297.91124	12.591037	2.541935e-09	6.770513e-10	-1790.667	7.7091023e+08	4.8511483e+08	2.0041642	72.861688	0.54389632	33770	334	356	24299	233	279	14	0	0	16.997457	0	9.0693873	0	0	0	0	0	0	297.846	-5.22782e-13	297.914	2.54492e-09	6.79538e-10	0	31	6795335.1	6795335.1
9.07195	12.587424	25	-58.6672	12.5849	86500962	2.0263976	0	0	0	297.88241	12.588537	2.420524e-09	6.720136e-10	-1790.667	7.7091023e+08	4.8165425e+08	2.036288	72.811846	0.55362912	34318	277	327	25125	255	294	7	0	0	16.997457	0	9.0711593	0	0	0	0	0	0	297.846	-5.22782e-13	297.886	2.41367e-09	6.72482e-10	0	26	6470088	6470088
9.07383	12.584769	25	-58.6672	12.5848	86500967	2.0593084	0	0	0	297.84598	12.586037	2.329358e-09	6.7363e-10	-1790.667	7.7091023e+08	4.8296381e+08	2.0681994	72.535986	0.56801056	35374	297	387	25959	249	287	8	0	0	16.997457	0	9.072932	0	0	0	0	0	0	297.846	-5.22782e-13	297.856	2.31511e-09	6.68045e-10	0	30	6225739.5	6225739.5
9.07573	12.582094	25	-58.6672	12.5846	86500971	2.0925492	0	0	0	297.81642	12.583537	2.221629e-09	6.686278e-10	-1790.667	7.7091023e+08	4.7952904e+08	2.1000909	72.509197	0.57733184	35918	313	347	26171	273	332	4	0	0	16.997457	0	9.0747055	0	0	0	0	0	0	297.846	-5.22782e-13	297.824	2.25561e-09	6.67676e-10	0	31	5937173.1	5937173.1
9.07765	12.579389	25	-58.6672	12.5845	86500975	2.1261196	0	0	0	297.7882	12.581037	2.203741e-09	6.577316e-10	-1790.667	7.7091023e+08	4.7186524e+08	2.1319699	72.250145	0.59161856	36484	297	359	26899	257	293	7	0	0	16.997457	0	9.0764797	0	0	0	0	0	0	297.846	-5.22782e-13	297.792	2.2296e-09	6.65676e-10	0	25	5888731.5	5888731.5
9.07958	12.576664	25	-58.6672	12.5844	86500979	2.1600196	0	0	0	297.7597	12.578537	2.234923e-09	6.60588e-10	-1790.667	7.7091023e+08	4.7406676e+08	2.1718301	71.882294	0.6106688	37373	275	396	27517	255	296	12	0	0	16.997457	0	9.0782545	0	0	0	0	0	0	297.846	-5.22782e-13	297.764	2.23977e-09	6.61658e-10	0	18	5971406	5971406
9.08154	12.573909	25	-58.6672	12.5842	86500984	2.1942496	0	0	0	297.72163	12.576037	2.295444e-09	6.653558e-10	-1790.667	7.7091023e+08	4.7764422e+08	2.2038019	71.483143	0.62845504	38096	323	356	27963	264	310	6	0	0	16.997457	0	9.0800301	0	0	0	0	0	0	297.846	-5.22782e-13	297.734	2.27924e-09	6.63876e-10	0	20	6132434.1	6132434.1
9.08352	12.571129	25	-58.6672	12.5841	86500988	2.2288088	0	0	0	297.69201	12.573537	2.318444e-09	6.636576e-10	-1790.667	7.7091023e+08	4.7658227e+08	2.2358032	71.354659	0.64045344	38533	325	435	27897	284	323	8	0	0	16.997457	0	9.0818064	0	0	0	0	0	0	297.846	-5.22782e-13	297.695	2.32212e-09	6.64929e-10	0	20	6193191.6	6193191.6
9.08551	12.568329	25	-58.6672	12.584	86500993	2.263698	0	0	0	297.6586	12.571037	2.370861e-09	6.735199e-10	-1790.667	7.7091023e+08	4.8382492e+08	2.2758403	71.088657	0.657976	39509	299	414	28941	281	314	6	0	0	16.997457	0	9.0835834	0	0	0	0	0	0	297.846	-5.22782e-13	297.667	2.3659e-09	6.72264e-10	0	20	6332504.8	6332504.8
9.08752	12.565499	25	-58.6672	12.5838	86500997	2.2989164	0	0	0	297.62854	12.568537	2.387686e-09	6.712888e-10	-1790.667	7.7091023e+08	4.8238375e+08	2.3078576	71.292052	0.66253856	39896	329	384	29240	271	316	5	0	0	16.997457	0	9.0853612	0	0	0	0	0	0	297.846	-5.22782e-13	297.636	2.40181e-09	6.75301e-10	0	30	6376725.7	6376725.7
