# Scan number: 24
# Command: k-scan 3 12 8.979 180 1 10
# Date: Thu Jul 25 20:38:43 2024
# date: Thu Jul 25 20:38:43 2024
# C Thu Jul 25 21: 00:27 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86502608	1	0	0	0	296.64567	12.671037	1.754128e-09	4.45759e-10	-1790.667	7.7091023e+08	3.1639881e+08	1.011792	57.267454	0.43236448	16344	160	207	12058	92	99	2	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.646	1.77088e-09	4.4589e-10	0	15	4704613	4704613
9.01444	12.669064	25	-58.6672	12.589	86502611	1.0200544	0	0	0	296.62435	12.671037	1.795446e-09	4.524097e-10	-1790.667	7.7091023e+08	3.2118046e+08	1.028136	57.533618	0.43661216	16659	137	202	12291	80	91	3	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.631	1.78902e-09	4.48372e-10	0	9	4815106.2	4815106.2
9.0156	12.667399	25	-58.6672	12.5889	86502613	1.0404384	0	0	0	296.60708	12.668537	1.798401e-09	4.467964e-10	-1790.667	7.7091023e+08	3.1725617e+08	1.0520506	57.087264	0.45146368	17151	156	191	12676	66	77	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.607	1.7853e-09	4.46928e-10	0	7	4822705.3	4822705.3
9.01678	12.665709	25	-58.6672	12.5888	86502616	1.061152	0	0	0	296.58195	12.668537	1.759862e-09	4.433538e-10	-1790.667	7.7091023e+08	3.1487307e+08	1.0682058	56.957266	0.45978496	17530	155	189	12999	73	85	3	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.582	1.77302e-09	4.44562e-10	0	14	4719032.6	4719032.6
9.01799	12.663989	25	-58.6672	12.5887	86502619	1.0821956	0	0	0	296.55851	12.666037	1.76129e-09	4.441887e-10	-1790.667	7.7091023e+08	3.1552909e+08	1.0918278	56.928096	0.47027104	17940	178	186	13199	101	107	3	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.568	1.75444e-09	4.43591e-10	0	9	4722529.4	4722529.4
9.01921	12.662244	25	-58.6672	12.5887	86502621	1.1035684	0	0	0	296.54318	12.663537	1.728445e-09	4.410126e-10	-1790.667	7.7091023e+08	3.1333612e+08	1.1081795	56.674254	0.48012704	18103	159	199	13332	76	88	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.543	1.7111e-09	4.38437e-10	0	10	4634133.8	4634133.8
9.02045	12.660474	25	-58.6672	12.5886	86502624	1.1252712	0	0	0	296.51925	12.663537	1.682761e-09	4.382876e-10	-1790.667	7.7091023e+08	3.1146385e+08	1.1321005	56.858925	0.48840032	18658	157	193	13897	93	106	4	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.519	1.68355e-09	4.37944e-10	0	14	4511325.5	4511325.5
9.02171	12.658679	25	-58.6672	12.5885	86502627	1.1473032	0	0	0	296.49497	12.661037	1.608246e-09	4.334346e-10	-1790.667	7.7091023e+08	3.0807929e+08	1.1561133	57.168405	0.49518176	19086	157	207	14112	83	93	1	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.495	1.62369e-09	4.36531e-10	0	12	4311242.4	4311242.4
9.02299	12.656859	25	-58.6672	12.5884	86502630	1.1696652	0	0	0	296.4707	12.658537	1.581128e-09	4.348202e-10	-1790.667	7.7091023e+08	3.0912956e+08	1.1800496	57.77471	0.49827936	19482	157	178	14529	106	122	2	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	296.475	1.57615e-09	4.34678e-10	0	9	4238232.2	4238232.2
9.02428	12.655009	25	-58.6672	12.5883	86502633	1.1923568	0	0	0	298.19257	12.656037	1.622968e-09	4.39492e-10	-1790.667	7.7091023e+08	3.1251757e+08	1.2038493	57.887512	0.50697088	20113	184	197	14973	77	96	5	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	298.2	1.62137e-09	4.36788e-10	0	16	4350059.5	4350059.5
9.0256	12.653134	25	-58.6672	12.5882	86502636	1.2153784	0	0	0	298.16832	12.656037	1.603862e-09	4.409593e-10	-1790.667	7.7091023e+08	3.1362941e+08	1.2201005	58.365475	0.50798304	20366	153	181	15175	104	127	3	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	298.177	1.59643e-09	4.37238e-10	0	14	4298520.8	4298520.8
