# Scan number: 27
# Command: ascan monoE 5.703 5.803 200 2
# Date: Thu Jul 25 21:07:58 2024
# date: Thu Jul 25 21:07:58 2024
# C Thu Jul 25 21: 19:53 2024.  Scan aborted after 190 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86504362	2	0	0	0	297.80039	20.287365	2.144596e-10	7.30509e-11	-1790.667	7.7091023e+08	37254047	2.0120982	2.5522094	1.9607453	155	2	85	51	2	2	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	297.804	2.21641e-10	7.41149e-11	0	30	808850.88	808850.88
5.7035	20.281719	-36.0608	13.1892	0	0	0	86504366	2	0	0	0	297.77034	20.284865	2.241158e-10	7.466383e-11	-1790.667	7.7091023e+08	38076730	2.0119574	6.3839601	1.8835149	162	1	88	51	2	4	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.781	2.18634e-10	7.35421e-11	0	34	845211.25	845211.25
5.704	20.279864	-36.064	13.189	0	0	0	86504369	2	0	0	0	297.74638	20.282365	2.190959e-10	7.269207e-11	-1790.667	7.7091023e+08	37071309	2.0121539	3.5099979	1.9415274	140	1	74	38	1	2	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.751	2.20672e-10	7.25841e-11	0	36	826222.21	826222.21
5.7045	20.278009	-36.0672	13.1889	0	0	0	86504373	2	0	0	0	297.71529	20.279865	2.196749e-10	7.224799e-11	-1790.667	7.7091023e+08	36844967	2.011985	4.1093269	1.9293059	164	5	86	49	1	2	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.719	2.22053e-10	7.22622e-11	0	31	828348.09	828348.09
5.705	20.276154	-36.0703	13.1887	0	0	0	86504377	2	0	0	0	297.68419	20.279865	2.258673e-10	7.151968e-11	-1790.667	7.7091023e+08	36473672	2.0118768	2.6942882	1.957671	147	4	81	47	0	1	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.692	2.24091e-10	7.11374e-11	0	35	851639.16	851639.16
5.7055	20.274299	-36.0735	13.1885	0	0	0	86504381	2	0	0	0	297.65231	20.277365	2.30326e-10	7.091927e-11	-1790.667	7.7091023e+08	36167602	2.0119699	4.9188966	1.9130032	137	5	63	43	2	2	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.665	2.23632e-10	7.00915e-11	0	38	868390.48	868390.48
5.706	20.272444	-36.0766	13.1883	0	0	0	86504384	2	0	0	0	297.62949	20.274865	2.294946e-10	7.104717e-11	-1790.667	7.7091023e+08	36232957	2.012256	5.8333254	1.8948746	146	0	77	42	4	5	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.634	2.2661e-10	7.00595e-11	0	41	865195.77	865195.77
5.7065	20.270589	-36.0798	13.1882	0	0	0	86504388	2	0	0	0	297.59771	20.272365	2.236895e-10	6.843592e-11	-1790.667	7.7091023e+08	34901384	2.0120237	3.27686	1.9460925	180	2	102	54	4	4	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.602	2.25634e-10	6.98925e-11	0	14	843251.94	843251.94
5.707	20.268734	-36.083	13.188	0	0	0	86504392	2	0	0	0	297.56692	20.272365	2.256648e-10	6.993872e-11	-1790.667	7.7091023e+08	35667918	2.0119552	1.315242	1.9854931	157	1	82	50	0	0	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.574	2.26279e-10	6.98293e-11	0	32	850639.22	850639.22
5.7075	20.266884	-36.0861	13.1878	0	0	0	86504396	2	0	0	0	297.53601	20.269865	2.30262e-10	6.979661e-11	-1790.667	7.7091023e+08	35595572	2.0050973	7.3477532	1.8577677	138	1	70	49	2	2	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.548	2.25514e-10	6.92326e-11	0	35	867907.99	867907.99
