# Scan number: 28
# Command: ascan cr2ropi 0.0823023 0.122302 20 1
# Date: Thu Jul 25 21:20:53 2024
# date: Thu Jul 25 21:20:53 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.082305131	0	0	0	86505145	1	0	0	0	296.74281	20.212365	-4.831691e-13	-8.881784e-14	-1790.667	7.7091023e+08	-45301.624	1.012041	0.052614471	1.0115085	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.75	-4.86722e-13	-8.70415e-14	0	16	-1817.2566	-1817.2566
0.084306221	0	0	0	86505150	1	0	0	0	296.70353	20.212365	-5.684342e-13	-9.237056e-14	-1790.667	7.7091023e+08	-47113.693	1.0122653	0.054689221	1.0117117	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.704	-5.9508e-13	-6.987e-14	0	25	-2137.9489	-2137.9489
0.086307312	0	0	0	86505156	1	0	0	0	296.65814	20.212365	-4.760636e-13	-8.171241e-14	-1790.667	7.7091023e+08	-41677.493	1.0119094	0.054202479	1.011361	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.658	-5.57776e-13	-1.06581e-13	0	16	-1790.532	-1790.532
0.088308402	0	0	0	86505162	1	0	0	0	296.61032	20.212365	-5.151435e-13	-3.197442e-14	-1790.667	7.7091023e+08	-16308.584	1.0121978	0.053934124	1.0116518	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.614	-5.93303e-13	-5.92119e-14	0	21	-1937.5162	-1937.5162
0.090295787	0	0	0	86505168	1	0	0	0	296.56395	20.212365	-5.044853e-13	-1.172396e-13	-1790.667	7.7091023e+08	-59798.17	1.0122685	0.054594212	1.0117158	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.572	-5.18696e-13	-1.01252e-13	0	19	-1897.4294	-1897.4294
0.092296877	0	0	0	86505173	1	0	0	0	296.52412	20.212365	-5.293543e-13	-1.030287e-13	-1790.667	7.7091023e+08	-52549.887	1.0120947	0.054160939	1.0115466	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.524	-5.15144e-13	-9.11863e-14	0	21	-1990.9647	-1990.9647
0.094297968	0	0	0	86505179	1	0	0	0	296.48001	20.212365	-4.014566e-13	-2.842171e-14	-1790.667	7.7091023e+08	-14496.52	1.0047805	0.055001068	1.0042278	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.48	-5.87974e-13	-4.9738e-14	0	16	-1509.9262	-1509.9262
0.096299059	0	0	0	86505185	1	0	0	0	298.27819	20.212365	-4.334311e-13	1.421085e-14	-1790.667	7.7091023e+08	7248.2577	1.0118163	0.054586983	1.011264	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.281	-4.72511e-13	-4.73695e-15	0	17	-1630.1861	-1630.1861
0.098300149	0	0	0	86505191	1	0	0	0	298.231	20.212365	-3.765876e-13	-3.197442e-14	-1790.667	7.7091023e+08	-16308.584	1.0118787	0.05657595	1.0113062	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.239	-4.26326e-13	-1.06581e-14	0	26	-1416.3909	-1416.3909
0.10030124	0	0	0	86505196	1	0	0	0	298.19016	20.212365	-2.984279e-13	6.039613e-13	-1790.667	7.7091023e+08	308051.04	1.0118237	0.054934472	1.0112678	2	0	2	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.19	-2.58164e-13	5.90935e-13	0	21	-1122.4229	-1122.4229
0.10230233	0	0	0	86505202	1	0	0	0	298.14262	20.212365	3.260219e-10	4.491341e-11	-1790.667	7.7091023e+08	22908128	1.0122013	4.1250926	0.97044704	71	5	31	22	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.143	3.32886e-10	4.44942e-11	0	28	1226207.3	1226207.3
0.10430342	0	0	0	86505208	1	0	0	0	298.09771	20.212365	8.416379e-12	2.410516e-11	-1790.667	7.7091023e+08	12294860	1.0120682	0.059663966	1.0114643	11	1	10	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.103	8.32578e-12	2.41513e-11	0	14	31655.006	31655.006
0.10630451	0	0	0	86505214	1	0	0	0	298.05062	20.212365	-3.694822e-13	7.81597e-14	-1790.667	7.7091023e+08	39865.43	1.0118502	0.054648403	1.0112973	1	0	1	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.058	-3.74811e-13	5.68434e-14	0	23	-1389.6666	-1389.6666
0.1083056	0	0	0	86505219	1	0	0	0	298.01165	20.212365	-6.110668e-13	2.4869e-14	-1790.667	7.7091023e+08	12684.457	1.0122221	0.054533487	1.0116701	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	298.012	-4.25141e-13	3.19744e-14	0	15	-2298.2952	-2298.2952
0.11030669	0	0	0	86505225	1	0	0	0	297.96577	20.212365	-5.258016e-13	7.105427e-15	-1790.667	7.7091023e+08	3624.1299	1.012128	0.054443707	1.011577	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.966	-5.57776e-13	7.10543e-15	0	15	-1977.6026	-1977.6026
0.11230778	0	0	0	86505231	1	0	0	0	297.91966	20.212365	-5.115908e-13	-6.750156e-14	-1790.667	7.7091023e+08	-34429.235	1.0118339	0.054586033	1.0112816	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.927	-5.5896e-13	-1.77636e-14	0	17	-1924.154	-1924.154
0.11430887	0	0	0	86505237	1	0	0	0	297.87159	20.212365	-6.288303e-13	-1.421085e-14	-1790.667	7.7091023e+08	-7248.2577	1.0117923	0.054651532	1.0112394	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.88	-4.74287e-13	-2.4869e-14	0	25	-2365.1058	-2365.1058
0.11629626	0	0	0	86505242	1	0	0	0	297.8329	20.212365	-4.440892e-13	1.421085e-14	-1790.667	7.7091023e+08	7248.2577	1.0118173	0.054776689	1.011263	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.833	-4.60076e-13	1.42109e-14	0	28	-1670.2725	-1670.2725
0.11829735	0	0	0	86505248	1	0	0	0	297.78733	20.212365	-5.933032e-13	4.618528e-14	-1790.667	7.7091023e+08	23556.846	1.0121446	0.054253115	1.0115955	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.79	-5.43565e-13	2.72375e-14	0	7	-2231.4841	-2231.4841
