# Scan number: 29
# Command: ascan cr2roll -0.0172974 0.182703 20 1
# Date: Thu Jul 25 21:23:49 2024
# date: Thu Jul 25 21:23:49 2024
# C Thu Jul 25 21: 26:06 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0027001017	5.723	25	0	0	0	86505326	1	0	0	0	297.18645	20.212365	-5.57776e-13	2.4869e-14	-1790.667	7.7091023e+08	12684.457	1.0118736	0.05442577	1.0113229	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.186	-5.41789e-13	5.50671e-14	0	13	-2097.8621	-2097.8621
0.012705555	5.723	25	0	0	0	86505330	1	0	0	0	297.15584	20.212365	-4.938272e-13	5.684342e-14	-1790.667	7.7091023e+08	28993.041	1.011889	0.054646312	1.011336	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.16	-5.15144e-13	9.59233e-14	0	20	-1857.343	-1857.343
0.022697302	5.723	25	0	0	0	86505334	1	0	0	0	297.12698	20.212365	-4.689582e-13	1.207923e-13	-1790.667	7.7091023e+08	61610.228	1.0119853	0.054324901	1.0114355	1	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.134	-5.57776e-13	1.13687e-13	0	14	-1763.8078	-1763.8078
0.032702755	5.723	25	0	0	0	86505337	1	0	0	0	297.10194	20.212365	-5.542233e-13	1.98952e-13	-1790.667	7.7091023e+08	101475.66	1.0122387	0.054311299	1.011689	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.102	-5.44749e-13	2.16716e-13	0	16	-2084.5	-2084.5
0.042708208	5.723	25	0	0	0	86505341	1	0	0	0	297.07158	20.212365	-5.293543e-13	4.334311e-13	-1790.667	7.7091023e+08	221071.95	1.0122125	0.054186251	1.011664	1	1	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.072	-4.56524e-13	4.29878e-13	0	20	-1990.9647	-1990.9647
0.052699954	5.723	25	0	0	0	86505345	1	0	0	0	297.04235	20.212365	-4.405365e-13	1.083578e-12	-1790.667	7.7091023e+08	552680	1.012272	0.054056617	1.0117248	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.046	-3.29218e-13	1.0445e-12	0	12	-1656.9103	-1656.9103
0.062705408	5.723	25	0	0	0	86505349	1	0	0	0	297.00928	20.212365	8.06466e-13	3.151257e-12	-1790.667	7.7091023e+08	1607301.7	1.0118368	0.05515514	1.0112787	2	0	1	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.019	7.21201e-13	3.14415e-12	0	13	3033.2149	3033.2149
0.072697154	5.723	25	0	0	0	86505352	1	0	0	0	296.9871	20.212365	6.332712e-11	1.938361e-11	-1790.667	7.7091023e+08	9886628.9	1.0122672	0.062623782	1.0116333	25	1	13	9	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.987	6.38121e-11	1.91645e-11	0	20	238180.86	238180.86
0.082702607	5.723	25	0	0	0	86505356	1	0	0	0	296.9556	20.212365	3.389466e-10	5.273648e-11	-1790.667	7.7091023e+08	26898292	1.011944	3.2602911	0.97895168	88	4	32	27	1	3	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.956	3.36861e-10	5.23652e-11	0	15	1274818.6	1274818.6
0.09270806	5.723	25	0	0	0	86505360	1	0	0	0	296.92459	20.212365	5.406164e-11	1.194422e-11	-1790.667	7.7091023e+08	6092160.9	1.0124874	0.058754314	1.0118925	15	1	8	2	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.933	5.42162e-11	1.18838e-11	0	14	203332.28	203332.28
0.10269981	5.723	25	0	0	0	86505364	1	0	0	0	296.89598	20.212365	1.247713e-11	4.39826e-12	-1790.667	7.7091023e+08	2243336.7	1.0120752	0.054478165	1.0115238	1	0	1	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.903	1.27223e-11	4.42668e-12	0	26	46927.975	46927.975
0.11270526	5.723	25	0	0	0	86505367	1	0	0	0	296.87084	20.212365	6.707523e-12	2.835066e-12	-1790.667	7.7091023e+08	1446028.1	1.0121898	0.055357209	1.0116294	2	0	0	2	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.871	6.66726e-12	2.83329e-12	0	22	25227.794	25227.794
