# Scan number: 32
# Command: ascan monoE 5.703 5.803 200 2
# Date: Thu Jul 25 21:34:51 2024
# date: Thu Jul 25 21:34:51 2024
# C Thu Jul 25 21: 38:40 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86505980	2	0	0	0	297.45385	20.284865	1.891109e-10	5.87228e-11	-1790.667	7.7091023e+08	29947091	2.0122774	5.0594216	1.9104678	114	0	66	28	0	1	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.461	1.86479e-10	5.81579e-11	0	37	713246.31	713246.31
5.7035	20.281719	-36.0608	13.1892	0	0	0	86505984	2	0	0	0	297.42269	20.284865	1.891323e-10	5.702461e-11	-1790.667	7.7091023e+08	29081159	2.0120205	3.7961284	1.9356416	103	1	55	33	1	1	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.435	1.89453e-10	5.7244e-11	0	30	713277.45	713277.45
5.704	20.279864	-36.064	13.189	0	0	0	86505987	2	0	0	0	297.40045	20.282365	1.872067e-10	5.591261e-11	-1790.667	7.7091023e+08	28514165	2.0122096	3.2865443	1.9460774	118	1	62	37	1	1	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.404	1.93572e-10	5.71312e-11	0	52	705966.35	705966.35
5.7045	20.278009	-36.0672	13.1889	0	0	0	86505991	2	0	0	0	297.37077	20.279865	1.897575e-10	5.58984e-11	-1790.667	7.7091023e+08	28507017	2.012025	4.5199598	1.9210822	107	2	52	34	2	2	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.374	1.9182e-10	5.61418e-11	0	25	715535.83	715535.83
5.705	20.276154	-36.0703	13.1887	0	0	0	86505995	2	0	0	0	297.34023	20.279865	1.976197e-10	5.631051e-11	-1790.667	7.7091023e+08	28717286	2.0120186	2.1051257	1.969663	144	0	80	40	2	2	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.351	1.91428e-10	5.54801e-11	0	33	745130.77	745130.77
5.7055	20.274299	-36.0735	13.1885	0	0	0	86505998	2	0	0	0	297.31104	20.277365	1.935874e-10	5.480061e-11	-1790.667	7.7091023e+08	27947364	2.0121459	3.0284245	1.9512096	95	0	49	34	0	0	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.32	1.94528e-10	5.51587e-11	0	31	729876.16	729876.16
5.706	20.272444	-36.0766	13.1883	0	0	0	86506002	2	0	0	0	297.28779	20.274865	1.99293e-10	5.551115e-11	-1790.667	7.7091023e+08	28309827	2.0118938	7.0352343	1.8703523	118	1	59	39	4	4	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.291	1.98384e-10	5.53175e-11	0	42	751335.59	751335.59
5.7065	20.270589	-36.0798	13.1882	0	0	0	86506006	2	0	0	0	297.2565	20.272365	1.992433e-10	5.549694e-11	-1790.667	7.7091023e+08	28302681	2.0117859	5.7024596	1.8970646	117	4	53	38	6	7	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.264	1.96322e-10	5.50912e-11	0	36	751096.04	751096.04
5.707	20.268734	-36.083	13.188	0	0	0	86506010	2	0	0	0	297.22418	20.272365	1.962626e-10	5.494272e-11	-1790.667	7.7091023e+08	28020136	2.0121491	2.1894361	1.9680944	137	2	65	47	2	3	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.236	1.95114e-10	5.50964e-11	0	24	739808.18	739808.18
5.7075	20.266884	-36.0861	13.1878	0	0	0	86506013	2	0	0	0	297.19394	20.269865	1.997549e-10	5.470113e-11	-1790.667	7.7091023e+08	27897028	2.0120675	1.5229867	1.981424	135	1	65	46	1	1	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.205	1.95167e-10	5.49242e-11	0	37	752920.04	752920.04
