# Scan number: 44
# Command: ascan cr2roll 0.0626067 0.102607 20 1
# Date: Thu Jul 25 23:07:19 2024
# date: Thu Jul 25 23:07:19 2024
# C Thu Jul 25 23: 09:37 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.062609465	5.723	25	0	0	0	86511526	1	0	0	0	297.46344	20.212365	9.841017e-13	1.047695e-11	-1790.667	7.7091023e+08	5343778.4	1.0121082	0.057227085	1.011529	9	0	9	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.463	1.07647e-12	1.03899e-11	0	13	3701.3239	3701.3239
0.064610555	5.723	25	0	0	0	86511528	1	0	0	0	297.44927	20.212365	3.165468e-12	2.806644e-11	-1790.667	7.7091023e+08	14315315	1.0118544	4.6074929	0.96523328	21	2	18	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.449	2.95823e-12	2.80238e-11	0	18	11905.703	11905.703
0.066611646	5.723	25	0	0	0	86511531	1	0	0	0	297.42757	20.212365	8.515855e-12	7.351986e-11	-1790.667	7.7091023e+08	37498875	1.011943	6.1898504	0.94930528	46	3	37	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.434	8.62244e-12	7.29159e-11	0	13	32029.147	32029.147
0.068612737	5.723	25	0	0	0	86511533	1	0	0	0	297.41293	20.212365	1.939426e-11	1.671019e-10	-1790.667	7.7091023e+08	85230484	1.0119405	1.7547593	0.99418336	117	12	103	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.42	1.98384e-11	1.66573e-10	0	8	72944.126	72944.126
0.070600121	5.723	25	0	0	0	86511535	1	0	0	0	297.39652	20.212365	4.184386e-11	3.118181e-10	-1790.667	7.7091023e+08	1.5904312e+08	1.0120288	1.3984424	0.99787616	230	27	191	1	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.397	4.15277e-11	3.11642e-10	0	11	157379.75	157379.75
0.072601212	5.723	25	0	0	0	86511537	1	0	0	0	297.38212	20.212365	7.823076e-11	4.946124e-10	-1790.667	7.7091023e+08	2.5227753e+08	1.0121002	1.72609	0.9946304	382	42	305	12	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.382	7.74083e-11	4.94092e-10	0	9	294235.22	294235.22
0.074602302	5.723	25	0	0	0	86511539	1	0	0	0	297.36736	20.212365	1.220819e-10	6.358292e-10	-1790.667	7.7091023e+08	3.2430529e+08	1.011825	2.6827407	0.98468032	434	42	364	3	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.367	1.21256e-10	6.35726e-10	0	10	459164.59	459164.59
0.076603393	5.723	25	0	0	0	86511541	1	0	0	0	297.34632	20.212365	1.574954e-10	7.280789e-10	-1790.667	7.7091023e+08	3.7135734e+08	1.0121757	3.0785486	0.98101536	517	43	427	4	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.352	1.58851e-10	7.29258e-10	0	9	592358.99	592358.99
0.078604484	5.723	25	0	0	0	86511544	1	0	0	0	297.33132	20.212365	1.812879e-10	7.504681e-10	-1790.667	7.7091023e+08	3.8277697e+08	1.0120826	3.5476948	0.97617696	498	37	412	7	1	1	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.338	1.82276e-10	7.50429e-10	0	7	681845.43	681845.43
0.080605574	5.723	25	0	0	0	86511546	1	0	0	0	297.3173	20.212365	1.865139e-10	7.063399e-10	-1790.667	7.7091023e+08	3.6026934e+08	1.0120246	2.2994539	0.9887536	531	43	444	6	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.325	1.87146e-10	7.05869e-10	0	9	701501.04	701501.04
