# Scan number: 55
# Command: ascan monoE 6.696 6.796 200 2
# Date: Fri Jul 26 00:16:36 2024
# date: Fri Jul 26 00:16:36 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
6.696	17.172949	-42.336	12.9224	0	0	0	86515680	2	0	0	0	297.08419	17.175354	1.341196e-09	3.265797e-10	-1790.667	7.7091023e+08	1.7321691e+08	0.11930208	100	0	1	0	0	0	0	0	0	0	0	16.997457	0	6.695091	0	0	0	0	0	0	297.846	-5.22782e-13	297.088	1.32302e-09	3.26128e-10	0	14	4444676.7	4444676.7
6.6965	17.171624	-42.3392	12.9223	0	0	0	86515690	2	0	0	0	297.00674	17.175354	1.345736e-09	3.268319e-10	-1790.667	7.7091023e+08	1.7335682e+08	2.0078685	4.5515651	1.916479	1656	215	152	117	20	20	0	0	0	16.997457	0	6.695091	0	0	0	0	0	0	297.846	-5.22782e-13	297.065	1.33156e-09	3.25367e-10	0	12	4459453.2	4459453.2
6.697	17.170304	-42.3423	12.9222	0	0	0	86515694	2	0	0	0	296.97909	17.172854	1.315097e-09	3.262066e-10	-1790.667	7.7091023e+08	1.7303129e+08	2.0118832	4.2319276	1.9267418	1619	200	142	127	27	27	1	0	0	16.997457	0	6.6960363	0	0	0	0	0	0	297.846	-5.22782e-13	296.99	1.34387e-09	3.24965e-10	0	25	4357660	4357660
6.6975	17.168984	-42.3455	12.9221	0	0	0	86515697	2	0	0	0	296.9557	17.172629	1.375671e-09	3.247891e-10	-1790.667	7.7091023e+08	1.7228552e+08	2.012255	4.3525298	1.924671	1644	186	184	120	23	24	0	0	0	16.997457	0	6.6961212	0	0	0	0	0	0	297.846	-5.22782e-13	296.959	1.36285e-09	3.24624e-10	0	19	4558101.2	4558101.2
6.698	17.167659	-42.3486	12.922	0	0	0	86515701	2	0	0	0	296.92724	17.170354	1.377568e-09	3.233467e-10	-1790.667	7.7091023e+08	1.7152649e+08	2.0119574	4.0402604	1.9306691	1658	211	145	125	19	19	0	0	0	16.997457	0	6.6969818	0	0	0	0	0	0	297.846	-5.22782e-13	296.938	1.38011e-09	3.21835e-10	0	21	4564111.5	4564111.5
6.6985	17.166339	-42.3518	12.9219	0	0	0	86515704	2	0	0	0	296.90344	17.167854	1.384215e-09	3.210268e-10	-1790.667	7.7091023e+08	1.7030189e+08	2.0120163	4.112412	1.9292739	1653	206	143	133	21	21	0	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	296.907	1.3581e-09	3.19909e-10	0	17	4585857.7	4585857.7
6.699	17.165019	-42.355	12.9218	0	0	0	86515708	2	0	0	0	296.87493	17.167854	1.328964e-09	3.152714e-10	-1790.667	7.7091023e+08	1.6725465e+08	2.0118374	4.0175493	1.9310109	1707	195	154	137	24	24	4	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	296.881	1.35307e-09	3.16298e-10	0	23	4402547.7	4402547.7
6.6995	17.163699	-42.3581	12.9217	0	0	0	86515711	2	0	0	0	296.85219	17.165354	1.360203e-09	3.128804e-10	-1790.667	7.7091023e+08	1.659921e+08	2.011895	3.7518935	1.9364109	1628	200	158	125	24	24	2	0	0	16.997457	0	6.6988738	0	0	0	0	0	0	297.846	-5.22782e-13	296.856	1.34156e-09	3.12115e-10	0	18	4505763.7	4505763.7
6.7	17.162379	-42.3613	12.9216	0	0	0	86515715	2	0	0	0	296.82272	17.165354	1.332044e-09	3.092424e-10	-1790.667	7.7091023e+08	1.6406788e+08	2.0121952	4.2767223	1.9261392	1569	195	124	121	20	20	0	0	0	16.997457	0	6.6988738	0	0	0	0	0	0	297.846	-5.22782e-13	296.829	1.34515e-09	3.07388e-10	0	21	4412219.2	4412219.2
6.7005	17.161059	-42.3644	12.9215	0	0	0	86515718	2	0	0	0	296.7928	17.162854	1.374094e-09	3.007052e-10	-1790.667	7.7091023e+08	1.5954416e+08	2.0121958	4.0925321	1.9298461	1601	196	156	134	12	12	0	0	0	16.997457	0	6.6998202	0	0	0	0	0	0	297.846	-5.22782e-13	296.803	1.36095e-09	2.99107e-10	0	21	4551230.1	4551230.1
6.701	17.159739	-42.3676	12.9214	0	0	0	86515722	2	0	0	0	296.76952	17.162854	1.349289e-09	2.928928e-10	-1790.667	7.7091023e+08	1.554047e+08	2.0121024	5.11535	1.9091763	1535	177	155	122	18	18	1	0	0	16.997457	0	6.6998202	0	0	0	0	0	0	297.846	-5.22782e-13	296.773	1.37071e-09	2.97271e-10	0	21	4468802.5	4468802.5
6.7015	17.158419	-42.3708	12.9212	0	0	0	86515725	2	0	0	0	296.74074	17.160354	1.403947e-09	3.066418e-10	-1790.667	7.7091023e+08	1.6270551e+08	2.0119546	3.8243408	1.9350106	1630	184	146	138	30	30	0	0	0	16.997457	0	6.7007669	0	0	0	0	0	0	297.846	-5.22782e-13	296.751	1.37833e-09	3.06425e-10	0	18	4649548	4649548
6.702	17.157099	-42.3739	12.9211	0	0	0	86515729	2	0	0	0	296.71731	17.160354	1.389282e-09	3.096297e-10	-1790.667	7.7091023e+08	1.6429676e+08	2.011967	4.197858	1.9275075	1634	202	156	111	22	22	0	0	0	16.997457	0	6.7007669	0	0	0	0	0	0	297.846	-5.22782e-13	296.725	1.4008e-09	3.10202e-10	0	12	4600703.8	4600703.8
6.7025	17.155779	-42.3771	12.921	0	0	0	86515732	2	0	0	0	296.69404	17.157854	1.429409e-09	3.156337e-10	-1790.667	7.7091023e+08	1.6748859e+08	2.0118285	4.2347785	1.926632	1617	179	165	118	27	27	1	0	0	16.997457	0	6.7017139	0	0	0	0	0	0	297.846	-5.22782e-13	296.698	1.39788e-09	3.1209e-10	0	15	4733302	4733302
6.703	17.154459	-42.3803	12.9209	0	0	0	86515736	2	0	0	0	296.66578	17.157854	1.407432e-09	3.127276e-10	-1790.667	7.7091023e+08	1.6595241e+08	2.0122128	4.0326073	1.9310682	1699	191	165	133	33	33	0	0	0	16.997457	0	6.7017139	0	0	0	0	0	0	297.846	-5.22782e-13	296.669	1.41022e-09	3.121e-10	0	25	4660247.4	4660247.4
6.7035	17.153139	-42.3834	12.9208	0	0	0	86515739	2	0	0	0	296.63591	17.155354	1.439787e-09	3.11406e-10	-1790.667	7.7091023e+08	1.6525699e+08	2.0122218	3.7834876	1.9360896	1676	189	170	130	21	21	1	0	0	16.997457	0	6.7026612	0	0	0	0	0	0	297.846	-5.22782e-13	296.646	1.4252e-09	3.09477e-10	0	19	4767093.2	4767093.2
6.704	17.151819	-42.3866	12.9207	0	0	0	86515743	2	0	0	0	296.61154	17.155354	1.464645e-09	3.07125e-10	-1790.667	7.7091023e+08	1.6299096e+08	2.0053805	4.3437064	1.9182726	1649	170	162	137	28	28	1	0	0	16.997457	0	6.7026612	0	0	0	0	0	0	297.846	-5.22782e-13	296.616	1.42897e-09	3.07502e-10	0	17	4849105.4	4849105.4
6.7045	17.150504	-42.3897	12.9206	0	0	0	86515746	2	0	0	0	296.58968	17.152854	1.464578e-09	3.092566e-10	-1790.667	7.7091023e+08	1.6412806e+08	2.0119258	4.2762612	1.9258906	1683	202	150	144	24	24	0	0	0	16.997457	0	6.7036087	0	0	0	0	0	0	297.846	-5.22782e-13	296.593	1.43893e-09	3.07222e-10	0	18	4848591.6	4848591.6
6.705	17.149184	-42.3929	12.9205	0	0	0	86515750	2	0	0	0	296.56119	17.152854	1.445542e-09	3.072671e-10	-1790.667	7.7091023e+08	1.6307803e+08	2.0120387	4.3346124	1.9248246	1654	191	152	152	38	38	1	0	0	16.997457	0	6.7036087	0	0	0	0	0	0	297.846	-5.22782e-13	296.564	1.44493e-09	3.06513e-10	0	22	4785283.5	4785283.5
6.7055	17.147864	-42.3961	12.9204	0	0	0	86515753	2	0	0	0	296.52976	17.150354	1.473307e-09	3.080594e-10	-1790.667	7.7091023e+08	1.6350437e+08	2.0122253	4.1805419	1.9281034	1616	208	152	121	24	24	0	0	0	16.997457	0	6.7045565	0	0	0	0	0	0	297.846	-5.22782e-13	296.542	1.46291e-09	3.07828e-10	0	5	4876902.4	4876902.4
6.706	17.146549	-42.3992	12.9203	0	0	0	86515757	2	0	0	0	296.5091	17.150354	1.460151e-09	3.044214e-10	-1790.667	7.7091023e+08	1.6157926e+08	2.012201	4.5465359	1.9207155	1657	195	161	145	30	30	2	0	0	16.997457	0	6.7045565	0	0	0	0	0	0	297.846	-5.22782e-13	296.516	1.45749e-09	3.058e-10	0	15	4833062.9	4833062.9
6.7065	17.145229	-42.4024	12.9202	0	0	0	86515760	2	0	0	0	296.48656	17.147854	1.49684e-09	3.074021e-10	-1790.667	7.7091023e+08	1.6316718e+08	2.012056	4.1991515	1.9275667	1635	207	158	132	30	30	0	0	0	16.997457	0	6.7055046	0	0	0	0	0	0	297.846	-5.22782e-13	296.49	1.4684e-09	3.06599e-10	0	13	4954204.3	4954204.3
6.707	17.143909	-42.4055	12.9201	0	0	0	86515764	2	0	0	0	296.456	17.147854	1.463913e-09	3.039879e-10	-1790.667	7.7091023e+08	1.6136071e+08	2.0120362	3.5144816	1.9413235	1642	200	136	142	26	26	2	0	0	16.997457	0	6.7055046	0	0	0	0	0	0	297.846	-5.22782e-13	296.46	1.47891e-09	3.0314e-10	0	18	4844931.8	4844931.8
6.7075	17.142594	-42.4087	12.92	0	0	0	86515767	2	0	0	0	296.43403	17.145354	1.508745e-09	3.03892e-10	-1790.667	7.7091023e+08	1.6131559e+08	2.0121997	4.2705424	1.9262678	1601	184	156	143	31	32	0	0	0	16.997457	0	6.706453	0	0	0	0	0	0	297.846	-5.22782e-13	296.437	1.49827e-09	3.02029e-10	0	18	4993006.2	4993006.2
6.708	17.141274	-42.4119	12.9199	0	0	0	86515771	2	0	0	0	298.26698	17.142854	1.485613e-09	3.029186e-10	-1790.667	7.7091023e+08	1.6080463e+08	2.0120746	4.3287302	1.9249773	1683	201	152	150	33	33	0	0	0	16.997457	0	6.7074016	0	0	0	0	0	0	297.846	-5.22782e-13	297.34	1.50284e-09	3.04953e-10	0	18	4916157.9	4916157.9
6.7085	17.139959	-42.415	12.9198	0	0	0	86515774	2	0	0	0	298.24306	17.142854	1.550713e-09	3.042935e-10	-1790.667	7.7091023e+08	1.6154029e+08	2.0119859	4.3470841	1.9245232	1671	185	164	146	34	34	0	0	0	16.997457	0	6.7074016	0	0	0	0	0	0	297.846	-5.22782e-13	298.247	1.54407e-09	3.0395e-10	0	23	5131276.7	5131276.7
6.709	17.138644	-42.4182	12.9197	0	0	0	86515778	2	0	0	0	298.21228	17.140354	1.535533e-09	3.039524e-10	-1790.667	7.7091023e+08	1.6136499e+08	2.0122032	4.9255145	1.9130918	1683	213	158	146	36	36	1	0	0	16.997457	0	6.7083506	0	0	0	0	0	0	297.846	-5.22782e-13	298.219	1.54969e-09	3.03562e-10	0	16	5080740.7	5080740.7
6.7095	17.137324	-42.4214	12.9196	0	0	0	86515781	2	0	0	0	298.1829	17.140354	1.569408e-09	3.043006e-10	-1790.667	7.7091023e+08	1.6155564e+08	2.0118579	4.3817329	1.9237037	1657	173	164	149	24	24	3	0	0	16.997457	0	6.7083506	0	0	0	0	0	0	297.846	-5.22782e-13	298.194	1.55394e-09	3.04003e-10	0	12	5192513.3	5192513.3
6.71	17.136009	-42.4245	12.9195	0	0	0	86515785	2	0	0	0	298.15889	17.137854	1.54553e-09	3.0305e-10	-1790.667	7.7091023e+08	1.6089746e+08	2.0121299	4.0308332	1.9310243	1607	177	158	157	30	30	0	0	0	16.997457	0	6.7092998	0	0	0	0	0	0	297.846	-5.22782e-13	298.166	1.57348e-09	3.03033e-10	0	15	5113203.4	5113203.4
6.7105	17.134694	-42.4277	12.9194	0	0	0	86515788	2	0	0	0	298.13006	17.137854	1.607606e-09	3.026059e-10	-1790.667	7.7091023e+08	1.6066744e+08	2.011976	4.3093635	1.9252726	1611	174	148	136	38	38	2	0	0	16.997457	0	6.7092998	0	0	0	0	0	0	297.846	-5.22782e-13	298.139	1.59094e-09	3.02881e-10	0	22	5318254.7	5318254.7
6.711	17.133374	-42.4308	12.9193	0	0	0	86515792	2	0	0	0	298.10715	17.135354	1.592216e-09	3.00787e-10	-1790.667	7.7091023e+08	1.5970744e+08	2.0117885	4.311165	1.925057	1609	189	152	144	33	33	1	0	0	16.997457	0	6.7102493	0	0	0	0	0	0	297.846	-5.22782e-13	298.114	1.60401e-09	3.03754e-10	0	19	5267025	5267025
6.7115	17.132059	-42.434	12.9192	0	0	0	86515795	2	0	0	0	298.08384	17.135354	1.643699e-09	3.046416e-10	-1790.667	7.7091023e+08	1.6175991e+08	2.012239	4.1780802	1.9281661	1677	185	185	161	31	32	2	0	0	16.997457	0	6.7102493	0	0	0	0	0	0	297.846	-5.22782e-13	298.088	1.64062e-09	3.01686e-10	0	20	5437003	5437003
6.712	17.130744	-42.4372	12.919	0	0	0	86515799	2	0	0	0	298.05318	17.132854	1.660485e-09	3.008971e-10	-1790.667	7.7091023e+08	1.5977738e+08	2.0119322	4.2006188	1.9274186	1609	173	163	147	22	22	0	0	0	16.997457	0	6.7111991	0	0	0	0	0	0	297.846	-5.22782e-13	298.064	1.65648e-09	3.02521e-10	0	15	5492197.2	5492197.2
6.7125	17.129429	-42.4403	12.9189	0	0	0	86515803	2	0	0	0	298.02397	17.132854	1.686423e-09	3.006164e-10	-1790.667	7.7091023e+08	1.5963406e+08	2.0119392	4.2244935	1.926945	1700	197	139	163	35	35	0	0	0	16.997457	0	6.7111991	0	0	0	0	0	0	297.846	-5.22782e-13	298.035	1.66778e-09	3.02576e-10	0	20	5577654.1	5577654.1
6.713	17.128114	-42.4435	12.9188	0	0	0	86515806	2	0	0	0	297.99429	17.130354	1.689077e-09	3.023963e-10	-1790.667	7.7091023e+08	1.60585e+08	2.0120746	4.3111563	1.9253309	1693	195	184	153	34	34	0	0	0	16.997457	0	6.7121492	0	0	0	0	0	0	297.846	-5.22782e-13	298.006	1.66694e-09	3.02832e-10	0	20	5586096.1	5586096.1
6.7135	17.126799	-42.4466	12.9187	0	0	0	86515810	2	0	0	0	297.97219	17.130354	1.676739e-09	3.006804e-10	-1790.667	7.7091023e+08	1.5967954e+08	2.0119226	4.4901927	1.9215834	1631	190	143	155	27	27	1	0	0	16.997457	0	6.7121492	0	0	0	0	0	0	297.846	-5.22782e-13	297.976	1.67679e-09	3.00184e-10	0	23	5544958.6	5544958.6
6.714	17.125484	-42.4498	12.9186	0	0	0	86515813	2	0	0	0	297.95019	17.127854	1.698478e-09	3.018599e-10	-1790.667	7.7091023e+08	1.6031169e+08	2.0121203	4.3813364	1.9239626	1661	190	138	184	29	30	0	0	0	16.997457	0	6.7130995	0	0	0	0	0	0	297.846	-5.22782e-13	297.954	1.70088e-09	2.98946e-10	0	24	5616511.7	5616511.7
6.7145	17.124169	-42.453	12.9185	0	0	0	86515817	2	0	0	0	297.92008	17.127854	1.690367e-09	2.998313e-10	-1790.667	7.7091023e+08	1.5924008e+08	2.0118528	4.6722305	1.9178544	1681	196	174	158	25	25	1	0	0	16.997457	0	6.7130995	0	0	0	0	0	0	297.846	-5.22782e-13	297.928	1.70801e-09	2.98402e-10	0	13	5589354.4	5589354.4
6.715	17.122854	-42.4561	12.9184	0	0	0	86515820	2	0	0	0	297.89689	17.125354	1.728225e-09	3.011422e-10	-1790.667	7.7091023e+08	1.5994206e+08	2.0119347	4.3404033	1.9246086	1650	205	131	186	27	27	0	0	0	16.997457	0	6.7140501	0	0	0	0	0	0	297.846	-5.22782e-13	297.902	1.71066e-09	2.99688e-10	0	14	5714192	5714192
6.7155	17.121539	-42.4593	12.9183	0	0	0	86515824	2	0	0	0	297.86625	17.125354	1.699117e-09	3.011777e-10	-1790.667	7.7091023e+08	1.5996668e+08	2.0121184	3.8244429	1.9351661	1657	209	185	147	34	34	1	0	0	16.997457	0	6.7140501	0	0	0	0	0	0	297.846	-5.22782e-13	297.874	1.71957e-09	2.98874e-10	0	21	5617611.9	5617611.9
6.716	17.120229	-42.4624	12.9182	0	0	0	86515827	2	0	0	0	297.84314	17.122854	1.7288e-09	2.995328e-10	-1790.667	7.7091023e+08	1.5909874e+08	2.0121603	3.8163162	1.9353699	1691	204	144	173	29	29	1	0	0	16.997457	0	6.715001	0	0	0	0	0	0	297.846	-5.22782e-13	297.847	1.73091e-09	2.98034e-10	0	23	5715406.3	5715406.3
6.7165	17.118914	-42.4656	12.9181	0	0	0	86515831	2	0	0	0	297.81169	17.120354	1.730911e-09	2.966054e-10	-1790.667	7.7091023e+08	1.5754952e+08	2.0118026	4.5185508	1.9208982	1616	187	184	142	30	30	1	0	0	16.997457	0	6.7159522	0	0	0	0	0	0	297.846	-5.22782e-13	297.824	1.74217e-09	2.96253e-10	0	20	5722041.4	5722041.4
