monoE,roi3_mean,roi3_std,mcaLt_mean,mcaLt_std,roi3/mcaLt_mean,roi3/mcaLt_std
8.879,41.0,,0.92637632,,44.258471546422946,
8.887,50.0,,0.92174784,,54.24477045696142,
8.895,48.0,,0.92804704,,51.72151618521406,
8.903,49.0,,0.9290256,,52.74343355016266,
8.911,47.0,,0.92667392,,50.71902746545408,
8.919,49.0,,0.92411776,,53.023545397504314,
8.927,45.0,,0.92110976,,48.85411267382511,
8.935,55.0,,0.92183104,,59.66386204569549,
8.943,58.0,,0.92711808,,62.55945305262519,
8.951,52.0,,0.9265248,,56.12370008876179,
8.959,94.0,43.840620433565945,1.37920832,0.6481664328418965,68.21923710412341,0.27319957829813746
8.9595,129.0,,1.8373322,,70.21049323579045,
8.96,130.0,,1.832599,,70.93750460411688,
8.9605,141.0,,1.8377299,,76.72509436778495,
8.961,133.0,,1.8439507,,72.12774181001694,
8.9615,147.0,,1.8447926,,79.68375415209276,
8.962,154.0,,1.833103,,84.01055478060971,
8.9625,128.0,,1.8324778,,69.85077800123963,
8.963,152.0,,1.841217,,82.55409329807404,
8.9635,160.0,,1.8398835,,86.96202775882277,
8.964,158.0,,1.8393072,,85.90190915362045,
8.9645,157.0,,1.8398586,,85.33264458475233,
8.965,143.0,,1.8310582,,78.09691685387172,
8.9655,147.0,,1.8272806,,80.4474145897461,
8.966,178.0,,1.833224,,97.09669958499343,
8.9665,148.0,,1.8349744,,80.65507616891004,
8.967,174.0,,1.8302381,,95.06959777528398,
8.9675,159.0,,1.8391389,,86.45350277784891,
8.968,163.0,,1.8299382,,89.07404632571745,
8.9685,186.0,,1.8360819,,101.30267064884198,
8.969,165.0,,1.8312243,,90.10365360485879,
8.9695,146.0,,1.8323651,,79.67844399568622,
8.97,204.0,,1.8334794,,111.26386257734883,
8.9705,177.0,,1.8340502,,96.50771827292404,
8.971,198.0,,1.8354474,,107.87560569700881,
8.9715,215.0,,1.833351,,117.27159720097244,
8.972,204.0,,1.8383613,,110.96839342734205,
8.9725,193.0,,1.8171232,,106.21184078217702,
8.973,209.0,,1.8282602,,114.31633199694443,
8.9735,202.0,,1.8405434,,109.75019659954772,
8.974,216.0,,1.8322186,,117.88986314187619,
8.9745,209.0,,1.8313555,,114.12311809476643,
8.975,249.0,,1.8342662,,135.74910773583463,
8.9755,237.0,,1.8245485,,129.89514940271525,
8.976,243.0,,1.8316006,,132.67084537971868,
8.9765,261.0,,1.82768,,142.80399194607372,
8.977,271.0,,1.8305568,,148.0423879772537,
8.9775,318.0,,1.8205395,,174.67349651023775,
8.978,315.0,,1.8248205,,172.6197179393809,
8.9785,304.0,,1.8270822,,166.38550799739608,
8.979,351.0,,1.8316499,,191.6305075549645,
8.9795,357.0,,1.8239747,,195.7263990558641,
8.98,431.0,,1.8219814,,236.55565309283617,
8.9805,406.0,,1.8393382,,220.73156529886674,
8.981,442.0,,1.8153968,,243.47294211381225,
8.9815,467.0,,1.8267786,,255.64126928134587,
8.982,601.0,,1.8215962,,329.9304203642937,
8.9825,557.0,,1.8237955,,305.40704810380333,
8.983,707.0,,1.8202886,,388.39994932671664,
8.9835,772.0,,1.819839,,424.2133507414667,
8.984,983.0,,1.8074976,,543.8458120221017,
8.9845,1171.0,,1.7994765,,650.7448138389137,
8.985,1364.0,,1.7971414,,758.9831273154132,
8.9855,1600.0,,1.7994032,,889.1837026854237,
8.986,1922.0,,1.7825536,,1078.2284470997113,
8.9865,2177.0,,1.7757693,,1225.947537216687,
8.987,2525.0,,1.7584157,,1435.9516921965608,
8.9875,2959.0,,1.7508339,,1690.0518090265446,
8.988,3198.0,,1.7556051,,1821.5941614660383,
8.9885,3515.0,,1.7372784,,2023.2796309445857,
8.989,3809.5,102.5304832720494,1.7298371499999998,0.004038074695321987,2202.305605320221,64.41274417551908
8.9895,4054.0,,1.7223891,,2353.707417214844,
8.99,4306.0,,1.721503,,2501.302640773789,
8.9905,4441.0,,1.7073094,,2601.1688332530707,
8.991,4781.0,,1.7051946,,2803.785562070159,
8.9915,5017.0,,1.6931955,,2963.036459759077,
8.992,5501.0,,1.6800755,,3274.257615208364,
8.9925,5801.0,,1.6663126,,3481.3395757794788,
8.993,6205.0,,1.649192,,3762.4485202450655,
