monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,142983800.0,,1.0118438,,141310150.8355341,
8.96,144659580.0,,1.0053469,,143890213.41787598,
8.961,144325820.0,,1.0121427,,142594339.71118894,
8.962,143961900.0,,1.0117962,,142283495.43119454,
8.963,144245620.0,,1.011793,,142564358.51997396,
8.964,145667490.0,,1.012057,,143932100.66231447,
8.965,147187490.0,,1.012144,,145421491.40833718,
8.966,149258390.0,,1.0118941,,147503963.11234546,
8.967,150929590.0,,1.0122755,,149099321.2816076,
8.968,153159460.0,,1.0122499,,151305976.91340843,
8.969,154841850.0,,1.0121293,,152986234.07108164,
8.97,156294410.0,,1.0120128,,154439163.22006994,
8.971,157101430.0,,1.0119872,,155240530.71026984,
8.972,159338780.0,,1.0119469,,157457649.21064532,
8.973,160211710.0,,1.0121978,,158281029.65645647,
8.974,159822100.0,,1.0118928,,157943707.08043382,
8.975,161484660.0,,1.0119453,,159578447.57023922,
8.976,163476170.0,,1.0118861,,161555900.4121116,
8.977,164956860.0,,1.0122285,,162964054.06486776,
8.978,162349020.0,,1.0121827,,160394976.12436962,
8.979,158168170.0,,1.0118093,,156322115.2444438,
8.98,149032740.0,,1.0120758,,147254523.82123947,
8.981,136008950.0,,1.0121843,,134371724.5960049,
8.982,122035060.0,,1.0118675,,120603794.46913752,
8.983,109115480.0,,1.0118378,,107838904.61494917,
8.984,101110300.0,,1.0120205,,99909339.78116056,
8.985,98742514.0,,1.0122426,,97548269.55514419,
8.986,99413934.0,,1.0121478,,98220767.75743622,
8.987,96527833.0,,1.0118118,,95400975.75458202,
8.988,93753736.0,,1.012223,,92621621.91532892,
8.989,88331510.0,,1.0122858,,87259457.75392681,
8.99,83862052.0,,1.0120608,,82862662.00607711,
8.991,77861038.0,,1.0119648,,76940460.77492023,
8.992,70855434.0,,1.0122125,,70000552.25557874,
8.993,64684401.0,,1.0121002,,63911064.33928183,
8.994,58581741.0,,1.0118637,,57894893.35371948,
8.995,54945933.0,,1.0118746,,54301128.81576432,
8.996,52397713.0,,1.0118864,,51782208.95151866,
8.997,52099526.0,,1.0122154,,51470789.71531158,
8.998,52794804.0,,1.012009,,52168314.708663665,
8.999,54388442.0,,1.0118618,,53750860.04827932,
