monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,103280150.0,,1.0118995,,102065620.1529895,
7.093,102078750.0,,1.0122246,,100845948.61654222,
7.094,102859350.0,,1.0120963,,101630002.99477431,
7.095,102777500.0,,1.0120979,,101548970.70728038,
7.096,102607920.0,,1.0121162,,101379584.67614688,
7.097,102960350.0,,1.0122525,,101714098.01408246,
7.098,102475230.0,,1.011801,,101280024.43168172,
7.099,101543880.0,,1.0118179,,100357860.83642125,
7.1,101220260.0,,1.0122886,,99991504.39904194,
7.101,100616000.0,,1.0121581,,99407394.95144089,
7.102,100381860.0,,1.0118166,,99209540.54321703,
7.103,100387410.0,,1.0122586,,99171703.75238106,
7.104,98777208.0,,1.011945,,97611241.71768227,
7.105,97020546.0,,1.0118173,,95887415.64312056,
7.106,96308408.0,,1.0118259,,95182785.89231606,
7.107,95073611.0,,1.0121056,,93936453.86410272,
7.108,93748964.0,,1.0117914,,92656415.14644225,
7.109,91696717.0,,1.0122874,,90583679.10140935,
7.11,88826971.0,,1.0118893,,87783289.14042278,
7.111,82436322.0,,1.0120122,,81457834.203975,
7.112,68494079.0,,1.0120608,,67677830.22521967,
7.113,49461786.0,,1.0121891,,48866151.59163441,
7.114,35818120.0,,1.0121469,,35388262.31646809,
7.115,29230825.0,,1.011831,,28889038.782168172,
7.116,25420853.0,,1.0119901,,25119665.69633438,
7.117,23622093.0,,1.0120758,,23340240.918713793,
7.118,22014248.0,,1.0121174,,21750686.23462061,
7.119,18883691.0,,1.0120509,,18658835.24237763,
7.12,14624296.0,,1.0121632,,14448555.33178839,
7.121,10975123.0,,1.0118541,,10846546.947825778,
7.122,8164767.5,,1.0120611,,8067464.997913664,
7.123,6373108.4,,1.011975,,6297693.52009684,
7.124,5256751.4,,1.0119949,,5194444.55698344,
7.125,4610836.6,,1.0119312,,4556472.416306563,
7.126,4134718.9,,1.0121056,,4085264.324197001,
7.127,3590145.5,,1.011855,,3548082.976315777,
7.128,3256443.6,,1.0122736,,3216959.9207170866,
7.129,2957844.3,,1.0058669,,2940592.1399739864,
7.13,2631833.6,,1.0120515,,2600493.749576973,
7.131,2325301.6,,1.0122544,,2297151.388030519,
7.132,2177003.1,,1.0122192,,2150722.9856932173,
