# Scan number: 18
# Command: ascan monoE 8.959 8.989 60 2
# Date: Fri Jul 26 02:14:03 2024
# date: Fri Jul 26 02:14:03 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-58.6672	12.593	0	0	0	86522728	2	0	0	0	297.3097	12.751037	6.271346e-09	4.674554e-10	-1790.667	7.7091023e+08	3.2884781e+08	2.0119434	8.6688405	1.8375312	6093	150	256	125	4	1820	3	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.32	6.28059e-09	4.6858e-10	0	43	16873972	16873972
8.9595	12.748049	-58.6672	12.593	0	0	0	86522731	2	0	0	0	297.28797	12.751037	6.303434e-09	4.658034e-10	-1790.667	7.7091023e+08	3.2771252e+08	2.0118045	8.6724292	1.8373322	6092	184	233	129	1	1846	2	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.299	6.27723e-09	4.68336e-10	0	27	16959801	16959801
8.96	12.747324	-58.6672	12.5929	0	0	0	86522734	2	0	0	0	297.26626	12.748537	6.285813e-09	4.678036e-10	-1790.667	7.7091023e+08	3.2914674e+08	2.0117837	8.9067548	1.832599	6103	159	257	130	2	1766	3	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.273	6.27408e-09	4.67987e-10	0	23	16911884	16911884
8.9605	12.746599	-58.6672	12.5929	0	0	0	86522737	2	0	0	0	297.24342	12.748537	6.299807e-09	4.712035e-10	-1790.667	7.7091023e+08	3.3156609e+08	2.0118499	8.6547211	1.8377299	6179	175	262	141	0	1900	4	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.247	6.30032e-09	4.68595e-10	0	43	16949027	16949027
8.961	12.745879	-58.6672	12.5929	0	0	0	86522740	2	0	0	0	297.22114	12.748537	6.350408e-09	4.713741e-10	-1790.667	7.7091023e+08	3.3171334e+08	2.0122307	8.3628581	1.8439507	6200	168	262	133	3	1817	4	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.225	6.33673e-09	4.69964e-10	0	33	17084652	17084652
8.9615	12.745154	-58.6672	12.5928	0	0	0	86522744	2	0	0	0	297.1919	12.748537	6.333892e-09	4.713456e-10	-1790.667	7.7091023e+08	3.3172049e+08	2.0119203	8.3068737	1.8447926	6122	172	235	147	2	1832	3	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.203	6.33875e-09	4.69158e-10	0	44	17039709	17039709
8.962	12.744429	-58.6672	12.5928	0	0	0	86522747	2	0	0	0	297.16955	12.746037	6.367134e-09	4.689085e-10	-1790.667	7.7091023e+08	3.3003239e+08	2.0119798	8.8905861	1.833103	6147	164	249	154	4	1827	2	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.174	6.38188e-09	4.71328e-10	0	37	17128625	17128625
8.9625	12.743709	-58.6672	12.5928	0	0	0	86522751	2	0	0	0	297.14061	12.746037	6.400029e-09	4.697043e-10	-1790.667	7.7091023e+08	3.3061961e+08	2.0121002	8.9271103	1.8324778	6024	166	261	128	0	1821	1	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.152	6.40132e-09	4.7127e-10	0	30	17216603	17216603
8.963	12.742984	-58.6672	12.5927	0	0	0	86522754	2	0	0	0	297.1195	12.746037	6.377213e-09	4.68745e-10	-1790.667	7.7091023e+08	3.2997144e+08	2.0120451	8.4902748	1.841217	6139	169	254	152	1	1894	3	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.131	6.41388e-09	4.71885e-10	0	38	17154712	17154712
8.9635	12.742264	-58.6672	12.5927	0	0	0	86522757	2	0	0	0	297.09694	12.743537	6.414481e-09	4.689049e-10	-1790.667	7.7091023e+08	3.3011108e+08	2.0119866	8.5538862	1.8398835	6148	201	291	160	4	1790	2	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.109	6.42289e-09	4.71961e-10	0	34	17254447	17254447
8.964	12.741539	-58.6672	12.5926	0	0	0	86522760	2	0	0	0	297.07548	12.743537	6.425442e-09	4.736904e-10	-1790.667	7.7091023e+08	3.3350745e+08	2.0118682	8.5771505	1.8393072	6052	205	227	158	1	1807	2	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.079	6.43461e-09	4.71714e-10	0	45	17283415	17283415
8.9645	12.740819	-58.6672	12.5926	0	0	0	86522763	2	0	0	0	297.05325	12.743537	6.451671e-09	4.729586e-10	-1790.667	7.7091023e+08	3.3301954e+08	2.0120355	8.5573519	1.8398586	6126	174	242	157	1	1861	5	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.057	6.4454e-09	4.72007e-10	0	32	17353448	17353448
8.965	12.740094	-58.6672	12.5926	0	0	0	86522766	2	0	0	0	297.03243	12.743537	6.459317e-09	4.735483e-10	-1790.667	7.7091023e+08	3.3346211e+08	2.0118227	8.9851098	1.8310582	6252	180	242	143	0	1850	5	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.036	6.46088e-09	4.73528e-10	0	36	17373494	17373494
8.9655	12.739374	-58.6672	12.5925	0	0	0	86522769	2	0	0	0	297.00301	12.741037	6.458272e-09	4.702514e-10	-1790.667	7.7091023e+08	3.3116768e+08	2.0121072	9.1857213	1.8272806	6121	180	238	147	0	1817	6	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.015	6.4516e-09	4.71647e-10	0	35	17370164	17370164
8.966	12.738649	-58.6672	12.5925	0	0	0	86522773	2	0	0	0	296.98045	12.741037	6.481851e-09	4.726104e-10	-1790.667	7.7091023e+08	3.3285629e+08	2.0119258	8.882125	1.833224	6106	170	227	178	1	1807	3	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.991	6.47884e-09	4.72854e-10	0	26	17433062	17433062
8.9665	12.737929	-58.6672	12.5925	0	0	0	86522776	2	0	0	0	296.96058	12.741037	6.480075e-09	4.753424e-10	-1790.667	7.7091023e+08	3.3480789e+08	2.012039	8.8002587	1.8349744	6151	164	238	148	1	1847	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.967	6.47776e-09	4.73776e-10	0	40	17427765	17427765
