# Scan number: 20
# Command: k-scan 3 12 8.979 180 1 10
# Date: Fri Jul 26 02:20:39 2024
# date: Fri Jul 26 02:20:39 2024
# C Fri Jul 26 02: 42:18 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86523125	1	0	0	0	296.95794	12.673537	2.640768e-09	4.868426e-10	-1790.667	7.7091023e+08	3.4555986e+08	1.0122746	18.59859	0.82400576	7316	77	115	3588	4	910	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	296.967	2.63105e-09	4.89228e-10	0	17	7082602.6	7082602.6
9.01444	12.669064	25	-58.6672	12.589	86523128	1.0200544	0	0	0	296.93463	12.671037	2.618336e-09	4.882992e-10	-1790.667	7.7091023e+08	3.4665959e+08	1.0281875	19.341841	0.82931712	7499	74	102	3617	1	922	3	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.943	2.62988e-09	4.90216e-10	0	12	7021968.9	7021968.9
9.0156	12.667399	25	-58.6672	12.5889	86523130	1.0404384	0	0	0	296.92205	12.668537	2.625825e-09	4.910738e-10	-1790.667	7.7091023e+08	3.4869617e+08	1.0521501	19.935255	0.84240128	7753	88	113	3836	6	934	3	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.922	2.62566e-09	4.9002e-10	0	17	7041577.5	7041577.5
9.01678	12.665709	25	-58.6672	12.5888	86523133	1.061152	0	0	0	296.89835	12.668537	2.650321e-09	4.872014e-10	-1790.667	7.7091023e+08	3.4601395e+08	1.0678022	19.548249	0.8590656	7668	98	148	3679	7	957	1	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.902	2.63615e-09	4.88733e-10	0	21	7106779.5	7106779.5
9.01799	12.663989	25	-58.6672	12.5887	86523135	1.0821956	0	0	0	296.87671	12.666037	2.664361e-09	4.900187e-10	-1790.667	7.7091023e+08	3.480844e+08	1.0922678	19.473085	0.8795696	7818	98	132	3838	9	981	3	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.885	2.65569e-09	4.88844e-10	0	12	7143924.7	7143924.7
9.01921	12.662244	25	-58.6672	12.5887	86523138	1.1035684	0	0	0	296.86002	12.663537	2.690417e-09	4.919016e-10	-1790.667	7.7091023e+08	3.4949237e+08	1.1157958	19.551763	0.89763808	8057	79	126	3971	8	979	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.86	2.67901e-09	4.90026e-10	0	23	7213276.9	7213276.9
9.02045	12.660474	25	-58.6672	12.5886	86523141	1.1252712	0	0	0	296.83964	12.663537	2.712227e-09	4.911236e-10	-1790.667	7.7091023e+08	3.4901112e+08	1.1321085	20.237184	0.9030016	8027	89	128	3924	13	989	1	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.84	2.70672e-09	4.88328e-10	0	33	7271227.9	7271227.9
9.02171	12.658679	25	-58.6672	12.5885	86523144	1.1473032	0	0	0	296.81932	12.661037	2.741228e-09	4.865726e-10	-1790.667	7.7091023e+08	3.4584904e+08	1.1557946	19.382434	0.93177344	8138	80	143	3912	8	1029	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.822	2.74746e-09	4.88209e-10	0	22	7348439.5	7348439.5
9.02299	12.656859	25	-58.6672	12.5884	86523147	1.1696652	0	0	0	296.79459	12.658537	2.800306e-09	4.885763e-10	-1790.667	7.7091023e+08	3.4734674e+08	1.1801654	19.33657	0.95196192	8240	99	133	3910	6	1001	1	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	296.804	2.80019e-09	4.89999e-10	0	16	7506253.1	7506253.1
9.02428	12.655009	25	-58.6672	12.5883	86523149	1.1923568	0	0	0	296.77005	12.658537	2.863892e-09	4.891945e-10	-1790.667	7.7091023e+08	3.4786043e+08	1.2038906	19.231941	0.97235904	8354	94	132	3948	7	1097	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	296.778	2.88469e-09	4.90212e-10	0	28	7676122.1	7676122.1
