# Scan number: 27
# Command: ascan monoE 5.703 5.803 200 2
# Date: Fri Jul 26 03:20:34 2024
# date: Fri Jul 26 03:20:34 2024
# C Fri Jul 26 03: 41:11 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86526718	2	0	0	0	296.68757	20.287365	3.525109e-10	6.403198e-10	-1790.667	7.7091023e+08	3.2654634e+08	2.011983	3.5989806	1.9395722	800	3	740	3	0	0	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	296.692	3.52253e-10	6.40998e-10	0	30	1329522	1329522
5.7035	20.281719	-36.0608	13.1892	0	0	0	86526722	2	0	0	0	296.65836	20.284865	3.542269e-10	6.433112e-10	-1790.667	7.7091023e+08	3.28073e+08	2.0121562	2.8489558	1.9548307	774	1	719	1	0	1	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.669	3.53225e-10	6.41661e-10	0	34	1335901.2	1335901.2
5.704	20.279864	-36.064	13.189	0	0	0	86526725	2	0	0	0	296.62824	20.282365	3.554241e-10	6.461249e-10	-1790.667	7.7091023e+08	3.2950907e+08	2.0120227	2.8034992	1.9556157	831	8	760	1	0	0	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.64	3.54095e-10	6.44159e-10	0	35	1340323	1340323
5.7045	20.278009	-36.0672	13.1889	0	0	0	86526729	2	0	0	0	296.60686	20.282365	3.547385e-10	6.459544e-10	-1790.667	7.7091023e+08	3.2942326e+08	2.0054128	2.2122049	1.961049	785	2	726	5	1	0	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.611	3.5647e-10	6.46935e-10	0	39	1337644.7	1337644.7
5.705	20.276154	-36.0703	13.1887	0	0	0	86526733	2	0	0	0	296.57595	20.279865	3.55886e-10	6.475673e-10	-1790.667	7.7091023e+08	3.3024697e+08	2.0122058	3.0592975	1.9506464	823	3	759	4	3	0	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.58	3.58289e-10	6.4848e-10	0	37	1341878.4	1341878.4
5.7055	20.274299	-36.0735	13.1885	0	0	0	86526737	2	0	0	0	296.54572	20.277365	3.583445e-10	6.501715e-10	-1790.667	7.7091023e+08	3.3157623e+08	2.0117939	2.4880799	1.9617389	870	4	796	4	0	1	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.557	3.58807e-10	6.50005e-10	0	33	1351054.4	1351054.4
5.706	20.272444	-36.0766	13.1883	0	0	0	86526740	2	0	0	0	296.51363	20.274865	3.605294e-10	6.515677e-10	-1790.667	7.7091023e+08	3.3228944e+08	2.0118032	3.9243441	1.9328531	750	6	706	0	0	0	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.526	3.59673e-10	6.52424e-10	0	45	1359197.6	1359197.6
5.7065	20.270589	-36.0798	13.1882	0	0	0	86526744	2	0	0	0	296.49453	20.274865	3.603091e-10	6.549463e-10	-1790.667	7.7091023e+08	3.3401366e+08	2.0120259	3.3083311	1.9454614	782	1	719	1	0	0	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.497	3.60671e-10	6.54251e-10	0	41	1358272.7	1358272.7
5.707	20.268734	-36.083	13.188	0	0	0	86526748	2	0	0	0	296.46306	20.272365	3.622844e-10	6.582503e-10	-1790.667	7.7091023e+08	3.3569985e+08	2.0120592	2.6423716	1.9588931	762	4	709	0	0	1	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	296.471	3.62538e-10	6.57251e-10	0	30	1365624.2	1365624.2
5.7075	20.266884	-36.0861	13.1878	0	0	0	86526752	2	0	0	0	298.34247	20.269865	3.673044e-10	6.646097e-10	-1790.667	7.7091023e+08	3.3894429e+08	2.012169	3.207826	1.9476221	811	9	749	2	0	0	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.398	3.66355e-10	6.61581e-10	0	36	1384450.9	1384450.9
5.708	20.265029	-36.0893	13.1877	0	0	0	86526755	2	0	0	0	298.32013	20.267365	3.689138e-10	6.676792e-10	-1790.667	7.7091023e+08	3.4051093e+08	2.0122333	2.5500662	1.96092	842	7	778	3	0	0	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	298.324	3.69197e-10	6.65671e-10	0	40	1390420.5	1390420.5
5.7085	20.263179	-36.0924	13.1875	0	0	0	86526759	2	0	0	0	298.28833	20.267365	3.707044e-10	6.678675e-10	-1790.667	7.7091023e+08	3.4060819e+08	2.0119744	2.8785893	1.9540579	849	5	778	2	1	3	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	298.293	3.70499e-10	6.69101e-10	0	24	1397072.1	1397072.1
5.709	20.261324	-36.0956	13.1873	0	0	0	86526763	2	0	0	0	298.26069	20.264865	3.710063e-10	6.716867e-10	-1790.667	7.7091023e+08	3.4255721e+08	2.012184	3.1443645	1.9489136	797	7	725	1	0	0	1	0	0	16.997457	0	5.7080446	0	0	0	0	0	0	297.846	-5.22782e-13	298.268	3.72224e-10	6.70381e-10	0	33	1398112.8	1398112.8
5.7095	20.259474	-36.0988	13.1871	0	0	0	86526767	2	0	0	0	298.23042	20.262365	3.726797e-10	6.729834e-10	-1790.667	7.7091023e+08	3.4321977e+08	2.0118544	2.9758336	1.951985	813	5	745	1	1	0	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	298.243	3.71224e-10	6.71196e-10	0	40	1404321.4	1404321.4
5.71	20.257619	-36.1019	13.187	0	0	0	86526771	2	0	0	0	298.20041	20.259865	3.73543e-10	6.753105e-10	-1790.667	7.7091023e+08	3.4440785e+08	2.012135	2.7294073	1.9572157	860	5	804	0	0	0	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	298.213	3.72863e-10	6.73168e-10	0	38	1407476.7	1407476.7
5.7105	20.255769	-36.1051	13.1868	0	0	0	86526774	2	0	0	0	298.17762	20.259865	3.710952e-10	6.719922e-10	-1790.667	7.7091023e+08	3.4271679e+08	2.0119856	3.1700426	1.9482048	788	4	727	4	1	0	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	298.181	3.71331e-10	6.72872e-10	0	50	1398156.5	1398156.5
