# Scan number: 5
# Command: ascan monoE 8.959 8.989 60 2
# Date: Fri Jul 26 01:08:04 2024
# date: Fri Jul 26 01:08:04 2024
# C Fri Jul 26 01: 10:10 2024.  Scan aborted after 39 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-58.6672	12.593	0	0	0	86518769	2	0	0	0	296.63528	12.751037	3.259142e-09	2.741523e-10	-1790.667	7.7091023e+08	1.92862e+08	2.012248	6.0026796	1.8914592	2817	66	119	52	1	632	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.646	3.25817e-09	2.73418e-10	0	41	8769197.4	8769197.4
8.9595	12.748049	-58.6672	12.593	0	0	0	86518772	2	0	0	0	296.61467	12.751037	3.24702e-09	2.735021e-10	-1790.667	7.7091023e+08	1.9242037e+08	2.0120906	5.9534338	1.8923021	2923	78	141	65	3	671	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.618	3.25515e-09	2.72779e-10	0	37	8736319.5	8736319.5
8.96	12.747324	-58.6672	12.5929	0	0	0	86518775	2	0	0	0	296.59132	12.748537	3.231211e-09	2.759712e-10	-1790.667	7.7091023e+08	1.9417341e+08	2.012129	6.4309834	1.8827293	2872	83	125	50	3	688	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.595	3.26758e-09	2.75487e-10	0	33	8693523.9	8693523.9
8.9605	12.746599	-58.6672	12.5929	0	0	0	86518778	2	0	0	0	296.56711	12.748537	3.215892e-09	2.716085e-10	-1790.667	7.7091023e+08	1.9111948e+08	2.0121683	6.114892	1.8891264	2869	74	137	53	1	670	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.572	3.24525e-09	2.74144e-10	0	34	8652049.1	8652049.1
8.961	12.745879	-58.6672	12.5929	0	0	0	86518781	2	0	0	0	296.53862	12.748537	3.220897e-09	2.722373e-10	-1790.667	7.7091023e+08	1.9157765e+08	2.0118458	5.9745336	1.8916474	2822	98	129	44	4	617	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.549	3.25153e-09	2.74539e-10	0	27	8665255.1	8665255.1
8.9615	12.745154	-58.6672	12.5928	0	0	0	86518785	2	0	0	0	296.51606	12.746506	3.240462e-09	2.729585e-10	-1790.667	7.7091023e+08	1.9210093e+08	2.0122794	6.00715	1.8913987	2882	74	134	53	3	662	0	0	0	16.997457	0	8.9605659	0	0	0	0	0	0	297.846	-5.22782e-13	296.528	3.26033e-09	2.76843e-10	0	25	8717630.2	8717630.2
8.962	12.744429	-58.6672	12.5928	0	0	0	86518788	2	0	0	0	296.49512	12.746037	3.316199e-09	2.765255e-10	-1790.667	7.7091023e+08	1.9462725e+08	2.0120611	6.4022389	1.8832442	2949	67	110	59	2	697	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.506	3.28748e-09	2.73547e-10	0	31	8921114.1	8921114.1
8.9625	12.743709	-58.6672	12.5928	0	0	0	86518791	2	0	0	0	296.4735	12.746037	3.354604e-09	2.780247e-10	-1790.667	7.7091023e+08	1.9569848e+08	2.0122781	6.398718	1.8835181	2947	70	120	54	1	692	1	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.481	3.30915e-09	2.75802e-10	0	40	9024159.7	9024159.7
8.963	12.742984	-58.6672	12.5927	0	0	0	86518794	2	0	0	0	296.45072	12.746037	3.317634e-09	2.773035e-10	-1790.667	7.7091023e+08	1.9520685e+08	2.012095	6.2740257	1.8858557	2910	71	134	58	0	671	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.454	3.3246e-09	2.7676e-10	0	24	8924440.4	8924440.4
8.9635	12.742264	-58.6672	12.5927	0	0	0	86518797	2	0	0	0	296.42761	12.743537	3.345527e-09	2.752856e-10	-1790.667	7.7091023e+08	1.9380225e+08	2.0120458	5.758708	1.8961779	2931	75	123	67	1	686	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.431	3.33722e-09	2.77191e-10	0	38	8999203.4	8999203.4
