monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.102,551374610.0,,1.0121664,,544747000.0980077,
7.1025,549342450.0,,1.0118592,,542904042.3806,
7.103,548873490.0,,1.0119664,,542383116.6726484,
7.1035,551023410.0,,1.0119891,,544495400.1974922,
7.104,546835610.0,,1.011903,,540403190.8196734,
7.1045,548732620.0,,1.0120602,,542193656.0690757,
7.105,545725370.0,,1.0121082,,539196668.8937013,
7.1055,548213070.0,,1.0118675,,541783454.8495728,
7.106,543063200.0,,1.0119261,,536662904.5342343,
7.1065,547110630.0,,1.0122643,,540481996.6485038,
7.107,544523930.0,,1.0120406,,538045538.8845072,
7.1075,541901990.0,,1.0121725,,535385015.89403,
7.108,545608700.0,,1.0118986,,539193057.4861947,
7.1085,539238890.0,,1.0118454,,532926166.38865983,
7.109,539279920.0,,1.0120829,,532841647.65554285,
7.1095,539231280.0,,1.0118314,,532926019.09764814,
7.11,538051540.0,,1.0122752,,531526940.4999747,
7.1105,538765380.0,,1.0120336,,532359182.54097486,
7.111,535502570.0,,1.0120179,,529143377.7999381,
7.1115,536370470.0,,1.011927,,530048580.57942915,
7.112,530780340.0,,1.0120317,,524470073.4176607,
7.1125,528774850.0,,1.0118912,,522560972.9583576,
7.113,528440930.0,,1.0121658,,522089296.0422097,
7.1135,528062120.0,,1.0120998,,521749060.71515864,
7.114,527062890.0,,1.0119302,,520849056.5851282,
7.1145,523591680.0,,1.0119968,,517384719.0030641,
7.115,522999970.0,,1.0120998,,516747429.4531033,
7.1155,521061840.0,,1.0119946,,514885988.52207315,
7.116,521018250.0,,1.0119101,,514885907.35481346,
7.1165,520030180.0,,1.0120851,,513820606.5873315,
7.117,516321760.0,,1.0121949,,510101127.7571148,
7.1175,515844730.0,,1.0120326,,509711574.5085682,
7.118,513054910.0,,1.0122534,,506844343.52109855,
7.1185,512526930.0,,1.0119405,,506479313.754119,
7.119,512518070.0,,1.0118467,,506517509.0258238,
7.1195,510280150.0,,1.0121139,,504172652.9000343,
7.12,508949690.0,,1.0120621,,502883854.65674484,
7.1205,508189180.0,,1.0119213,,502202276.0070373,
7.121,507614000.0,,1.0119555,,501616918.9257828,
7.1215,507060250.0,,1.0118419,,501125966.4182714,
7.122,505663020.0,,1.0120426,,499645983.2817314,
7.1225,504595630.0,,1.0119622,,498630907.3599785,
7.123,503824970.0,,1.0119034,,497898287.52428347,
7.1235,502200910.0,,1.0118918,,496299021.2985223,
7.124,499727280.0,,1.0120976,,493754041.1122406,
7.1245,499713970.0,,1.0121149,,493732450.73261935,
7.125,497597350.0,,1.0120595,,491668078.80366725,
7.1255,498210850.0,,1.0121936,,492209049.73119766,
7.126,493504160.0,,1.0120163,,487644477.6630574,
7.1265,490681870.0,,1.0121859,,484774456.9451126,
7.127,491187770.0,,1.0120269,,485350507.97562796,
7.1275,491920250.0,,1.0119587,,486107041.7201808,
7.128,488300490.0,,1.012247,,482392627.49111634,
7.1285,489189190.0,,1.0119587,,483408255.6926483,
7.129,486944330.0,,1.012056,,481143662.0107978,
7.1295,487237210.0,,1.0119286,,481493664.6715983,
7.13,484026880.0,,1.0121802,,478202280.5820545,
7.1305,481757990.0,,1.0119296,,476078563.1727741,
7.131,484575290.0,,1.0119494,,478853280.6086945,
7.1315,483136770.0,,1.0119728,,477420707.35498035,
7.132,484287450.0,,1.0118355,,478622710.9050828,
7.1325,481130910.0,,1.011888,,475478422.51316357,
7.133,479748710.0,,1.0120656,,474029262.53001785,
7.1335,480148890.0,,1.0121808,,474370675.6737531,
7.134,478948290.0,,1.011912,,473310218.67514175,
7.1345,477729980.0,,1.0119821,,472073547.5459497,
7.135,477225080.0,,1.0117949,,471661875.3464759,
7.1355,476481610.0,,1.0122374,,470721206.30990314,
7.136,475955100.0,,1.0118886,,470363140.7647047,
7.1365,478382670.0,,1.0118099,,472798961.54406077,
7.137,476704590.0,,1.0118483,,471122588.23778224,
