# Scan number: 3
# Command: ascan monoE 7.102 7.137 70 1
# Date: Fri Jul 26 03:58:11 2024
# date: Fri Jul 26 03:58:11 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.102	16.163424	-44.903	12.8438	0	0	0	86528979	1	0	0	0	296.88864	16.165451	7.45009e-09	1.0041e-09	-1790.667	7.7091023e+08	5.5075096e+08	1.0122205	6.7047211	0.94435392	2276	178	221	38	43	131	1	0	0	16.997457	0	7.1011339	0	0	0	0	0	0	297.846	-5.22782e-13	296.893	7.45577e-09	1.0036e-09	0	8	23552581	23552581
7.1025	16.162254	-44.9061	12.8437	0	0	0	86528981	1	0	0	0	296.87415	16.162951	7.485028e-09	9.974848e-10	-1790.667	7.7091023e+08	5.4714823e+08	1.0122736	6.7693635	0.94374912	2142	169	211	28	48	102	0	0	0	16.997457	0	7.1022029	0	0	0	0	0	0	297.846	-5.22782e-13	296.874	7.49452e-09	9.99829e-10	0	12	23661714	23661714
7.103	16.161089	-44.9093	12.8436	0	0	0	86528984	1	0	0	0	296.85093	16.162951	7.637425e-09	9.981633e-10	-1790.667	7.7091023e+08	5.4754616e+08	1.012	6.4432885	0.94679392	2230	189	208	42	45	127	3	0	0	16.997457	0	7.1022029	0	0	0	0	0	0	297.846	-5.22782e-13	296.86	7.63212e-09	9.98651e-10	0	16	24142127	24142127
7.1035	16.159919	-44.9124	12.8435	0	0	0	86528986	1	0	0	0	296.83617	16.160451	7.588874e-09	9.912604e-10	-1790.667	7.7091023e+08	5.4378512e+08	1.0119104	7.4593166	0.9364288	2065	157	198	28	40	119	1	0	0	16.997457	0	7.1032723	0	0	0	0	0	0	297.846	-5.22782e-13	296.836	7.59675e-09	9.94559e-10	0	20	23987320	23987320
7.104	16.158749	-44.9156	12.8435	0	0	0	86528989	1	0	0	0	296.81551	16.160451	7.649692e-09	9.944259e-10	-1790.667	7.7091023e+08	5.4554732e+08	1.0121843	6.7600968	0.94375968	2177	165	192	41	49	124	0	0	0	16.997457	0	7.1032723	0	0	0	0	0	0	297.846	-5.22782e-13	296.822	7.59343e-09	9.92888e-10	0	16	24178210	24178210
7.1045	16.157579	-44.9188	12.8434	0	0	0	86528991	1	0	0	0	296.80014	16.160451	7.602392e-09	9.928982e-10	-1790.667	7.7091023e+08	5.4473486e+08	1.0120922	7.0333516	0.94090816	2097	169	185	39	45	105	1	0	0	16.997457	0	7.1032723	0	0	0	0	0	0	297.846	-5.22782e-13	296.8	7.62393e-09	9.94843e-10	0	20	24027371	24027371
7.105	16.156414	-44.9219	12.8433	0	0	0	86528993	1	0	0	0	296.77721	16.157951	7.633197e-09	9.919354e-10	-1790.667	7.7091023e+08	5.4423226e+08	1.0118237	6.7486857	0.94353888	2092	144	201	43	55	108	0	0	0	16.997457	0	7.1043421	0	0	0	0	0	0	297.846	-5.22782e-13	296.786	7.64749e-09	9.94747e-10	0	18	24123387	24123387
7.1055	16.155244	-44.9251	12.8432	0	0	0	86528996	1	0	0	0	296.76458	16.157951	7.583687e-09	9.902728e-10	-1790.667	7.7091023e+08	5.4334565e+08	1.0122045	7.0040868	0.9413088	2090	148	200	45	51	114	0	0	0	16.997457	0	7.1043421	0	0	0	0	0	0	297.846	-5.22782e-13	296.768	7.59212e-09	9.91277e-10	0	18	23965585	23965585
7.106	16.154079	-44.9283	12.8431	0	0	0	86528998	1	0	0	0	296.74832	16.155451	7.618585e-09	9.911858e-10	-1790.667	7.7091023e+08	5.4387221e+08	1.0120016	6.5450015	0.94576608	2161	161	199	35	49	127	1	0	0	16.997457	0	7.1054122	0	0	0	0	0	0	297.846	-5.22782e-13	296.748	7.61682e-09	9.89678e-10	0	13	24074527	24074527
7.1065	16.152909	-44.9314	12.843	0	0	0	86529001	1	0	0	0	296.72803	16.155451	7.663562e-09	9.995489e-10	-1790.667	7.7091023e+08	5.4848696e+08	1.0119274	5.9137842	0.95208416	2130	175	177	29	42	120	0	0	0	16.997457	0	7.1054122	0	0	0	0	0	0	297.846	-5.22782e-13	296.736	7.62859e-09	9.93795e-10	0	17	24215305	24215305
