monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
7.062,203.0,,1.8822074,,107.8520889887055,
7.064,234.0,,1.8720813,,124.99457154985737,
7.066,203.0,,1.8846208,,107.71397620147246,
7.068,194.0,,1.8734477,,103.55239700579845,
7.07,197.0,,1.8710429,,105.28887392159741,
7.072,205.0,,1.876583,,109.24110470999685,
7.074,183.0,,1.8732288,,97.69228403919479,
7.076,177.0,,1.8788752,,94.20529900016776,
7.078,200.0,,1.8749235,,106.67101884423552,
7.08,185.0,,1.8779472,,98.51182184461842,
7.082,183.0,,1.8846832,,97.09854685392219,
7.084,197.0,,1.8787965,,104.85435756347215,
7.086,188.0,,1.8736061,,100.34126169849682,
7.088,186.0,,1.8789043,,98.99386573334256,
7.09,177.0,,1.8710358,,94.60000711905138,
7.092,188.0,11.313708498984761,1.87422755,0.002897228614555699,100.31277639689849,6.191530769658877
7.0925,165.0,,1.8884026,,87.37543572541152,
7.093,182.0,,1.8810026,,96.75691038385592,
7.0935,184.0,,1.8791277,,97.91777323063249,
7.094,207.0,,1.8703962,,110.67173896097522,
7.0945,183.0,,1.8864941,,97.00533916326587,
7.095,180.0,,1.8716422,,96.1722277901193,
7.0955,175.0,,1.8784349,,93.16266430100931,
7.096,194.0,,1.8832467,,103.01358818257853,
7.0965,172.0,,1.879033,,91.53644454354979,
7.097,168.0,,1.8805242,,89.33679236885119,
7.0975,189.0,,1.8704269,,101.04645094657268,
7.098,198.0,,1.8762445,,105.52995625037141,
7.0985,184.0,,1.876095,,98.07605691609433,
7.099,177.0,,1.8786141,,94.21839216473462,
7.0995,200.0,,1.8730054,,106.78025808147696,
7.1,195.0,,1.8808102,,103.67872313750745,
7.1005,194.0,,1.8775568,,103.32576889285053,
7.101,186.0,,1.8826483,,98.79699782481943,
7.1015,183.0,,1.861399,,98.31315048519957,
7.102,196.0,,1.8700035,,104.8126380512122,
7.1025,221.0,,1.8740234,,117.92808990538752,
7.103,206.0,,1.8680637,,110.27461215589169,
7.1035,201.0,,1.8765594,,107.11091799172463,
7.104,210.0,,1.8736787,,112.07898131093661,
7.1045,211.0,,1.8852109,,111.9238171177559,
7.105,222.0,,1.875967,,118.3389686492353,
7.1055,199.0,,1.8664058,,106.62204328769232,
7.106,186.0,,1.886009,,98.62095037722513,
7.1065,199.0,,1.8713571,,106.33993907416173,
7.107,219.0,,1.8667405,,117.31678827346383,
7.1075,187.0,,1.8864358,,99.12873790881194,
7.108,194.0,,1.8855056,,102.89017439142053,
7.1085,188.0,,1.8826374,,99.85990929533219,
7.109,204.0,,1.8778502,,108.63486341988302,
7.1095,203.0,,1.8839347,,107.7532039725156,
7.11,225.0,,1.866561,,120.54253785437497,
7.1105,189.0,,1.876697,,100.70885177521997,
7.111,260.0,,1.8588781,,139.86931149492804,
7.1115,240.0,,1.8774323,,127.83417010562778,
7.112,262.0,,1.8772739,,139.56407746360293,
7.1125,274.0,,1.8712829,,146.42361130965287,
7.113,304.0,,1.8807574,,161.6370085796286,
7.1135,378.0,,1.8797053,,201.09535255340293,
7.114,412.0,,1.8781034,,219.3702434061937,
7.1145,451.0,,1.8682739,,241.39929375451854,
7.115,488.0,,1.8639011,,261.81646654964686,
7.1155,447.0,,1.8781584,,237.99909528397606,
7.116,465.0,,1.8696675,,248.70732362839917,
7.1165,433.0,,1.8808646,,230.21327532029684,
7.117,460.0,,1.8677379,,246.28723334253698,
7.1175,505.0,,1.8647408,,270.81511811185766,
7.118,479.0,,1.8720976,,255.86272852441027,
7.1185,520.0,,1.8788083,,276.7711852241658,
7.119,622.0,,1.8747254,,331.78192390202855,
7.1195,670.0,,1.8706717,,358.16011970459596,
7.12,702.0,,1.8653946,,376.32788258312746,
7.1205,815.0,,1.8696586,,435.9084594374609,
7.121,943.0,,1.879335,,501.77323361721034,
7.1215,1034.0,,1.8681894,,553.4770725066742,
7.122,1148.0,,1.8730048,,612.9188777305857,
7.1225,1268.0,,1.8617933,,681.0637894120684,
7.123,1412.0,,1.8631718,,757.847451319304,
7.1235,1525.0,,1.8599392,,819.9192747805951,
7.124,1588.0,,1.8530925,,856.9458891015963,
7.1245,1678.0,,1.8516621,,906.2128560065036,
7.125,1873.0,,1.8452563,,1015.0351471500193,
7.1255,2106.0,,1.8609034,,1131.708394965585,
7.126,2131.0,,1.8396899,,1158.3473932209988,
7.1265,2254.0,,1.858856,,1212.5737550407348,
7.127,2259.0,,1.8430899,,1225.659149887371,
7.1275,2359.0,,1.8402998,,1281.8563584042122,
7.128,2391.0,,1.8530563,,1290.3007857883217,
7.1285,2468.0,,1.8418013,,1339.9925388259853,
7.129,2604.0,,1.8417101,,1413.903306497586,
7.1295,2683.0,,1.8450416,,1454.1677542663535,
7.13,2829.0,,1.8436982,,1534.4159906431541,
7.1305,2950.0,,1.8392822,,1603.88655965898,
7.131,3029.0,,1.8297987,,1655.37334789887,
7.1315,3017.0,,1.8426861,,1637.2837457231592,
7.132,2988.0,,1.8361571,,1627.3117371057192,
7.1325,2936.0,,1.8352182,,1599.8097664898921,
7.133,2932.0,,1.8375584,,1595.5955467864314,
7.1335,2859.0,,1.8416992,,1552.3707671697962,
7.134,2803.0,,1.8373517,,1525.5653014063666,
7.1345,2737.0,,1.8429712,,1485.101883306695,
7.135,2744.0,,1.8475498,,1485.2103039387625,
7.1355,2703.0,,1.8510803,,1460.2283866345506,
7.136,2598.0,,1.8380771,,1413.4336367065341,
7.1365,2582.0,,1.8495005,,1396.0526098803434,
7.137,2619.0,,1.8366349,,1425.9774765251384,
7.1375,2566.0,,1.8456474,,1390.2980601820261,
7.138,2504.0,,1.8418032,,1359.5372187430232,
7.1385,2530.0,,1.8445354,,1371.6191079878433,
7.139,2480.0,,1.846767,,1342.8873268798934,
7.1395,2536.0,,1.8502058,,1370.6583343323214,
7.14,2456.0,,1.8365395,,1337.297673151054,
7.1405,2451.0,,1.8458074,,1327.8741866567443,
7.141,2463.0,,1.8594934,,1324.5543114054612,
7.1415,2422.0,,1.847089,,1311.2524626588108,
7.142,2405.0,,1.8526838,,1298.1168184230896,
7.1425,2422.0,,1.8509853,,1308.4922932667266,
7.143,2399.0,,1.8481792,,1298.034303167139,
7.1435,2402.0,,1.8461242,,1301.1042268987103,
7.144,2405.0,,1.8490499,,1300.6679808911592,
7.1445,2415.0,,1.8368918,,1314.720877952637,
7.145,2392.0,,1.8466506,,1295.3181289411218,
7.1455,2405.0,,1.8498394,,1300.1128638518564,
7.146,2364.0,,1.8468573,,1280.012267325689,
7.1465,2235.0,,1.8372029,,1216.5232266942317,
7.147,2418.0,,1.8531213,,1304.8255394830333,
7.1475,2222.0,,1.8462512,,1203.5198677189755,
7.148,2307.0,,1.8587226,,1241.1749875963203,
7.1485,2268.0,,1.8503232,,1225.7318072864243,
7.149,2291.0,,1.849985,,1238.3884193655624,
7.1495,2262.0,,1.8394534,,1229.7131310855714,
7.15,2178.0,,1.8454064,,1180.227834909427,
7.1505,2190.0,,1.848671,,1184.6347998102422,
7.151,2158.0,,1.854336,,1163.7588872782494,
7.1515,2194.0,,1.8517792,,1184.8064823279146,
7.152,2172.0,,1.857559,,1169.2764536684972,
7.1525,2163.0,,1.8576525,,1164.3727769321765,
7.153,2179.0,,1.8360394,,1186.7937038823895,
7.1535,2187.0,,1.8612006,,1175.0479770960744,
7.154,2162.0,,1.8499754,,1168.6641887238068,
7.1545,2138.0,,1.86236,,1148.005756137374,
7.155,2150.0,,1.8555498,,1158.6862287393203,
7.1555,2048.0,,1.850199,,1106.9079596302884,
7.156,2143.0,,1.8476691,,1159.8397137236316,
7.1565,2018.0,,1.842065,,1095.5096589968323,
7.157,2099.0,,1.859655,,1128.7039800393084,
7.1575,2053.0,,1.8493882,,1110.09684175556,
7.158,1995.0,,1.8580934,,1073.6812261428838,
7.1585,2014.0,,1.8578269,,1084.0622449809505,
7.159,2047.0,,1.8480982,,1107.6251251151048,
7.1595,2044.0,,1.8562192,,1101.163052294686,
7.16,2036.0,,1.8549408,,1097.6091528096206,
7.1605,1991.0,,1.8549082,,1073.3684826019962,
7.161,2024.0,,1.8520682,,1092.8323265849497,
7.1615,2059.0,,1.850641,,1112.58747644735,
7.162,2105.0,,1.8544397,,1135.1137489129467,
7.1625,2135.0,,1.8551334,,1150.8606335264085,
7.163,2023.0,,1.8528192,,1091.8496526806284,
7.1635,2028.0,,1.8539226,,1093.8968002224042,
7.164,2144.0,,1.8521622,,1157.5660058282153,
7.1645,2092.0,,1.8502989,,1130.628137972735,
7.165,2127.0,,1.8549475,,1146.6631804943268,
7.1655,2044.0,,1.8532522,,1102.9259806085756,
7.166,2057.0,,1.8561709,,1108.1953714499027,
7.1665,2124.0,,1.8564752,,1144.1036217451222,
7.167,2124.0,,1.8622266,,1140.570111070264,
7.1675,2122.0,,1.8576592,,1142.2977906819506,
7.168,2167.0,,1.847241,,1173.10085689956,
