# Scan number: 12
# Command: ascan monoE 7.092 7.192 200 2
# Date: Fri Jul 26 05:36:32 2024
# date: Fri Jul 26 05:36:32 2024
# C Fri Jul 26 05: 43:40 2024.  Scan aborted after 123 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86534877	2	0	0	0	296.71446	16.187951	7.07934e-09	8.628618e-10	-1790.667	7.7091023e+08	4.7283805e+08	2.0120762	6.2656555	1.8860064	3312	195	282	43	98	150	1	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	296.725	7.12363e-09	8.68642e-10	0	36	22405483	22405483
7.0925	16.185669	-44.8429	12.8455	0	0	0	86534880	2	0	0	0	296.6925	16.187951	7.172645e-09	8.723759e-10	-1790.667	7.7091023e+08	4.7807401e+08	2.0119622	5.9529547	1.892191	3381	218	302	61	81	167	0	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	296.696	7.13099e-09	8.68463e-10	0	44	22699517	22699517
7.093	16.184499	-44.8461	12.8454	0	0	0	86534884	2	0	0	0	296.66253	16.187951	7.110888e-09	8.623751e-10	-1790.667	7.7091023e+08	4.7261553e+08	2.0122531	6.343854	1.8845987	3292	204	265	57	70	179	2	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	296.674	7.13551e-09	8.6731e-10	0	37	22502816	22502816
7.0935	16.183324	-44.8492	12.8453	0	0	0	86534887	2	0	0	0	296.64165	16.185451	7.175089e-09	8.740848e-10	-1790.667	7.7091023e+08	4.7905531e+08	2.012121	6.7205184	1.876896	3213	202	269	47	77	160	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	296.646	7.11143e-09	8.67537e-10	0	28	22704716	22704716
7.094	16.182154	-44.8524	12.8452	0	0	0	86534891	2	0	0	0	296.61151	16.185451	7.12669e-09	8.701377e-10	-1790.667	7.7091023e+08	4.7691435e+08	2.0119178	6.174646	1.887689	3412	209	294	49	70	181	2	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	296.623	7.10437e-09	8.68145e-10	0	26	22550305	22550305
7.0945	16.180979	-44.8555	12.8451	0	0	0	86534894	2	0	0	0	296.58704	16.182951	7.082097e-09	8.629009e-10	-1790.667	7.7091023e+08	4.7297007e+08	2.0120192	6.1802034	1.8876723	3355	203	313	47	78	157	2	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	296.591	7.09339e-09	8.66805e-10	0	35	22407952	22407952
7.095	16.179809	-44.8587	12.8451	0	0	0	86534897	2	0	0	0	296.56684	16.182951	7.09214e-09	8.646452e-10	-1790.667	7.7091023e+08	4.7394833e+08	2.0119062	5.9040684	1.8931219	3291	202	315	55	75	139	3	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	296.57	7.048e-09	8.61847e-10	0	30	22438476	22438476
7.0955	16.178639	-44.8619	12.845	0	0	0	86534901	2	0	0	0	296.53742	16.180451	7.002892e-09	8.545058e-10	-1790.667	7.7091023e+08	4.6841243e+08	2.0120432	5.8712378	1.8939114	3229	204	276	61	75	133	0	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	296.545	7.04814e-09	8.59909e-10	0	32	22154872	22154872
7.096	16.177469	-44.865	12.8449	0	0	0	86534904	2	0	0	0	296.51521	16.180451	7.032661e-09	8.594156e-10	-1790.667	7.7091023e+08	4.7112589e+08	2.0119075	6.0329294	1.8905306	3248	209	268	53	73	149	1	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	296.519	7.02117e-09	8.56841e-10	0	31	22247810	22247810
7.0965	16.176294	-44.8682	12.8448	0	0	0	86534908	2	0	0	0	296.48441	16.177951	6.990032e-09	8.518271e-10	-1790.667	7.7091023e+08	4.6698781e+08	2.012048	6.3910682	1.8834566	3288	228	285	50	58	154	0	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	296.495	6.99347e-09	8.53865e-10	0	38	22111720	22111720
