# Scan number: 2
# Command: ascan monoE 8.879 8.959 10 1
# Date: Fri Jul 26 04:28:47 2024
# date: Fri Jul 26 04:28:47 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.879	12.865599	-58.6672	12.599	0	0	0	86530811	1	0	0	0	296.63379	12.866037	4.052318e-09	3.292016e-10	-1790.667	7.7091023e+08	2.2858664e+08	1.0119802	7.1716189	0.9394048	2097	63	90	28	0	644	1	0	0	16.997457	0	8.8787028	0	0	0	0	0	0	297.846	-5.22782e-13	296.637	4.054e-09	3.30066e-10	0	13	10956851	10956851
8.887	12.853819	-58.6672	12.5984	0	0	0	86530815	1	0	0	0	296.60309	12.856037	4.138993e-09	3.332374e-10	-1790.667	7.7091023e+08	2.3168952e+08	1.0120867	7.4599457	0.9365856	2063	66	87	35	0	597	0	0	0	16.997457	0	8.8854926	0	0	0	0	0	0	297.846	-5.22782e-13	296.607	4.12756e-09	3.32374e-10	0	11	11185632	11185632
8.895	12.842059	-58.6672	12.5978	0	0	0	86530819	1	0	0	0	296.57375	12.843537	4.219675e-09	3.348184e-10	-1790.667	7.7091023e+08	2.3309146e+08	1.0120163	7.5650005	0.93545728	2053	43	79	35	0	615	1	0	0	16.997457	0	8.8939949	0	0	0	0	0	0	297.846	-5.22782e-13	296.574	4.19673e-09	3.33255e-10	0	21	11398017	11398017
8.903	12.830324	-58.6672	12.5972	0	0	0	86530823	1	0	0	0	296.546	12.833537	4.275751e-09	3.354401e-10	-1790.667	7.7091023e+08	2.3382828e+08	1.0118944	7.0509176	0.94054656	2112	66	88	32	1	659	0	0	0	16.997457	0	8.9008088	0	0	0	0	0	0	297.846	-5.22782e-13	296.546	4.26848e-09	3.35e-10	0	13	11543779	11543779
8.911	12.818609	-58.6672	12.5966	0	0	0	86530827	1	0	0	0	296.51436	12.821037	4.354735e-09	3.365521e-10	-1790.667	7.7091023e+08	2.349092e+08	1.012233	6.5133465	0.94630272	2104	65	91	38	0	615	1	0	0	16.997457	0	8.9093411	0	0	0	0	0	0	297.846	-5.22782e-13	296.514	4.36178e-09	3.36406e-10	0	22	11751234	11751234
8.919	12.806914	-58.6672	12.596	0	0	0	86530832	1	0	0	0	296.47845	12.808537	4.384074e-09	3.35536e-10	-1790.667	7.7091023e+08	2.3450555e+08	1.0120845	7.0302748	0.94093216	2079	57	114	33	1	586	0	0	0	16.997457	0	8.9178903	0	0	0	0	0	0	297.846	-5.22782e-13	296.486	4.40314e-09	3.3752e-10	0	17	11824605	11824605
8.927	12.795244	-58.6672	12.5954	0	0	0	86530836	1	0	0	0	296.44884	12.798537	4.454986e-09	3.373266e-10	-1790.667	7.7091023e+08	2.3606495e+08	1.012177	6.7561941	0.94379232	2134	54	81	32	0	648	1	0	0	16.997457	0	8.9247418	0	0	0	0	0	0	297.846	-5.22782e-13	296.449	4.46883e-09	3.37964e-10	0	17	12009999	12009999
8.935	12.783594	-58.6672	12.5948	0	0	0	86530840	1	0	0	0	296.42022	12.786037	4.524708e-09	3.380656e-10	-1790.667	7.7091023e+08	2.3689148e+08	1.0122192	6.6815883	0.94458688	2153	47	90	45	3	609	0	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	296.42	4.53607e-09	3.38169e-10	0	11	12192026	12192026
8.943	12.771964	-58.6672	12.5942	0	0	0	86530844	1	0	0	0	296.62819	12.773537	4.685297e-09	3.419309e-10	-1790.667	7.7091023e+08	2.3991365e+08	1.0120173	7.2462636	0.93868384	2147	51	85	42	0	642	1	0	0	16.997457	0	8.9419179	0	0	0	0	0	0	297.846	-5.22782e-13	296.628	4.6843e-09	3.42254e-10	0	18	12618624	12618624
8.951	12.760359	-58.6672	12.5936	0	0	0	86530848	1	0	0	0	296.59797	12.763537	4.820894e-09	3.465068e-10	-1790.667	7.7091023e+08	2.4344292e+08	1.0121706	7.1298972	0.94000384	2228	76	84	48	0	659	2	0	0	16.997457	0	8.9488073	0	0	0	0	0	0	297.846	-5.22782e-13	296.598	4.82578e-09	3.47834e-10	0	16	12977555	12977555
8.959	12.748769	-58.6672	12.593	0	0	0	86530852	1	0	0	0	296.56219	12.751037	4.951115e-09	3.562128e-10	-1790.667	7.7091023e+08	2.5059032e+08	1.0118326	7.0267747	0.94073344	2352	71	113	56	0	652	2	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.569	4.94184e-09	3.55518e-10	0	20	13321698	13321698
