# Scan number: 22
# Command: ascan cr2ropi 0.0833029 0.123303 40 1
# Date: Fri Jul 26 06:43:35 2024
# date: Fri Jul 26 06:43:35 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.083305676	0	0	0	86538907	1	0	0	0	297.7565	20.212365	-4.689582e-13	-5.57776e-13	-1790.667	7.7091023e+08	-284494.18	1.0120563	0.033990203	1.0117123	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.761	-4.26326e-13	-5.79092e-13	0	17	-1763.8078	-1763.8078
0.084306221	0	0	0	86538910	1	0	0	0	297.73467	20.212365	-5.542233e-13	-5.613288e-13	-1790.667	7.7091023e+08	-286306.29	1.0118944	0.033805899	1.0115523	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.735	-5.02709e-13	-5.5896e-13	0	9	-2084.5	-2084.5
0.085306766	0	0	0	86538914	1	0	0	0	297.70267	20.212365	-5.755396e-13	-5.648815e-13	-1790.667	7.7091023e+08	-288118.35	1.0118147	0.033460672	1.0114762	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.703	-5.70803e-13	-5.27578e-13	0	13	-2164.6731	-2164.6731
0.086307312	0	0	0	86538918	1	0	0	0	297.67211	20.212365	-5.080381e-13	-5.222489e-13	-1790.667	7.7091023e+08	-266373.55	1.0119734	0.03155814	1.0116541	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.676	-4.86722e-13	-5.18696e-13	0	13	-1910.7919	-1910.7919
0.087307857	0	0	0	86538922	1	0	0	0	297.64206	20.212365	-4.547474e-13	-4.867218e-13	-1790.667	7.7091023e+08	-248252.92	1.012025	0.031493294	1.0117062	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.649	-4.1922e-13	-5.00933e-13	0	14	-1710.3592	-1710.3592
0.088308402	0	0	0	86538925	1	0	0	0	297.61759	20.212365	-4.973799e-13	-5.009326e-13	-1790.667	7.7091023e+08	-255501.15	1.0119949	0.031810438	1.011673	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.618	-5.41789e-13	-4.76064e-13	0	27	-1870.7052	-1870.7052
0.089308948	0	0	0	86538929	1	0	0	0	297.58617	20.212365	-4.511946e-13	-4.760636e-13	-1790.667	7.7091023e+08	-242816.7	1.0119258	0.031559627	1.0116064	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.586	-4.33431e-13	-4.67774e-13	0	19	-1696.9967	-1696.9967
0.090309493	0	0	0	86538933	1	0	0	0	297.55589	20.212365	-4.511946e-13	-4.085621e-13	-1790.667	7.7091023e+08	-208387.49	1.0122186	0.03164534	1.0118982	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.564	-6.16988e-13	-4.51195e-13	0	14	-1696.9967	-1696.9967
0.091296332	0	0	0	86538936	1	0	0	0	297.52812	20.212365	-4.121148e-13	-4.227729e-13	-1790.667	7.7091023e+08	-215635.72	1.0119725	0.031969249	1.011649	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.534	-5.09814e-13	-3.94351e-13	0	18	-1550.0129	-1550.0129
0.092296877	0	0	0	86538940	1	0	0	0	297.50163	20.212365	-4.085621e-13	-3.872458e-13	-1790.667	7.7091023e+08	-197515.09	1.0118739	0.031624493	1.0115539	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.502	-4.15667e-13	-3.73035e-13	0	14	-1536.6508	-1536.6508
0.093297423	0	0	0	86538944	1	0	0	0	297.4707	20.212365	-5.471179e-13	-3.659295e-13	-1790.667	7.7091023e+08	-186642.69	1.0122704	0.030979865	1.0119568	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.471	-3.48166e-13	-3.70666e-13	0	18	-2057.7757	-2057.7757
0.094297968	0	0	0	86538948	1	0	0	0	297.44035	20.212365	-5.080381e-13	-3.481659e-13	-1790.667	7.7091023e+08	-177582.35	1.0121414	0.033386638	1.0118035	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.449	-4.65405e-13	-3.71259e-13	0	15	-1910.7919	-1910.7919
0.095298513	0	0	0	86538952	1	0	0	0	297.40993	20.212365	-3.730349e-13	-3.055334e-13	-1790.667	7.7091023e+08	-155837.6	1.0118144	0.033334177	1.0114771	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.418	-4.49418e-13	-3.2685e-13	0	10	-1403.0288	-1403.0288
0.096299059	0	0	0	86538955	1	0	0	0	297.38909	20.212365	-4.938272e-13	-2.877698e-13	-1790.667	7.7091023e+08	-146777.26	1.0119728	0.033929766	1.0116294	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.389	-4.06786e-13	-3.19744e-13	0	12	-1857.343	-1857.343
0.097299604	0	0	0	86538959	1	0	0	0	297.35645	20.212365	-3.659295e-13	-2.700062e-13	-1790.667	7.7091023e+08	-137716.92	1.0122573	0.031897029	1.0119344	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.356	-3.69482e-13	-2.73559e-13	0	10	-1376.3045	-1376.3045
0.098300149	0	0	0	86538963	1	0	0	0	297.32634	20.212365	-3.943512e-13	-2.167155e-13	-1790.667	7.7091023e+08	-110535.95	1.012104	0.039837803	1.0117008	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.334	-4.03233e-13	-2.45137e-13	0	15	-1483.2019	-1483.2019
0.099300694	0	0	0	86538967	1	0	0	0	297.29557	20.212365	-2.73559e-13	-6.039613e-14	-1790.667	7.7091023e+08	-30805.104	1.011841	0.031657149	1.0115206	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.301	-1.54543e-13	-7.93439e-14	0	8	-1028.888	-1028.888
0.10030124	0	0	0	86538970	1	0	0	0	297.27378	20.212365	1.456613e-13	1.001865e-12	-1790.667	7.7091023e+08	511002.2	1.0118378	0.031309367	1.011521	0	0	0	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.274	5.15144e-14	9.96536e-13	0	16	547.84953	547.84953
0.10130179	0	0	0	86538974	1	0	0	0	297.24194	20.212365	2.923883e-12	1.119105e-11	-1790.667	7.7091023e+08	5708005.8	1.011833	8.3662189	0.9271808	11	0	10	1	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.242	3.02691e-12	1.1191e-11	0	16	10997.073	10997.073
0.10230233	0	0	0	86538978	1	0	0	0	297.21111	20.212365	6.842356e-09	6.030376e-10	-1790.667	7.7091023e+08	3.0757991e+08	1.0122042	3.8373602	0.97336224	452	8	309	30	18	7	1	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.214	6.90433e-09	5.95815e-10	0	16	25734917	25734917
0.10330288	0	0	0	86538981	1	0	0	0	297.1796	20.212365	1.00485e-10	3.133529e-10	-1790.667	7.7091023e+08	1.5982595e+08	1.0121165	2.3748413	0.98808032	217	10	194	0	1	1	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.186	1.02281e-10	3.14143e-10	0	17	377936.08	377936.08
0.10430342	0	0	0	86538985	1	0	0	0	297.15704	20.212365	3.531397e-12	6.828316e-12	-1790.667	7.7091023e+08	3482789.1	1.0117971	0.034979344	1.0114432	3	0	3	0	0	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	297.157	3.39639e-12	6.76614e-12	0	7	13282.006	13282.006
