# Scan number: 25
# Command: ascan monoE 5.703 5.803 200 2
# Date: Fri Jul 26 06:51:20 2024
# date: Fri Jul 26 06:51:20 2024
# C Fri Jul 26 07: 03:08 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86539365	2	0	0	0	296.63658	20.287365	1.218616e-10	2.112195e-10	-1790.667	7.7091023e+08	1.0771642e+08	2.0118707	1.8443014	1.9747658	280	0	260	1	1	0	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	296.644	1.22135e-10	2.11731e-10	0	39	459610.4	459610.4
5.7035	20.281719	-36.0608	13.1892	0	0	0	86539369	2	0	0	0	296.60294	20.284865	1.229097e-10	2.115499e-10	-1790.667	7.7091023e+08	1.0788528e+08	2.0122672	2.7545129	1.956839	255	1	238	0	0	0	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.616	1.22419e-10	2.1186e-10	0	27	463531.18	463531.18
5.704	20.279864	-36.064	13.189	0	0	0	86539372	2	0	0	0	296.58348	20.282365	1.218581e-10	2.134435e-10	-1790.667	7.7091023e+08	1.0885135e+08	2.0119309	3.2783631	1.9459725	273	1	253	0	0	0	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.587	1.22434e-10	2.12368e-10	0	24	459533.33	459533.33
5.7045	20.278009	-36.0672	13.1889	0	0	0	86539376	2	0	0	0	296.55099	20.282365	1.23535e-10	2.134612e-10	-1790.667	7.7091023e+08	1.0886076e+08	2.0122038	4.3552645	1.924567	292	2	273	0	0	0	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.555	1.23115e-10	2.12673e-10	0	45	465824.64	465824.64
5.705	20.276154	-36.0703	13.1887	0	0	0	86539380	2	0	0	0	296.52116	20.279865	1.232934e-10	2.142073e-10	-1790.667	7.7091023e+08	1.0924164e+08	2.0118221	3.9739657	1.931873	272	0	253	0	0	0	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.533	1.23955e-10	2.12952e-10	0	45	464881.32	464881.32
5.7055	20.274299	-36.0735	13.1885	0	0	0	86539383	2	0	0	0	296.49144	20.277365	1.240572e-10	2.151488e-10	-1790.667	7.7091023e+08	1.0972217e+08	2.0121936	2.5100408	1.9616867	241	2	220	0	0	0	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.504	1.24355e-10	2.15088e-10	0	32	467728.75	467728.75
5.706	20.272444	-36.0766	13.1883	0	0	0	86539387	2	0	0	0	296.46773	20.274865	1.245901e-10	2.151097e-10	-1790.667	7.7091023e+08	1.0970262e+08	2.0120202	1.442085	1.9830051	292	2	272	0	0	0	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.472	1.24526e-10	2.15411e-10	0	30	469705.29	469705.29
5.7065	20.270589	-36.0798	13.1882	0	0	0	86539391	2	0	0	0	298.15556	20.274865	1.250946e-10	2.175753e-10	-1790.667	7.7091023e+08	1.1096043e+08	2.0121286	1.9904731	1.9720778	257	0	247	0	0	0	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.3	1.24832e-10	2.16235e-10	0	37	471574.5	471574.5
5.707	20.268734	-36.083	13.188	0	0	0	86539395	2	0	0	0	298.12368	20.272365	1.28221e-10	2.197957e-10	-1790.667	7.7091023e+08	1.120932e+08	2.0122192	3.5456177	1.9408736	251	0	234	0	0	0	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	298.135	1.26541e-10	2.19475e-10	0	32	483326.65	483326.65
5.7075	20.266884	-36.0861	13.1878	0	0	0	86539398	2	0	0	0	298.10123	20.269865	1.266685e-10	2.205631e-10	-1790.667	7.7091023e+08	1.1248497e+08	2.0118822	3.7085113	1.9372714	293	0	270	1	0	0	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	298.105	1.27895e-10	2.20371e-10	0	39	477441.36	477441.36
