# Scan number: 5
# Command: k-scan 3 12 8.979 180 1 10
# Date: Fri Jul 26 04:36:12 2024
# date: Fri Jul 26 04:36:12 2024
# C Fri Jul 26 04: 58:56 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86531257	1	0	0	0	297.63957	12.673537	2.128083e-09	3.639116e-10	-1790.667	7.7091023e+08	2.583037e+08	1.0117978	13.962632	0.87052416	5172	52	84	2421	4	649	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	297.648	2.12985e-09	3.63531e-10	0	16	5707569.2	5707569.2
9.01444	12.669064	25	-58.6672	12.589	86531260	1.0200544	0	0	0	297.62275	12.671037	2.129578e-09	3.637162e-10	-1790.667	7.7091023e+08	2.5821404e+08	1.027825	14.945455	0.87421184	5257	67	90	2401	6	669	2	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.623	2.13103e-09	3.63142e-10	0	17	5711196.1	5711196.1
9.0156	12.667399	25	-58.6672	12.5889	86531263	1.0404384	0	0	0	297.60165	12.670813	2.12896e-09	3.635776e-10	-1790.667	7.7091023e+08	2.581651e+08	1.0519466	14.258854	0.90195104	5404	63	95	2480	7	629	1	0	0	16.997457	0	9.0132116	0	0	0	0	0	0	297.846	-5.22782e-13	297.605	2.12579e-09	3.62727e-10	0	19	5709153.1	5709153.1
9.01678	12.665709	25	-58.6672	12.5888	86531266	1.061152	0	0	0	297.57603	12.668537	2.117194e-09	3.610374e-10	-1790.667	7.7091023e+08	2.5641137e+08	1.0679338	14.662662	0.91134624	5483	58	90	2595	1	676	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.583	2.11945e-09	3.6281e-10	0	12	5677210.8	5677210.8
9.01799	12.663989	25	-58.6672	12.5887	86531268	1.0821956	0	0	0	297.56202	12.666037	2.105061e-09	3.623875e-10	-1790.667	7.7091023e+08	2.5742168e+08	1.0919136	14.250388	0.93631168	5583	71	115	2650	2	660	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.562	2.10649e-09	3.62646e-10	0	24	5644279.2	5644279.2
9.01921	12.662244	25	-58.6672	12.5887	86531271	1.1035684	0	0	0	297.53793	12.666037	2.098375e-09	3.643414e-10	-1790.667	7.7091023e+08	2.5886181e+08	1.10812	14.634892	0.94594784	5709	63	109	2743	2	694	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.538	2.08997e-09	3.64246e-10	0	11	5625953.1	5625953.1
9.02045	12.660474	25	-58.6672	12.5886	86531274	1.1252712	0	0	0	297.51413	12.663537	2.053639e-09	3.637552e-10	-1790.667	7.7091023e+08	2.5849829e+08	1.1318566	14.263064	0.9704192	5942	60	108	2788	2	708	2	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.518	2.06132e-09	3.65232e-10	0	23	5505614.9	5505614.9
9.02171	12.658679	25	-58.6672	12.5885	86531276	1.1473032	0	0	0	297.48939	12.661037	2.034202e-09	3.65123e-10	-1790.667	7.7091023e+08	2.5952435e+08	1.1559344	14.797712	0.98488256	6178	75	100	2976	4	715	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.496	2.03174e-09	3.64832e-10	0	29	5453107.2	5453107.2
9.02299	12.656859	25	-58.6672	12.5884	86531279	1.1696652	0	0	0	297.47452	12.658537	1.996415e-09	3.64949e-10	-1790.667	7.7091023e+08	2.5945557e+08	1.1798838	15.20825	1.0004442	6286	60	100	3056	7	753	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.475	1.9942e-09	3.65654e-10	0	17	5351413.9	5351413.9
9.02428	12.655009	25	-58.6672	12.5883	86531282	1.1923568	0	0	0	297.44991	12.658537	1.993719e-09	3.672582e-10	-1790.667	7.7091023e+08	2.6115297e+08	1.2039296	15.062303	1.0225901	6612	74	114	3177	6	772	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.45	1.99449e-09	3.6742e-10	0	24	5343787.6	5343787.6
