# Scan number: 1
# Command: ascan monoE 8.959 8.999 40 1
# Date: Fri Jul 26 09:59:05 2024
# date: Fri Jul 26 09:59:05 2024
# C Fri Jul 26 10: 03:45 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86550633	1	0	0	0	296.57259	12.751037	1.886736e-09	1.376073e-10	-1790.667	7.7091023e+08	96804657	1.0119619	4.597928	0.96543264	929	33	32	21	0	267	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.58	1.8891e-09	1.38197e-10	0	22	5076538.7	5076538.7
8.96	12.747324	-56.6503	12.6006	0	0	0	86550635	1	0	0	0	296.55824	12.748537	1.915012e-09	1.381046e-10	-1790.667	7.7091023e+08	97170433	1.0121328	4.9269108	0.96226592	970	21	39	17	0	273	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.558	1.90375e-09	1.3818e-10	0	18	5152310.6	5152310.6
8.961	12.745879	-56.6566	12.6005	0	0	0	86550638	1	0	0	0	296.53279	12.748537	1.887187e-09	1.366658e-10	-1790.667	7.7091023e+08	96173865	1.0118381	4.0188881	0.97117344	996	23	36	20	1	300	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.537	1.87698e-09	1.36184e-10	0	17	5077143.6	5077143.6
8.962	12.744429	-56.663	12.6004	0	0	0	86550640	1	0	0	0	296.51751	12.746037	1.875044e-09	1.354046e-10	-1790.667	7.7091023e+08	95301969	1.0118611	5.7484569	0.95369472	931	33	39	18	0	260	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.518	1.87774e-09	1.35512e-10	0	8	5044173	5044173
8.963	12.742984	-56.6693	12.6003	0	0	0	86550643	1	0	0	0	296.49189	12.746037	1.890573e-09	1.383427e-10	-1790.667	7.7091023e+08	97385870	1.0121958	5.7582217	0.95391136	951	36	32	23	0	271	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.497	1.89823e-09	1.37669e-10	0	16	5085644.2	5085644.2
8.964	12.741539	-56.6756	12.6002	0	0	0	86550645	1	0	0	0	296.47575	12.743537	1.913151e-09	1.37554e-10	-1790.667	7.7091023e+08	96846555	1.0122035	4.9280208	0.96232192	942	22	41	28	0	269	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.476	1.91779e-09	1.3843e-10	0	17	5146071.2	5146071.2
8.965	12.740094	-56.6819	12.6001	0	0	0	86550648	1	0	0	0	296.45081	12.743537	1.927869e-09	1.390106e-10	-1790.667	7.7091023e+08	97888153	1.0117872	4.4881216	0.96637696	963	22	33	26	0	247	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.455	1.92556e-09	1.39151e-10	0	16	5185350.2	5185350.2
8.966	12.738649	-56.6883	12.6	0	0	0	86550650	1	0	0	0	298.25729	12.741037	1.962306e-09	1.422968e-10	-1790.667	7.7091023e+08	1.0021867e+08	1.0121507	5.9568045	0.95185888	930	24	41	35	0	276	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.435	1.95158e-09	1.41039e-10	0	15	5277659.4	5277659.4
8.967	12.737204	-56.6946	12.5999	0	0	0	86550653	1	0	0	0	298.24514	12.741037	1.982805e-09	1.42748e-10	-1790.667	7.7091023e+08	1.0055295e+08	1.0122755	4.5867987	0.96584448	958	30	39	22	0	293	1	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	298.245	1.97756e-09	1.41945e-10	0	17	5332473.3	5332473.3
8.968	12.735759	-56.7009	12.5998	0	0	0	86550656	1	0	0	0	298.21967	12.738537	2.000224e-09	1.435296e-10	-1790.667	7.7091023e+08	1.0112011e+08	1.0119402	6.3601231	0.94757952	962	34	39	29	0	266	0	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	298.228	2.00084e-09	1.4407e-10	0	15	5378998.1	5378998.1
8.969	12.734319	-56.7072	12.5997	0	0	0	86550658	1	0	0	0	298.203	12.736037	2.016087e-09	1.45107e-10	-1790.667	7.7091023e+08	1.0224821e+08	1.0121498	4.9725132	0.96182048	1035	32	42	36	1	299	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	298.203	2.01644e-09	1.44526e-10	0	16	5421333.4	5421333.4
