# Scan number: 18
# Command: ascan monoE 5.703 5.803 200 2
# Date: Fri Jul 26 12:09:24 2024
# date: Fri Jul 26 12:09:24 2024
# C Fri Jul 26 12: 22:37 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86558449	2	0	0	0	296.90575	20.287365	2.931628e-10	5.120349e-10	-1790.667	7.7091023e+08	2.611244e+08	2.0122522	2.5773788	1.9603888	609	1	560	0	0	0	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	296.918	2.95466e-10	5.11418e-10	0	40	1105686.1	1105686.1
5.7035	20.281719	-36.0608	13.1892	0	0	0	86558452	2	0	0	0	296.87158	20.284865	2.944383e-10	5.120597e-10	-1790.667	7.7091023e+08	2.6113794e+08	2.0118224	3.1622513	1.9482035	652	2	605	2	1	0	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.885	2.95453e-10	5.12944e-10	0	19	1110419.5	1110419.5
5.704	20.279864	-36.064	13.189	0	0	0	86558456	2	0	0	0	296.84759	20.284865	2.977636e-10	5.134986e-10	-1790.667	7.7091023e+08	2.6187266e+08	2.0118355	2.8378463	1.9547427	662	3	614	1	0	1	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.852	2.96463e-10	5.13539e-10	0	31	1122882.3	1122882.3
5.7045	20.278009	-36.0672	13.1889	0	0	0	86558460	2	0	0	0	296.81452	20.282365	2.992486e-10	5.161667e-10	-1790.667	7.7091023e+08	2.6323425e+08	2.0118454	3.0150706	1.9511869	652	0	603	1	0	1	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.818	2.98241e-10	5.16621e-10	0	32	1128403.9	1128403.9
5.705	20.276154	-36.0703	13.1887	0	0	0	86558464	2	0	0	0	296.78095	20.279865	3.0008e-10	5.166356e-10	-1790.667	7.7091023e+08	2.634743e+08	2.0122106	2.1040025	1.9698736	666	3	624	0	0	0	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.793	2.99535e-10	5.17667e-10	0	34	1131460.3	1131460.3
5.7055	20.274299	-36.0735	13.1885	0	0	0	86558467	2	0	0	0	296.75453	20.277365	2.984635e-10	5.188951e-10	-1790.667	7.7091023e+08	2.6462753e+08	2.0118486	3.2733755	1.9459933	660	2	611	0	0	0	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.759	2.99415e-10	5.19062e-10	0	28	1125287	1125287
5.706	20.272444	-36.0766	13.1883	0	0	0	86558471	2	0	0	0	296.72306	20.277365	3.008793e-10	5.208882e-10	-1790.667	7.7091023e+08	2.6564492e+08	2.0118736	2.5786431	1.9599946	608	3	560	1	0	0	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.728	3.00369e-10	5.20814e-10	0	31	1134316.4	1134316.4
5.7065	20.270589	-36.0798	13.1882	0	0	0	86558476	2	0	0	0	296.68313	20.274865	2.995861e-10	5.235243e-10	-1790.667	7.7091023e+08	2.6699024e+08	2.0120214	3.4341582	1.9429254	657	9	597	1	2	1	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.699	3.03054e-10	5.23759e-10	0	27	1129362.6	1129362.6
5.707	20.268734	-36.083	13.188	0	0	0	86558479	2	0	0	0	296.65735	20.272365	3.033378e-10	5.233183e-10	-1790.667	7.7091023e+08	2.6688613e+08	2.0120768	3.1401744	1.9488941	623	2	589	2	0	2	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	296.662	3.02741e-10	5.2392e-10	0	28	1143426.1	1143426.1
5.7075	20.266884	-36.0861	13.1878	0	0	0	86558483	2	0	0	0	296.62396	20.269865	3.041514e-10	5.274146e-10	-1790.667	7.7091023e+08	2.6897616e+08	2.0120461	3.0703392	1.9502694	639	3	592	1	0	0	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.628	3.04093e-10	5.24565e-10	0	30	1146413.3	1146413.3
5.708	20.265029	-36.0893	13.1877	0	0	0	86558487	2	0	0	0	296.59031	20.269865	3.032952e-10	5.279013e-10	-1790.667	7.7091023e+08	2.6922534e+08	2.0119843	3.0631491	1.9503542	605	2	561	0	0	0	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.594	3.02587e-10	5.2629e-10	0	33	1143106.7	1143106.7
5.7085	20.263179	-36.0924	13.1875	0	0	0	86558491	2	0	0	0	296.55734	20.267365	3.013803e-10	5.257945e-10	-1790.667	7.7091023e+08	2.6815186e+08	2.0122096	2.7697791	1.9564758	682	5	625	4	0	0	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.569	3.02656e-10	5.26562e-10	0	38	1135810.7	1135810.7
5.709	20.261324	-36.0956	13.1873	0	0	0	86558494	2	0	0	0	296.52499	20.264865	3.036114e-10	5.215171e-10	-1790.667	7.7091023e+08	2.6597138e+08	2.0119216	2.8621235	1.9543379	655	2	602	3	0	0	0	0	0	16.997457	0	5.7080446	0	0	0	0	0	0	297.846	-5.22782e-13	296.537	3.02961e-10	5.2325e-10	0	34	1144139.6	1144139.6
5.7095	20.259474	-36.0988	13.1871	0	0	0	86558498	2	0	0	0	296.50087	20.262365	3.022507e-10	5.25425e-10	-1790.667	7.7091023e+08	2.6796538e+08	2.0119235	2.432172	1.9629901	652	7	605	1	0	0	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.506	3.02989e-10	5.23092e-10	0	42	1138932.8	1138932.8
5.71	20.257619	-36.1019	13.187	0	0	0	86558502	2	0	0	0	296.46821	20.262365	3.017853e-10	5.244374e-10	-1790.667	7.7091023e+08	2.6746268e+08	2.0121139	2.9255282	1.953249	676	5	629	0	0	0	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.477	3.02671e-10	5.24935e-10	0	39	1137100.1	1137100.1
5.7105	20.255769	-36.1051	13.1868	0	0	0	86558506	2	0	0	0	296.43442	20.259865	3.0305e-10	5.248744e-10	-1790.667	7.7091023e+08	2.6768654e+08	2.0117901	2.5911888	1.9596608	692	3	647	1	2	1	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.447	3.02092e-10	5.24635e-10	0	40	1141786.1	1141786.1
5.711	20.253919	-36.1083	13.1866	0	0	0	86558509	2	0	0	0	296.40038	20.257365	3.002185e-10	5.240004e-10	-1790.667	7.7091023e+08	2.6724179e+08	2.0119869	2.6053291	1.959568	692	3	644	1	1	0	0	0	0	16.997457	0	5.7100691	0	0	0	0	0	0	297.846	-5.22782e-13	296.414	3.0108e-10	5.24491e-10	0	22	1131039.4	1131039.4
5.7115	20.252069	-36.1114	13.1865	0	0	0	86558513	2	0	0	0	298.27044	20.257365	3.030145e-10	5.294467e-10	-1790.667	7.7091023e+08	2.7002043e+08	2.0121584	2.47303	1.9623971	640	9	590	1	1	0	0	0	0	16.997457	0	5.7100691	0	0	0	0	0	0	297.846	-5.22782e-13	298.274	3.02605e-10	5.28323e-10	0	34	1141493.8	1141493.8
5.712	20.250214	-36.1146	13.1863	0	0	0	86558517	2	0	0	0	298.23714	20.254865	3.023466e-10	5.290346e-10	-1790.667	7.7091023e+08	2.6981126e+08	2.0120477	3.0493114	1.9506941	646	2	600	0	1	0	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	298.246	3.01877e-10	5.29745e-10	0	35	1138898.7	1138898.7
