# Scan number: 2
# Command: ascan monoE 7.062 7.092 15 2
# Date: Fri Jul 26 12:44:08 2024
# date: Fri Jul 26 12:44:08 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.062	16.257509	-44.6501	12.851	0	0	0	86560538	2	0	0	0	298.04437	16.257951	8.451558e-09	1.14667e-09	-1790.667	7.7091023e+08	6.2661723e+08	2.0120541	7.0919128	1.869361	4409	300	414	64	78	222	2	0	0	16.997457	0	7.0618128	0	0	0	0	0	0	297.846	-5.22782e-13	298.049	8.48194e-09	1.14874e-09	0	30	26838493	26838493
7.064	16.252779	-44.6627	12.8506	0	0	0	86560543	2	0	0	0	298.00561	16.255451	8.529121e-09	1.157087e-09	-1790.667	7.7091023e+08	6.3242601e+08	2.0119507	7.1414711	1.8682678	4512	326	415	63	100	208	0	0	0	16.997457	0	7.0628695	0	0	0	0	0	0	297.846	-5.22782e-13	298.018	8.51906e-09	1.1531e-09	0	35	27078713	27078713
7.066	16.248049	-44.6754	12.8503	0	0	0	86560547	2	0	0	0	297.97535	16.250451	8.480111e-09	1.152589e-09	-1790.667	7.7091023e+08	6.3008349e+08	2.0120829	7.0953737	1.8693181	4577	289	441	68	95	231	3	0	0	16.997457	0	7.0649841	0	0	0	0	0	0	297.846	-5.22782e-13	297.98	8.45463e-09	1.15572e-09	0	38	26917065	26917065
7.068	16.243324	-44.688	12.8499	0	0	0	86560552	2	0	0	0	297.93468	16.245451	8.50947e-09	1.162087e-09	-1790.667	7.7091023e+08	6.3539279e+08	2.012215	7.3375219	1.8645683	4645	299	419	73	107	230	2	0	0	16.997457	0	7.0670999	0	0	0	0	0	0	297.846	-5.22782e-13	297.943	8.54382e-09	1.15647e-09	0	37	27004190	27004190
7.07	16.238604	-44.7006	12.8495	0	0	0	86560556	2	0	0	0	297.90216	16.240451	8.568964e-09	1.155247e-09	-1790.667	7.7091023e+08	6.3176942e+08	2.0118538	7.1811979	1.8673786	4522	306	373	63	89	230	3	0	0	16.997457	0	7.0692171	0	0	0	0	0	0	297.846	-5.22782e-13	297.907	8.53909e-09	1.15545e-09	0	38	27186887	27186887
7.072	16.233884	-44.7133	12.8492	0	0	0	86560561	2	0	0	0	297.86336	16.235451	8.576926e-09	1.154104e-09	-1790.667	7.7091023e+08	6.3126092e+08	2.012025	6.6937539	1.877345	4421	293	401	78	111	192	1	0	0	16.997457	0	7.0713355	0	0	0	0	0	0	297.846	-5.22782e-13	297.868	8.585e-09	1.14966e-09	0	37	27206043	27206043
7.074	16.229164	-44.7259	12.8488	0	0	0	86560566	2	0	0	0	297.82194	16.232951	8.616102e-09	1.142588e-09	-1790.667	7.7091023e+08	6.2507757e+08	2.0122288	6.9854164	1.8716662	4549	313	400	77	85	230	1	0	0	16.997457	0	7.0723953	0	0	0	0	0	0	297.846	-5.22782e-13	297.835	8.59515e-09	1.14102e-09	0	24	27324181	27324181
7.076	16.224454	-44.7386	12.8485	0	0	0	86560570	2	0	0	0	297.79166	16.227951	8.514931e-09	1.153266e-09	-1790.667	7.7091023e+08	6.31036e+08	2.0120422	7.3073456	1.8650154	4542	307	361	84	92	223	0	0	0	16.997457	0	7.0745158	0	0	0	0	0	0	297.846	-5.22782e-13	297.796	8.52789e-09	1.15229e-09	0	25	26997285	26997285
7.078	16.219739	-44.7512	12.8481	0	0	0	86560575	2	0	0	0	297.75235	16.222951	8.650332e-09	1.160295e-09	-1790.667	7.7091023e+08	6.3499975e+08	2.0120557	7.2298119	1.8665878	4477	275	435	80	100	219	2	0	0	16.997457	0	7.0766375	0	0	0	0	0	0	297.846	-5.22782e-13	297.761	8.67486e-09	1.15593e-09	0	43	27420440	27420440
7.08	16.215034	-44.7639	12.8477	0	0	0	86560579	2	0	0	0	297.71096	16.217951	8.712448e-09	1.158103e-09	-1790.667	7.7091023e+08	6.3391773e+08	2.012105	7.2232415	1.8667658	4569	282	394	64	86	243	0	0	0	16.997457	0	7.0787607	0	0	0	0	0	0	297.846	-5.22782e-13	297.723	8.68207e-09	1.1591e-09	0	30	27611154	27611154
