monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,75523254.0,,1.012015,,74626615.21815388,
8.96,75955619.0,,1.0119395,,75059446.73569912,
8.961,75385541.0,,1.0121533,,74480358.8547308,
8.962,74480182.0,,1.0118947,,73604676.45497106,
8.963,75120180.0,,1.0121872,,74215698.43997237,
8.964,75700262.0,,1.0120278,,74800575.63636097,
8.965,75630155.0,,1.0122406,,74715591.33273256,
8.966,76946215.0,,1.0119648,,76036454.03476484,
8.967,76838673.0,,1.0118467,,75939045.90487868,
8.968,76773720.0,,1.0118608,,75873796.07946073,
8.969,77967936.0,,1.0118314,,77056252.65236877,
8.97,78110908.0,,1.0119094,,77191602.33119684,
8.971,78381649.0,,1.0118557,,77463267.73669408,
8.972,78334459.0,,1.0122861,,77383714.93987717,
8.973,78775678.0,,1.0122515,,77822238.84084143,
8.974,78227408.0,,1.0118474,,77311468.11268182,
8.975,79523266.0,,1.0054589,,79091513.33784007,
8.976,79511221.0,,1.0119686,,78570838.06750526,
8.977,78411329.0,,1.0119789,,77483165.90395315,
8.978,78030660.0,,1.0119299,,77110736.62315938,
8.979,74623259.0,,1.011976,,73740146.9995336,
8.98,69291139.0,,1.0120314,,68467380.55755979,
8.981,61499128.0,,1.0121187,,60762762.31236514,
8.982,55641309.0,,1.0122701,,54966860.129524715,
8.983,50637172.0,,1.0122371,,50025010.93864274,
8.984,48289028.0,,1.0121658,,47708614.537262574,
8.985,47461147.0,,1.01204,,46896512.98367653,
8.986,46085736.0,,1.0120746,,45535908.12376874,
8.987,45101555.0,,1.0119808,,44567599.50386411,
8.988,43456596.0,,1.012263,,42930143.64843919,
8.989,41785983.0,,1.0119155,,41293944.9983719,
8.99,38738219.0,,1.0118499,,38284550.90028669,
8.991,36106518.0,,1.0119171,,35681300.37529754,
8.992,32835680.0,,1.0120851,,32443595.899198595,
8.993,29490878.0,,1.0122099,,29135140.84381115,
8.994,27349036.0,,1.0119802,,27025267.885676023,
8.995,24952565.0,,1.011913,,24658804.66008441,
8.996,24483946.0,,1.01216,,24189798.055643376,
8.997,24062955.0,,1.0119158,,23779602.018270694,
8.998,24783802.0,,1.0120342,,24489095.328991845,
8.999,25165248.0,,1.0119578,,24867882.830687206,
