monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,169089310.0,,1.0122147,,167048858.31039602,
7.093,169223930.0,,1.0122019,,167183967.9415737,
7.094,168949610.0,,1.0119424,,166955757.56090468,
7.095,169103660.0,,1.0122419,,167058545.98589528,
7.096,168821560.0,,1.0118314,,166847520.24892685,
7.097,168833490.0,,1.0120022,,166831149.18129626,
7.098,168638940.0,,1.0119667,,166644752.24332973,
7.099,168280740.0,,1.012081,,166272007.87288764,
7.1,168288690.0,,1.0122813,,166246961.1954701,
7.101,167392650.0,,1.0118163,,165437787.47189584,
7.102,167622740.0,,1.012183,,165605172.1872428,
7.103,167320830.0,,1.0118464,,165361886.94252408,
7.104,166857100.0,,1.0121811,,164849057.1499507,
7.105,166046360.0,,1.012152,,164052790.48996595,
7.106,165672090.0,,1.0120198,,163704395.90213552,
7.107,164406850.0,,1.0122848,,162411655.29700732,
7.108,162529120.0,,1.0120854,,160588345.60798922,
7.109,160426830.0,,1.0118538,,158547440.35156068,
7.11,155837670.0,,1.0120525,,153981804.3036305,
7.111,146635170.0,,1.0118608,,144916346.2009794,
7.112,124122600.0,,1.0118701,,122666535.9516009,
7.113,91409518.0,,1.0119155,,90333153.31171428,
7.114,66575663.0,,1.0121498,,65776491.7801693,
7.115,53993714.0,,1.0121584,,53345122.66064285,
7.116,46982142.0,,1.0120374,,46423325.85732503,
7.117,43286677.0,,1.0120314,,42772069.12749941,
7.118,40660006.0,,1.0121427,,40172206.94275619,
7.119,35552091.0,,1.012272,,35121085.04433591,
7.12,28235509.0,,1.0122374,,27894157.0426068,
7.121,21253314.0,,1.0120941,,20999345.8118173,
7.122,16036680.0,,1.011897,,15848134.740986483,
7.123,12588061.0,,1.012145,,12437013.471389968,
7.124,10275270.0,,1.0121248,,10152176.885696309,
7.125,8989275.5,,1.0122403,,8880574.602690686,
7.126,8099515.6,,1.0120125,,8003375.057126271,
7.127,7297488.9,,1.0122138,,7209434.311209747,
7.128,6616420.4,,1.0120189,,6537842.722107266,
7.129,5948898.5,,1.0121245,,5877635.113071564,
7.13,5275390.6,,1.0120371,,5212645.465269999,
7.131,4754167.1,,1.0120755,,4697443.1255375715,
7.132,4443900.5,,1.012216,,4390268.974211038,
