# Scan number: 2
# Command: ascan monoE 8.879 8.959 10 1
# Date: Fri Jul 26 17:03:25 2024
# date: Fri Jul 26 17:03:25 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.879	12.865599	-58.6672	12.599	0	0	0	86576088	1	0	0	0	297.38875	12.868537	1.556334e-09	1.298694e-10	-1790.667	7.7091023e+08	90176991	1.0118906	5.1418367	0.9598608	804	15	33	12	0	229	0	0	0	16.997457	0	8.877007	0	0	0	0	0	0	297.846	-5.22782e-13	297.389	1.55371e-09	1.29536e-10	0	22	4208090.2	4208090.2
8.887	12.853819	-58.6672	12.5984	0	0	0	86576092	1	0	0	0	297.35632	12.856037	1.595378e-09	1.303633e-10	-1790.667	7.7091023e+08	90637516	1.0118579	5.5426596	0.95577408	768	24	31	3	0	209	0	0	0	16.997457	0	8.8854926	0	0	0	0	0	0	297.846	-5.22782e-13	297.356	1.59112e-09	1.3061e-10	0	18	4311510.4	4311510.4
8.895	12.842059	-58.6672	12.5978	0	0	0	86576096	1	0	0	0	297.32374	12.846037	1.611184e-09	1.311378e-10	-1790.667	7.7091023e+08	91294567	1.0120221	5.1945428	0.95945216	812	13	34	11	0	242	1	0	0	16.997457	0	8.8922931	0	0	0	0	0	0	297.846	-5.22782e-13	297.324	1.62209e-09	1.30665e-10	0	21	4352065.6	4352065.6
8.903	12.830324	-58.6672	12.5972	0	0	0	86576100	1	0	0	0	297.28989	12.833537	1.655362e-09	1.314362e-10	-1790.667	7.7091023e+08	91621428	1.0121453	5.9182966	0.95224352	803	18	23	8	0	233	0	0	0	16.997457	0	8.9008088	0	0	0	0	0	0	297.846	-5.22782e-13	297.29	1.66006e-09	1.32401e-10	0	16	4469187.5	4469187.5
8.911	12.818609	-58.6672	12.5966	0	0	0	86576104	1	0	0	0	297.25005	12.821037	1.694019e-09	1.339977e-10	-1790.667	7.7091023e+08	93528736	1.0118694	5.6466099	0.95473312	832	19	36	12	0	232	0	0	0	16.997457	0	8.9093411	0	0	0	0	0	0	297.846	-5.22782e-13	297.258	1.70108e-09	1.34161e-10	0	14	4571303.2	4571303.2
8.919	12.806914	-58.6672	12.596	0	0	0	86576108	1	0	0	0	297.2176	12.811037	1.763134e-09	1.365876e-10	-1790.667	7.7091023e+08	95460846	1.0118163	4.7375239	0.96388128	892	26	34	17	0	242	0	0	0	16.997457	0	8.9161792	0	0	0	0	0	0	297.846	-5.22782e-13	297.227	1.76615e-09	1.37449e-10	0	19	4755476.9	4755476.9
8.927	12.795244	-58.6672	12.5954	0	0	0	86576113	1	0	0	0	297.18447	12.798537	1.796309e-09	1.38229e-10	-1790.667	7.7091023e+08	96734209	1.01224	5.8240733	0.9532864	862	20	37	25	0	241	0	0	0	16.997457	0	8.9247418	0	0	0	0	0	0	297.846	-5.22782e-13	297.192	1.80413e-09	1.38446e-10	0	14	4842589.5	4842589.5
8.935	12.783594	-58.6672	12.5948	0	0	0	86576117	1	0	0	0	297.15223	12.786037	1.862354e-09	1.405809e-10	-1790.667	7.7091023e+08	98508743	1.012191	5.0108485	0.96147168	855	20	42	21	0	248	0	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	297.161	1.86226e-09	1.40189e-10	0	18	5018195.3	5018195.3
8.943	12.771964	-58.6672	12.5942	0	0	0	86576121	1	0	0	0	297.11891	12.776037	1.956682e-09	1.43352e-10	-1790.667	7.7091023e+08	1.0058202e+08	1.0119094	4.4471015	0.9669088	915	18	32	19	0	258	0	0	0	16.997457	0	8.9401972	0	0	0	0	0	0	297.846	-5.22782e-13	297.123	1.94431e-09	1.42727e-10	0	19	5269812.1	5269812.1
8.951	12.760359	-58.6672	12.5936	0	0	0	86576125	1	0	0	0	297.08709	12.763537	2.04254e-09	1.474518e-10	-1790.667	7.7091023e+08	1.0359421e+08	1.0119504	6.0710011	0.95051488	891	28	43	17	2	236	0	0	0	16.997457	0	8.9488073	0	0	0	0	0	0	297.846	-5.22782e-13	297.087	2.02878e-09	1.45922e-10	0	23	5498394.1	5498394.1
8.959	12.748769	-58.6672	12.593	0	0	0	86576129	1	0	0	0	297.05307	12.751037	2.114824e-09	1.50429e-10	-1790.667	7.7091023e+08	1.0582453e+08	1.0121446	4.6818605	0.96475744	964	20	31	19	1	254	1	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.053	2.09752e-09	1.49177e-10	0	19	5690242.8	5690242.8
