monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,171380770.0,,1.0054694,,170448518.87088758,
7.093,171190410.0,,1.011927,,169172687.35788253,
7.094,171239530.0,,1.005472,,170307606.77572325,
7.095,171321780.0,,1.01228,,169243470.1861145,
7.096,170683440.0,,1.0119901,,168661175.63798302,
7.097,170798780.0,,1.0120595,,168763575.65933624,
7.098,170530400.0,,1.0121354,,168485757.9331777,
7.099,170302880.0,,1.0119786,,168287036.89979216,
7.1,170018840.0,,1.0118966,,168019973.58228102,
7.101,169775610.0,,1.0120554,,167753277.1427335,
7.102,169323920.0,,1.0121862,,167285347.30072394,
7.103,169199520.0,,1.0117875,,167228316.22252697,
7.104,168402680.0,,1.0122115,,166371040.04449663,
7.105,167794820.0,,1.011937,,165815480.6079825,
7.106,166771600.0,,1.0118467,,164819038.29898342,
7.107,165740340.0,,1.0120182,,163772094.2172779,
7.108,164108430.0,,1.011927,,162174178.57216972,
7.109,161951680.0,,1.0117926,,160064107.99999923,
7.11,157766340.0,,1.0118944,,155911861.94923106,
7.111,149045740.0,,1.0119706,,147282677.9750321,
7.112,128827200.0,,1.011913,,127310549.4247035,
7.113,95722474.0,,1.0120333,,94584312.59129518,
7.114,69051330.0,,1.0121578,,68221901.76274885,
7.115,55318490.0,,1.0121856,,54652516.29740632,
7.116,47528491.0,,1.0122301,,46954235.99831698,
7.117,43682822.0,,1.0121037,,43160421.20980291,
7.118,40843455.0,,1.012063,,40356632.93688239,
7.119,36301582.0,,1.0120266,,35870185.625555694,
7.12,29010450.0,,1.0118941,,28669452.663080063,
7.121,21999046.0,,1.0121856,,21734201.71162285,
7.122,16407630.0,,1.0118429,,16215590.38463382,
7.123,12670065.0,,1.0122454,,12516791.876752416,
7.124,10351429.0,,1.0121354,,10227316.424264975,
7.125,8932640.2,,1.0119066,,8827534.280337729,
7.126,7902254.5,,1.0120352,,7808280.285112614,
7.127,7137320.6,,1.0120582,,7052282.763975431,
7.128,6522653.8,,1.0120579,,6444941.341794772,
7.129,5862937.0,,1.0119715,,5793579.167002233,
7.13,5113221.4,,1.0119773,,5052703.652542404,
7.131,4550947.5,,1.0119232,,4497324.994624098,
7.132,4234799.0,,1.0121574,,4183933.2499075737,
