monoE,roi3_mean,roi3_std,mcaLt_mean,mcaLt_std,roi3/mcaLt_mean,roi3/mcaLt_std
8.879,11.0,,0.95849696,,11.476301395885493,
8.887,15.0,,0.96805504,,15.494986731332963,
8.895,10.0,,0.96439808,,10.369162078796341,
8.903,7.0,,0.94740832,,7.388577714833663,
8.911,12.0,,0.96055392,,12.492791659212635,
8.919,11.0,,0.95208,,11.55365095370137,
8.927,14.0,,0.96927776,,14.443744175044314,
8.935,16.0,,0.9600352,,16.66605557796214,
8.943,15.0,,0.97315904,,15.413719015547551,
8.951,16.0,,0.96214976,,16.62942783460238,
8.959,21.0,9.899494936611665,1.4328319999999999,0.6792954229543432,14.666811504194206,0.044389703413632645
8.9595,32.0,,1.9030045,,16.815514624374245,
8.96,30.0,,1.8969085,,15.815206690254168,
8.9605,45.0,,1.9091149,,23.571132360865235,
8.961,29.0,,1.9013968,,15.2519453067345,
8.9615,31.0,,1.9177472,,16.16480003203759,
8.962,30.0,,1.9103328,,15.704069992411794,
8.9625,27.0,,1.9170659,,14.084022881007899,
8.963,32.0,,1.9108774,,16.74623395514542,
8.9635,32.0,,1.899279,,16.848498825080465,
8.964,33.0,,1.9176614,,17.208460263110055,
8.9645,34.0,,1.9076784,,17.82271057847067,
8.965,42.0,,1.9079821,,22.01278513042654,
8.9655,26.0,,1.912999,,13.591225086892361,
8.966,23.0,,1.8987834,,12.113019315420601,
8.9665,32.0,,1.9189018,,16.676205108567828,
8.967,32.0,,1.9174438,,16.68888548389267,
8.9675,35.0,,1.8995008,,18.425893792727017,
8.968,44.0,,1.903144,,23.11963782036462,
8.9685,34.0,,1.9156858,,17.748213198636225,
8.969,28.0,,1.89964,,14.739634878187447,
8.9695,46.0,,1.9086074,,24.101342161829614,
8.97,21.0,,1.907033,,11.011870271778202,
8.9705,38.0,,1.909153,,19.904114547131634,
8.971,35.0,,1.9143536,,18.28293372760393,
8.9715,38.0,,1.9040246,,19.95772533611173,
8.972,45.0,,1.9133411,,23.519068293677485,
8.9725,31.0,,1.9271667,,16.08579060648983,
8.973,42.0,,1.8987744,,22.119531419846403,
8.9735,38.0,,1.9033155,,19.965160794413748,
8.974,50.0,,1.8985283,,26.336188931184225,
8.9745,57.0,,1.9079824,,29.874489408288042,
8.975,48.0,,1.9198726,,25.00165896424586,
8.9755,42.0,,1.900064,,22.104518584637148,
8.976,49.0,,1.9153718,,25.582500483718096,
8.9765,47.0,,1.9102541,,24.60405660168456,
8.977,67.0,,1.9072022,,35.12999303377482,
8.9775,69.0,,1.9134262,,36.0609674938077,
8.978,68.0,,1.9115088,,35.57399264915757,
8.9785,81.0,,1.9020064,,42.58660748985913,
8.979,106.0,,1.8996413,,55.800008138378544,
8.9795,146.0,,1.900944,,76.80394582901968,
8.98,190.0,,1.9062547,,99.67188539915469,
8.9805,221.0,,1.9036614,,116.09207393709826,
8.981,256.0,,1.9075488,,134.20364396444273,
8.9815,342.0,,1.8993098,,180.06541112987466,
8.982,409.0,,1.8976858,,215.52566815855394,
8.9825,428.0,,1.8943437,,225.9357686780915,
8.983,463.0,,1.9043645,,243.12572514347963,
8.9835,447.0,,1.8893344,,236.59125668806962,
8.984,500.0,,1.8916867,,264.3143814459339,
8.9845,449.0,,1.8968262,,236.71119684027983,
8.985,519.0,,1.8953984,,273.82106052215727,
8.9855,527.0,,1.886103,,279.412099975452,
8.986,528.0,,1.907095,,276.86088002957376,
8.9865,524.0,,1.8971053,,276.2102873256429,
8.987,551.0,,1.9029728,,289.54696567391824,
8.9875,614.0,,1.900704,,323.03820058252103,
8.988,630.0,,1.893535,,332.7110404613593,
8.9885,617.0,,1.9005798,,324.6377763248878,
8.989,648.0,5.656854249492381,1.8792224,0.0011838381730625673,344.8225961859712,2.7929850650954777
8.9895,658.0,,1.8938326,,347.4435913712754,
8.99,704.0,,1.8898246,,372.5213440443097,
8.9905,711.0,,1.8900842,,376.1737175518424,
8.991,765.0,,1.8817834,,406.52925304793314,
8.9915,794.0,,1.8927053,,419.5053503575015,
8.992,829.0,,1.8802016,,440.91016622898314,
8.9925,844.0,,1.8829722,,448.2275415430987,
8.993,849.0,,1.89156,,448.83588149463935,
8.9935,891.0,,1.8948131,,470.2310745054486,
8.994,969.0,,1.8951715,,511.2993731701854,
8.9945,974.0,,1.8869491,,516.1771454248553,
8.995,1001.0,,1.8955664,,528.0743528688839,
8.9955,952.0,,1.8767731,,507.25364723098386,
8.996,979.0,,1.8753907,,522.0245573362394,
8.9965,922.0,,1.883743,,489.4510556907179,
8.997,944.0,,1.8905888,,499.315345568534,
8.9975,1010.0,,1.8833875,,536.2677622103789,
8.998,954.0,,1.8807302,,507.2497905334854,
8.9985,990.0,,1.8761946,,527.6638148302953,
8.999,953.0,,1.8933706,,503.33516322689286,
