# Scan number: 5
# Command: k-scan 3 12 8.979 180 1 10
# Date: Fri Jul 26 20:18:22 2024
# date: Fri Jul 26 20:18:22 2024
# C Fri Jul 26 20: 40:57 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86587787	1	0	0	0	297.67949	12.673537	1.020076e-09	1.598295e-10	-1790.667	7.7091023e+08	1.1344665e+08	1.0122144	6.5839964	0.94557024	1356	15	31	445	0	135	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	297.679	1.01689e-09	1.60124e-10	0	20	2735868.1	2735868.1
9.01444	12.669064	25	-58.6672	12.589	86587790	1.0200544	0	0	0	297.65599	12.673537	1.02019e-09	1.603233e-10	-1790.667	7.7091023e+08	1.1381876e+08	1.0279658	6.3829675	0.96235104	1366	13	24	466	0	121	1	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	297.661	1.02066e-09	1.60625e-10	0	15	2735990.5	2735990.5
9.0156	12.667399	25	-58.6672	12.5889	86587793	1.0404384	0	0	0	297.63545	12.671037	1.040412e-09	1.622453e-10	-1790.667	7.7091023e+08	1.1520532e+08	1.0518022	6.8680592	0.97956384	1461	19	38	474	1	136	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.643	1.03366e-09	1.62833e-10	0	9	2790034.3	2790034.3
9.01678	12.665709	25	-58.6672	12.5888	86587795	1.061152	0	0	0	297.62116	12.668537	1.033733e-09	1.639009e-10	-1790.667	7.7091023e+08	1.164036e+08	1.0680554	7.1552246	0.9916336	1480	14	30	535	1	119	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.621	1.03017e-09	1.63791e-10	0	23	2771933.1	2771933.1
9.01799	12.663989	25	-58.6672	12.5887	86587798	1.0821956	0	0	0	297.598	12.668537	1.026994e-09	1.650626e-10	-1790.667	7.7091023e+08	1.1725209e+08	1.092145	7.1487067	1.0140707	1510	13	26	540	0	128	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.598	1.02667e-09	1.6488e-10	0	11	2753668.8	2753668.8
9.01921	12.662244	25	-58.6672	12.5887	86587801	1.1035684	0	0	0	297.57684	12.666037	1.027946e-09	1.657519e-10	-1790.667	7.7091023e+08	1.1776547e+08	1.1160669	6.7960372	1.0402186	1637	22	26	572	5	150	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.583	1.02512e-09	1.6666e-10	0	19	2756026	2756026
9.02045	12.660474	25	-58.6672	12.5886	86587803	1.1252712	0	0	0	297.56139	12.663537	1.02596e-09	1.678124e-10	-1790.667	7.7091023e+08	1.1925388e+08	1.132255	5.8076244	1.0664979	1679	17	24	578	1	131	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.561	1.02467e-09	1.67634e-10	0	15	2750503.2	2750503.2
9.02171	12.658679	25	-58.6672	12.5885	86587806	1.1473032	0	0	0	297.5391	12.663537	1.006487e-09	1.690275e-10	-1790.667	7.7091023e+08	1.201424e+08	1.1561398	6.8655224	1.0767648	1655	15	42	579	0	147	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.539	1.00761e-09	1.69276e-10	0	16	2698100.6	2698100.6
9.02299	12.656859	25	-58.6672	12.5884	86587809	1.1696652	0	0	0	297.50962	12.661037	9.904682e-10	1.702531e-10	-1790.667	7.7091023e+08	1.2103915e+08	1.1798758	7.3587946	1.0930512	1819	13	37	672	0	143	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.521	9.91583e-10	1.70353e-10	0	9	2654961.7	2654961.7
9.02428	12.655009	25	-58.6672	12.5883	86587812	1.1923568	0	0	0	297.48721	12.658537	9.918395e-10	1.716955e-10	-1790.667	7.7091023e+08	1.2209064e+08	1.2040166	6.6643066	1.1237773	1837	11	38	679	0	158	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.496	9.92743e-10	1.72308e-10	0	15	2658438.6	2658438.6
