# Scan number: 8
# Command: ascan monoE 7.092 7.192 100 2
# Date: Fri Jul 26 20:46:37 2024
# date: Fri Jul 26 20:46:37 2024
# C Fri Jul 26 20: 52:26 2024.  Scan aborted after 83 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86589482	2	0	0	0	298.18113	16.190451	1.236184e-08	1.499673e-09	-1790.667	7.7091023e+08	8.2180304e+08	2.0121318	8.0296448	1.8505648	4676	140	288	42	104	142	2	0	0	16.997457	0	7.0904616	0	0	0	0	0	0	297.846	-5.22782e-13	298.194	1.2358e-08	1.50125e-09	0	29	39124127	39124127
7.093	16.184499	-44.8461	12.8454	0	0	0	86589486	2	0	0	0	298.14928	16.187951	1.226293e-08	1.498131e-09	-1790.667	7.7091023e+08	8.2103481e+08	2.011983	7.7895686	1.8552582	4651	130	277	45	116	166	0	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	298.157	1.22827e-08	1.50097e-09	0	39	38806751	38806751
7.094	16.182154	-44.8524	12.8452	0	0	0	86589490	2	0	0	0	298.11977	16.185451	1.217989e-08	1.499888e-09	-1790.667	7.7091023e+08	8.2207462e+08	2.0118938	7.8050563	1.8548643	4728	123	267	49	116	152	1	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	298.124	1.21646e-08	1.49887e-09	0	20	38539663	38539663
7.095	16.179809	-44.8587	12.8451	0	0	0	86589494	2	0	0	0	298.08956	16.182951	1.202392e-08	1.498131e-09	-1790.667	7.7091023e+08	8.2118849e+08	2.0117734	7.6289942	1.8582954	4674	138	280	45	104	115	0	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	298.093	1.20272e-08	1.49787e-09	0	36	38041895	38041895
7.096	16.177469	-44.865	12.8449	0	0	0	86589500	2	0	0	0	298.04216	16.180451	1.188937e-08	1.494994e-09	-1790.667	7.7091023e+08	8.1954573e+08	2.0120349	7.6857992	1.8573939	4733	125	257	41	109	146	1	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	298.062	1.18475e-08	1.49665e-09	0	28	37612001	37612001
7.097	16.175124	-44.8714	12.8447	0	0	0	86589504	2	0	0	0	298.01174	16.177951	1.167743e-08	1.491539e-09	-1790.667	7.7091023e+08	8.1772835e+08	2.0122618	7.9824366	1.8516342	4672	140	234	44	99	146	1	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	298.015	1.16516e-08	1.49151e-09	0	44	36937407	36937407
7.098	16.172784	-44.8777	12.8445	0	0	0	86589508	2	0	0	0	297.98191	16.175451	1.151555e-08	1.48713e-09	-1790.667	7.7091023e+08	8.1538759e+08	2.0120304	8.1702463	1.8476426	4587	123	263	31	98	136	2	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	297.986	1.15264e-08	1.4893e-09	0	36	36421293	36421293
7.099	16.170444	-44.884	12.8443	0	0	0	86589512	2	0	0	0	297.94902	16.172951	1.149296e-08	1.489253e-09	-1790.667	7.7091023e+08	8.1662824e+08	2.0122608	7.1497213	1.8683898	4703	127	271	46	101	141	4	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	297.954	1.1483e-08	1.48798e-09	0	29	36345792	36345792
7.1	16.168104	-44.8903	12.8442	0	0	0	86589516	2	0	0	0	297.90964	16.170451	1.135371e-08	1.48502e-09	-1790.667	7.7091023e+08	8.1438354e+08	2.0120864	7.4481096	1.862224	4542	135	277	37	115	134	2	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	297.922	1.13567e-08	1.48396e-09	0	31	35901418	35901418
7.101	16.165764	-44.8966	12.844	0	0	0	86589521	2	0	0	0	297.88098	16.170451	1.123117e-08	1.47911e-09	-1790.667	7.7091023e+08	8.112187e+08	2.0121498	7.6252933	1.8587174	4603	123	237	30	111	119	3	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	297.892	1.12371e-08	1.48042e-09	0	27	35509977	35509977
7.102	16.163424	-44.903	12.8438	0	0	0	86589525	2	0	0	0	297.84955	16.167951	1.109552e-08	1.474641e-09	-1790.667	7.7091023e+08	8.0884369e+08	2.0121875	7.7660674	1.8559197	4628	113	288	35	100	131	2	0	0	16.997457	0	7.1000651	0	0	0	0	0	0	297.846	-5.22782e-13	297.858	1.11097e-08	1.47887e-09	0	38	35077177	35077177
7.103	16.161089	-44.9093	12.8436	0	0	0	86589529	2	0	0	0	297.82005	16.165451	1.098411e-08	1.475616e-09	-1790.667	7.7091023e+08	8.0945459e+08	2.0117795	7.8314268	1.8542285	4676	116	293	49	104	148	0	0	0	16.997457	0	7.1011339	0	0	0	0	0	0	297.846	-5.22782e-13	297.824	1.0994e-08	1.47562e-09	0	36	34721098	34721098
7.104	16.158749	-44.9156	12.8435	0	0	0	86589533	2	0	0	0	297.78807	16.162951	1.106148e-08	1.480508e-09	-1790.667	7.7091023e+08	8.1221454e+08	2.0122806	8.3413892	1.8444285	4616	107	267	30	111	145	1	0	0	16.997457	0	7.1022029	0	0	0	0	0	0	297.846	-5.22782e-13	297.793	1.10537e-08	1.47617e-09	0	41	34961771	34961771
7.105	16.156414	-44.9219	12.8433	0	0	0	86589537	2	0	0	0	297.75689	16.160451	1.083967e-08	1.475634e-09	-1790.667	7.7091023e+08	8.0961686e+08	2.0122243	7.4054249	1.8632106	4609	119	263	38	116	156	1	0	0	16.997457	0	7.1032723	0	0	0	0	0	0	297.846	-5.22782e-13	297.762	1.08163e-08	1.47253e-09	0	31	34256885	34256885
