monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
19.96,161935380.0,,1.0056285,,161029028.1152533,
19.962,165947900.0,,1.0117923,,164013800.06548774,
19.964,163842920.0,,1.0120909,,161885577.66896233,
19.966,165524660.0,,1.0121805,,163532749.34658393,
19.968,165665800.0,,1.0122227,,163665367.31491995,
19.97,164740720.0,,1.0121085,,162769821.61497506,
19.972,163930470.0,,1.011952,,161994313.9595554,
19.974,164186600.0,,1.0118957,,162256445.99537286,
19.976,163202730.0,,1.0119894,,161269208.9462597,
19.978,162030910.0,,1.011961,,160115765.33087736,
19.98,160844020.0,,1.0120682,,158926068.4210807,
19.982,161546970.0,,1.0120429,,159624626.58450547,
19.984,162033690.0,,1.0118499,,160136093.3079106,
19.986,161553390.0,,1.0121046,,159621238.75338575,
19.988,161534920.0,,1.0122394,,159581735.30886075,
19.99,161025290.0,,1.0118723,,159135979.9057648,
19.992,160501000.0,,1.0121722,,158570843.97299194,
19.994,159687390.0,,1.0122048,,157761937.10996038,
19.996,159682840.0,,1.0121408,,157767417.33956382,
19.998,159201140.0,,1.0122742,,157270767.14984933,
20.0,156289620.0,,1.01212,,154418072.955776,
20.002,154519430.0,,1.0056038,,153658359.28623182,
20.004,151938110.0,,1.0121027,,150121237.6965302,
20.006,149283130.0,,1.0121568,,147490122.08385104,
20.008,141299730.0,,1.0120646,,139615326.92675942,
20.01,133804740.0,,1.0118611,,132236272.35002908,
20.012,124119160.0,,1.0122701,,122614665.78929871,
20.014,114733060.0,,1.0121302,,113358004.73101187,
20.016,106081420.0,,1.0122787,,104794677.59224807,
20.018,98034290.0,,1.0119725,,96874460.52140746,
20.02,89562819.0,,1.0121987,,88483436.10794996,
20.022,81449709.0,,1.0122528,,80463802.1253189,
20.024,74609059.0,,1.0118851,,73732738.03517811,
20.026,69636563.0,,1.0120912,,68804632.42838195,
20.028,68985930.0,,1.0119552,,68170932.86343111,
20.03,69176835.0,,1.012041,,68353787.0501294,
20.032,69150099.0,,1.011849,,68340334.3779556,
20.034,69544438.0,,1.011977,,68721362.24439885,
20.036,69706532.0,,1.0120755,,68874833.94272463,
20.038,67950937.0,,1.0122682,,67127404.57519065,
20.04,68040106.0,,1.0121859,,67220958.1263679,
