monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
17.948,251.0,,1.5198771,,165.14493178428702,
17.95,245.0,,1.5208483,,161.09430506645535,
17.952,210.0,,1.5149302,,138.6202479823823,
17.954,246.0,,1.5178307,,162.07341174480132,
17.956,254.0,,1.5164979,,167.49116500589943,
17.958,266.0,,1.5112918,,176.0083658231984,
17.96,255.0,,1.5280563,,166.878668017664,
17.962,268.0,,1.5177718,,176.57463394694776,
17.964,270.0,,1.5198432,,177.64990493756198,
17.966,270.0,,1.5314614,,176.3021908354987,
17.968,267.0,,1.5391206,,173.47568475140935,
17.97,251.0,,1.5366992,,163.3371059215753,
17.972,281.0,,1.5283728,,183.85566662793266,
17.974,296.0,,1.524801,,194.12369220639283,
17.976,290.0,,1.5205168,,190.7246273109248,
17.978,311.5,13.435028842544403,1.5158648000000001,0.0016230929055356426,205.49812309193024,9.082981139370627
17.9785,285.0,,1.5265219,,186.69892649427433,
17.979,295.0,,1.5132202,,194.94849460772465,
17.9795,326.0,,1.5153898,,215.12616753788367,
