# Scan number: 10
# Command: k-scan 3 12 8.979 180 1 10
# Date: Sat Jul 27 00:36:27 2024
# date: Sat Jul 27 00:36:27 2024
# C Sat Jul 27 00: 38:41 2024.  Scan aborted after 39 points.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-56.9872	12.5955	86603272	1	0	0	0	296.47978	12.673537	-7.247536e-13	2.842171e-14	-1790.667	7.7091023e+08	20173.671	1.0122525	0.035975214	1.0118883	0	0	0	0	0	0	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	296.487	-6.83305e-13	4.26326e-14	0	14	-1943.8064	-1943.8064
9.01444	12.669064	25	-56.9945	12.5954	86603275	1.0200544	0	0	0	296.4647	12.671037	-7.0699e-13	4.618528e-14	-1790.667	7.7091023e+08	32788.442	1.0278323	0.032845825	1.0274947	0	0	0	0	0	0	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.465	-5.84421e-13	6.03961e-14	0	18	-1896.0369	-1896.0369
9.0156	12.667399	25	-57.0019	12.5952	86603278	1.0404384	0	0	0	296.44074	12.671037	-5.293543e-13	6.039613e-14	-1790.667	7.7091023e+08	42885.406	1.0520618	0.034401022	1.0516998	0	0	0	0	0	0	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.444	-6.30015e-13	4.26326e-14	0	23	-1419.5498	-1419.5498
9.01678	12.665709	25	-57.0093	12.5951	86603280	1.061152	0	0	0	296.74592	12.668537	-8.06466e-13	6.750156e-14	-1790.667	7.7091023e+08	47940.095	1.067833	0.036050582	1.067448	0	0	0	0	0	0	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.425	-7.01661e-13	6.15804e-14	0	11	-2162.5215	-2162.5215
9.01799	12.663989	25	-57.0169	12.595	86603283	1.0821956	0	0	0	296.72996	12.666037	-7.496226e-13	9.592327e-14	-1790.667	7.7091023e+08	68139.019	1.0920576	0.033375529	1.0916931	0	0	0	0	0	0	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.73	-7.10543e-13	1.11911e-13	0	10	-2009.9556	-2009.9556
9.01921	12.662244	25	-57.0247	12.5949	86603286	1.1035684	0	0	0	296.70787	12.666037	-7.212009e-13	7.105427e-14	-1790.667	7.7091023e+08	50483.522	1.1158045	0.035991969	1.1154029	0	0	0	0	0	0	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	-7.36596e-13	9.41469e-14	0	15	-1933.6117	-1933.6117
9.02045	12.660474	25	-57.0325	12.5948	86603289	1.1252712	0	0	0	296.68401	12.663537	-7.673862e-13	9.237056e-14	-1790.667	7.7091023e+08	65642.036	1.1318928	0.034095102	1.1315069	0	0	0	0	0	0	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.688	-6.92779e-13	9.71075e-14	0	25	-2057.2909	-2057.2909
9.02171	12.658679	25	-57.0405	12.5947	86603291	1.1473032	0	0	0	296.66788	12.661037	-6.501466e-13	7.460699e-14	-1790.667	7.7091023e+08	53029.611	1.1557968	0.034885025	1.1553936	0	0	0	0	0	0	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.668	-6.51331e-13	1.20792e-13	0	24	-1742.855	-1742.855
9.02299	12.656859	25	-57.0486	12.5945	86603294	1.1696652	0	0	0	296.64528	12.661037	-5.57776e-13	1.101341e-13	-1790.667	7.7091023e+08	78298.355	1.1799274	0.034117354	1.1795248	0	0	0	0	0	0	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.645	-6.0929e-13	7.4607e-14	0	15	-1495.1251	-1495.1251
9.02428	12.655009	25	-57.0568	12.5944	86603297	1.1923568	0	0	0	296.62284	12.658537	-6.465939e-13	6.750156e-14	-1790.667	7.7091023e+08	47999.562	1.2039056	0.035218708	1.2034816	0	0	0	0	0	0	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	296.623	-6.64357e-13	6.92779e-14	0	19	-1733.0729	-1733.0729
