# Scan number: 12
# Command: ascan monoE 8.959 8.989 60 2
# Date: Sat Jul 27 00:40:25 2024
# date: Sat Jul 27 00:40:25 2024
# C Sat Jul 27 00: 42:38 2024.  Scan aborted after 42 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-58.6672	12.593	0	0	0	86603509	2	0	0	0	296.82078	12.751037	-6.181722e-13	1.811884e-13	-1790.667	7.7091023e+08	127463.3	2.0119414	0.036168051	2.0112138	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.825	-6.82121e-13	1.39444e-13	0	25	-1663.2826	-1663.2826
8.9595	12.748049	-58.6672	12.593	0	0	0	86603512	2	0	0	0	296.79861	12.751037	-7.31859e-13	1.74083e-13	-1790.667	7.7091023e+08	122474.8	2.012113	0.036944248	2.0113696	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.802	-6.25278e-13	1.49214e-13	0	28	-1969.1145	-1969.1145
8.96	12.747324	-58.6672	12.5929	0	0	0	86603515	2	0	0	0	296.77648	12.751037	-7.81597e-13	1.598721e-13	-1790.667	7.7091023e+08	112486.05	2.011993	0.035769509	2.0112733	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.781	-6.61693e-13	1.50102e-13	0	25	-2102.8748	-2102.8748
8.9605	12.746599	-58.6672	12.5929	0	0	0	86603518	2	0	0	0	296.74606	12.751037	-6.927792e-13	1.314504e-13	-1790.667	7.7091023e+08	92496.12	2.0121779	0.036243316	2.0114486	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.756	-6.98996e-13	1.21977e-13	0	29	-1863.856	-1863.856
8.961	12.745879	-58.6672	12.5929	0	0	0	86603522	2	0	0	0	296.72293	12.748537	-4.725109e-13	9.237056e-14	-1790.667	7.7091023e+08	65002.61	2.0121213	0.036546505	2.0113859	0	0	0	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.734	-6.8745e-13	1.18128e-13	0	46	-1271.2072	-1271.2072
8.9615	12.745154	-58.6672	12.5928	0	0	0	86603525	2	0	0	0	296.70071	12.748537	-6.110668e-13	1.207923e-13	-1790.667	7.7091023e+08	85010.405	2.0119645	0.035324679	2.0112538	0	0	0	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	-6.96332e-13	1.14575e-13	0	35	-1643.9182	-1643.9182
8.962	12.744429	-58.6672	12.5928	0	0	0	86603528	2	0	0	0	296.67586	12.748537	-4.760636e-13	1.314504e-13	-1790.667	7.7091023e+08	92518.88	2.0118509	0.036567323	2.0111152	0	0	0	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.684	-7.07878e-13	1.24345e-13	0	29	-1280.6884	-1280.6884
8.9625	12.743709	-58.6672	12.5928	0	0	0	86603531	2	0	0	0	296.65457	12.746037	-7.887024e-13	1.421085e-13	-1790.667	7.7091023e+08	100028.59	2.0120899	0.034686323	2.011392	0	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.658	-6.57252e-13	1.37668e-13	0	32	-2121.6741	-2121.6741
8.963	12.742984	-58.6672	12.5927	0	0	0	86603534	2	0	0	0	296.6313	12.746037	-6.110668e-13	9.947598e-14	-1790.667	7.7091023e+08	70025.775	2.0118112	0.035375089	2.0110995	0	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.634	-6.93667e-13	1.1724e-13	0	39	-1643.7706	-1643.7706
8.9635	12.742264	-58.6672	12.5927	0	0	0	86603537	2	0	0	0	296.6087	12.746037	-5.719869e-13	6.394885e-14	-1790.667	7.7091023e+08	45020.267	2.0120093	0.034735426	2.0113104	0	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.612	-6.60805e-13	1.03029e-13	0	27	-1538.5996	-1538.5996
