# Scan number: 13
# Command: ascan monoE 8.879 8.959 10 1
# Date: Sat Jul 27 00:43:40 2024
# date: Sat Jul 27 00:43:40 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.879	12.865599	-58.6672	12.599	0	0	0	86603703	1	0	0	0	297.95481	12.868537	-7.638334e-13	1.563194e-13	-1790.667	7.7091023e+08	108542.99	1.0122061	0.033510963	1.0118669	0	0	0	0	0	0	0	0	0	16.997457	0	8.877007	0	0	0	0	0	0	297.846	-5.22782e-13	297.955	-6.8745e-13	1.52767e-13	0	13	-2065.2892	-2065.2892
8.887	12.853819	-58.6672	12.5984	0	0	0	86603707	1	0	0	0	297.9241	12.856037	-6.181722e-13	7.105427e-14	-1790.667	7.7091023e+08	49401.807	1.0119507	0.035732965	1.0115891	0	0	0	0	0	0	0	0	0	16.997457	0	8.8854926	0	0	0	0	0	0	297.846	-5.22782e-13	297.924	-7.12319e-13	7.4607e-14	0	16	-1670.6109	-1670.6109
8.895	12.842059	-58.6672	12.5978	0	0	0	86603711	1	0	0	0	297.89524	12.846037	-6.998846e-13	1.385558e-13	-1790.667	7.7091023e+08	96458.776	1.0120541	0.03367409	1.0117133	0	0	0	0	0	0	0	0	0	16.997457	0	8.8922931	0	0	0	0	0	0	297.846	-5.22782e-13	297.895	-6.6791e-13	1.43885e-13	0	9	-1890.5002	-1890.5002
8.903	12.830324	-58.6672	12.5972	0	0	0	86603715	1	0	0	0	297.86381	12.833537	-6.998846e-13	1.385558e-13	-1790.667	7.7091023e+08	96584.352	1.0120714	0.033736752	1.0117299	0	0	0	0	0	0	0	0	0	16.997457	0	8.9008088	0	0	0	0	0	0	297.846	-5.22782e-13	297.864	-6.39488e-13	1.43885e-13	0	24	-1889.5659	-1889.5659
8.911	12.818609	-58.6672	12.5966	0	0	0	86603719	1	0	0	0	297.83369	12.821037	-6.07514e-13	1.74083e-13	-1790.667	7.7091023e+08	121507.78	1.0122048	0.033637462	1.0118643	0	0	0	0	0	0	0	0	0	16.997457	0	8.9093411	0	0	0	0	0	0	297.846	-5.22782e-13	297.834	-6.6791e-13	1.13687e-13	0	20	-1639.374	-1639.374
8.919	12.806914	-58.6672	12.596	0	0	0	86603723	1	0	0	0	297.79619	12.811037	-8.419931e-13	1.350031e-13	-1790.667	7.7091023e+08	94353.442	1.0122522	0.03401524	1.0119078	0	0	0	0	0	0	0	0	0	16.997457	0	8.9161792	0	0	0	0	0	0	297.846	-5.22782e-13	297.804	-7.62649e-13	1.40332e-13	0	24	-2271.0008	-2271.0008
8.927	12.795244	-58.6672	12.5954	0	0	0	86603727	1	0	0	0	297.76512	12.798537	-7.212009e-13	9.947598e-14	-1790.667	7.7091023e+08	69614.41	1.0120362	0.033295253	1.0116992	0	0	0	0	0	0	0	0	0	16.997457	0	8.9247418	0	0	0	0	0	0	297.846	-5.22782e-13	297.774	-6.18172e-13	1.3145e-13	0	17	-1944.2534	-1944.2534
8.935	12.783594	-58.6672	12.5948	0	0	0	86603732	1	0	0	0	297.73531	12.786037	-6.465939e-13	1.669775e-13	-1790.667	7.7091023e+08	117005.54	1.0120131	0.033548972	1.0116736	0	0	0	0	0	0	0	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	297.742	-6.39488e-13	1.04805e-13	0	16	-1742.2759	-1742.2759
8.943	12.771964	-58.6672	12.5942	0	0	0	86603736	1	0	0	0	297.70489	12.776037	-7.354117e-13	1.314504e-13	-1790.667	7.7091023e+08	92231.342	1.0122422	0.034205251	1.011896	0	0	0	0	0	0	0	0	0	16.997457	0	8.9401972	0	0	0	0	0	0	297.846	-5.22782e-13	297.711	-5.93303e-13	1.13687e-13	0	20	-1980.6394	-1980.6394
8.951	12.760359	-58.6672	12.5936	0	0	0	86603740	1	0	0	0	297.67216	12.763537	-5.542233e-13	1.172396e-13	-1790.667	7.7091023e+08	82368.227	1.0121802	0.035914555	1.0118166	0	0	0	0	0	0	0	0	0	16.997457	0	8.9488073	0	0	0	0	0	0	297.846	-5.22782e-13	297.677	-6.64357e-13	1.10134e-13	0	18	-1491.9356	-1491.9356
8.959	12.748769	-58.6672	12.593	0	0	0	86603744	1	0	0	0	297.64248	12.751037	-7.780443e-13	9.592327e-14	-1790.667	7.7091023e+08	67480.572	1.0121053	0.033925324	1.0117619	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.642	-6.90411e-13	8.52651e-14	0	17	-2093.4418	-2093.4418
