# Scan number: 29
# Command: ascan monoE 7.092 7.192 100 2
# Date: Sat Jul 27 02:11:25 2024
# date: Sat Jul 27 02:11:25 2024
# C Sat Jul 27 02: 18:41 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86608970	2	0	0	0	296.46852	16.190451	6.806548e-09	1.323265e-09	-1790.667	7.7091023e+08	7.2513355e+08	2.0119686	7.3472954	1.8641434	4640	197	394	48	94	175	2	0	0	16.997457	0	7.0904616	0	0	0	0	0	0	297.846	-5.22782e-13	296.472	7.00725e-09	1.32429e-09	0	27	21542120	21542120
7.093	16.184499	-44.8461	12.8454	0	0	0	86608974	2	0	0	0	296.78823	16.187951	6.96906e-09	1.324906e-09	-1790.667	7.7091023e+08	7.2610068e+08	2.012135	6.5630426	1.8800778	4575	228	326	34	77	195	0	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	296.792	6.97999e-09	1.3263e-09	0	35	22053993	22053993
7.094	16.182154	-44.8524	12.8452	0	0	0	86608978	2	0	0	0	296.75923	16.185451	6.930396e-09	1.320767e-09	-1790.667	7.7091023e+08	7.2390007e+08	2.0119613	7.808198	1.8548634	4604	241	353	48	99	156	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	296.763	6.91406e-09	1.32273e-09	0	27	21929190	21929190
7.095	16.179809	-44.8587	12.8451	0	0	0	86608982	2	0	0	0	296.73123	16.182951	6.905825e-09	1.319711e-09	-1790.667	7.7091023e+08	7.23389e+08	2.0120614	7.4351288	1.8624621	4559	195	327	41	79	172	3	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	296.735	6.90195e-09	1.3214e-09	0	28	21849003	21849003
7.096	16.177469	-44.865	12.8449	0	0	0	86608987	2	0	0	0	296.69319	16.180451	6.901153e-09	1.325416e-09	-1790.667	7.7091023e+08	7.265842e+08	2.0120374	6.8589738	1.8740323	4551	213	327	38	77	173	5	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	296.705	6.89205e-09	1.32053e-09	0	48	21831785	21831785
7.097	16.175124	-44.8714	12.8447	0	0	0	86608991	2	0	0	0	296.6634	16.177951	6.830273e-09	1.316625e-09	-1790.667	7.7091023e+08	7.2183268e+08	2.0121648	6.9127698	1.8730685	4586	217	374	41	80	169	1	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	296.672	6.8354e-09	1.32111e-09	0	30	21605145	21605145
7.098	16.172784	-44.8777	12.8445	0	0	0	86608995	2	0	0	0	296.63593	16.175451	6.725259e-09	1.313959e-09	-1790.667	7.7091023e+08	7.2043861e+08	2.0119808	7.43724	1.862345	4498	182	344	37	93	184	0	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	296.64	6.71647e-09	1.31402e-09	0	24	21270598	21270598
7.099	16.170444	-44.884	12.8443	0	0	0	86608999	2	0	0	0	296.60834	16.172951	6.705047e-09	1.310587e-09	-1790.667	7.7091023e+08	7.1865718e+08	2.0121514	7.265855	1.8659514	4582	215	339	47	66	173	2	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	296.612	6.69378e-09	1.31059e-09	0	40	21204306	21204306
7.1	16.168104	-44.8903	12.8442	0	0	0	86609003	2	0	0	0	296.57772	16.170451	6.716274e-09	1.308429e-09	-1790.667	7.7091023e+08	7.175412e+08	2.0117786	6.9453688	1.8720531	4476	235	320	44	83	185	2	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	296.583	6.71111e-09	1.30962e-09	0	28	21237442	21237442
7.101	16.165764	-44.8966	12.844	0	0	0	86609007	2	0	0	0	296.54089	16.167951	6.668632e-09	1.308313e-09	-1790.667	7.7091023e+08	7.1754499e+08	2.0122768	7.4250938	1.8628634	4543	217	319	42	91	167	4	0	0	16.997457	0	7.1000651	0	0	0	0	0	0	297.846	-5.22782e-13	296.553	6.66995e-09	1.30558e-09	0	21	21084443	21084443
7.102	16.163424	-44.903	12.8438	0	0	0	86609012	2	0	0	0	296.51128	16.167951	6.578414e-09	1.30216e-09	-1790.667	7.7091023e+08	7.142375e+08	2.0120147	7.0058811	1.8710554	4519	229	290	50	73	167	2	0	0	16.997457	0	7.1000651	0	0	0	0	0	0	297.846	-5.22782e-13	296.522	6.58786e-09	1.30602e-09	0	31	20796880	20796880
7.103	16.161089	-44.9093	12.8436	0	0	0	86609016	2	0	0	0	296.48291	16.165451	6.5268e-09	1.301521e-09	-1790.667	7.7091023e+08	7.1395414e+08	2.012273	7.0195646	1.8710202	4713	251	341	42	93	218	1	0	0	16.997457	0	7.1011339	0	0	0	0	0	0	297.846	-5.22782e-13	296.495	6.52006e-09	1.30337e-09	0	29	20631409	20631409
7.104	16.158749	-44.9156	12.8435	0	0	0	86609020	2	0	0	0	296.45578	16.162951	6.332723e-09	1.297755e-09	-1790.667	7.7091023e+08	7.1195527e+08	2.0120326	6.9468933	1.8722589	4504	216	360	40	86	175	2	0	0	16.997457	0	7.1022029	0	0	0	0	0	0	297.846	-5.22782e-13	296.463	6.49892e-09	1.29876e-09	0	28	20015695	20015695
