monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,604490920.0,,1.0117939,,597444716.7550625,
8.96,607004810.0,,1.0122138,,599680433.125887,
8.961,607701900.0,,1.0121795,,600389456.6131798,
8.962,607341490.0,,1.0122742,,599977249.247289,
8.963,606925910.0,,1.0121254,,599654855.0209292,
8.964,606372690.0,,1.0118368,,599279142.6443474,
8.965,607570440.0,,1.0120611,,600329802.2224152,
8.966,605796030.0,,1.0121776,,598507643.3226738,
8.967,607699810.0,,1.0119997,,600494061.411283,
8.968,605556940.0,,1.0122102,,598252161.4581636,
8.969,607436290.0,,1.0118189,,600340920.6924282,
8.97,605976130.0,,1.0120246,,598776087.0634964,
8.971,606080660.0,,1.0120339,,598873871.7151668,
8.972,606285390.0,,1.012207,,598973717.826492,
8.973,604411060.0,,1.0120061,,597240530.4671582,
8.974,605830740.0,,1.0119718,,598663658.414197,
8.975,604138600.0,,1.0120755,,596930367.3490763,
8.976,602120130.0,,1.0120074,,594976014.9975189,
8.977,601752790.0,,1.012225,,594485208.328188,
8.978,595561460.0,,1.0122838,,588334476.9520168,
8.979,592788260.0,,1.0118486,,585846795.6569787,
8.98,585424710.0,,1.0119942,,578486230.4546804,
8.981,572853940.0,,1.0120986,,566006059.093452,
8.982,544130300.0,,1.0118269,,537770146.2572304,
8.983,492744590.0,,1.012249,,486781997.3148899,
8.984,426952100.0,,1.0120816,,421855411.65850663,
8.985,354993570.0,,1.0117872,,350857937.3212074,
8.986,343677370.0,,1.0121005,,339568422.3058876,
8.987,341772970.0,,1.0119094,,337750563.4397704,
8.988,341892070.0,,1.0119622,,337850633.1560606,
8.989,333752910.0,,1.0119482,,329812247.30672973,
8.99,319767990.0,,1.0122134,,315909658.9711221,
8.991,302228430.0,,1.0118384,,298692390.01010436,
8.992,285947050.0,,1.0120307,,282547802.1565947,
8.993,265216880.0,,1.0120653,,262055106.52326486,
8.994,241840390.0,,1.0121213,,238944077.1575502,
8.995,216761780.0,,1.0119853,,214194593.53806818,
8.996,196288970.0,,1.0122832,,193907169.4561364,
8.997,180854420.0,,1.0120483,,178701372.25664032,
8.998,172208780.0,,1.0060643,,171170749.22547197,
8.999,171869860.0,,1.0122016,,169798052.08764735,
