# Scan number: 21
# Command: ascan cr2ropi 0.0943994 0.114399 20 1
# Date: Sun Jul 28 17:37:27 2024
# date: Sun Jul 28 17:37:27 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.094393911	0	0	0	86750938	1	0	0	0	297.71131	12.723537	-6.541304e-13	-1.350031e-13	-1790.667	7.7091023e+08	-95285.024	1.012095	0.030068322	1.0117907	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.715	-5.9621e-13	-1.24345e-13	0	15	-1757.935	-1757.935
0.095394456	0	0	0	86750941	1	0	0	0	297.679	12.723537	-6.242744e-13	-1.776357e-13	-1790.667	7.7091023e+08	-125375.06	1.0118384	0.030044323	1.0115344	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.689	-6.24274e-13	-1.65793e-13	0	19	-1677.6988	-1677.6988
0.096395001	0	0	0	86750945	1	0	0	0	297.65479	12.723537	-4.671329e-13	-9.592327e-14	-1790.667	7.7091023e+08	-67702.527	1.0122253	0.029969613	1.0119219	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.655	-4.67133e-13	-1.13687e-13	0	14	-1255.3907	-1255.3907
0.097395547	0	0	0	86750949	1	0	0	0	297.62507	12.723537	-4.532001e-13	-1.101341e-13	-1790.667	7.7091023e+08	-77732.514	1.0122758	0.031675161	1.0119552	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.625	-5.22416e-13	-1.15463e-13	0	19	-1217.9472	-1217.9472
0.098396092	0	0	0	86750953	1	0	0	0	297.59378	12.723537	-5.549094e-13	-6.394885e-14	-1790.667	7.7091023e+08	-45135.021	1.0121235	0.031047594	1.0118093	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.598	-5.92727e-13	-9.05942e-14	0	24	-1491.2847	-1491.2847
0.099396637	0	0	0	86750956	1	0	0	0	297.56272	12.723537	-5.979017e-13	3.552714e-14	-1790.667	7.7091023e+08	25075.012	1.0121402	0.031742639	1.0118189	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.57	-5.97902e-13	1.06581e-14	0	23	-1606.8238	-1606.8238
0.10039718	0	0	0	86750960	1	0	0	0	297.53343	12.723537	-5.571982e-13	1.705303e-13	-1790.667	7.7091023e+08	120360.08	1.0122758	0.031643549	1.0119555	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.54	-5.57198e-13	1.65201e-13	0	30	-1497.4357	-1497.4357
0.10139773	0	0	0	86750964	1	0	0	0	297.5092	12.723537	-4.24439e-13	4.583001e-13	-1790.667	7.7091023e+08	323467.65	1.0121738	0.031551895	1.0118544	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.509	-4.24439e-13	4.93827e-13	0	13	-1140.6535	-1140.6535
0.10239827	0	0	0	86750968	1	0	0	0	297.47769	12.723537	-3.88612e-13	3.485212e-12	-1790.667	7.7091023e+08	2459858.4	1.0122493	0.0312018	1.0119334	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.478	-6.30644e-13	3.40705e-12	0	19	-1044.3707	-1044.3707
0.10339882	0	0	0	86750971	1	0	0	0	297.44685	12.723537	1.8656e-11	1.624478e-10	-1790.667	7.7091023e+08	1.1465546e+08	1.012137	0.029940612	1.0118339	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.455	1.8656e-11	1.62792e-10	0	14	50136.845	50136.845
