# Scan number: 22
# Command: ascan cr2roll -0.122232 0.277768 20 1
# Date: Sun Jul 28 17:40:08 2024
# date: Sun Jul 28 17:40:08 2024
# C Sun Jul 28 17: 43:43 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.017763106	8.979	25	0	0	0	86751133	1	0	0	0	296.50334	12.723537	-5.997928e-13	1.101341e-13	-1790.667	7.7091023e+08	77732.514	1.0121827	0.031772919	1.0118611	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.503	-5.99793e-13	1.15463e-13	0	25	-1611.906	-1611.906
0.037774012	8.979	25	0	0	0	86751138	1	0	0	0	296.46589	12.723537	-6.832896e-13	5.684342e-13	-1790.667	7.7091023e+08	401200.17	1.0122573	0.031865417	1.0119347	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.466	-5.22864e-13	5.69618e-13	0	24	-1836.2985	-1836.2985
0.057771211	8.979	25	0	0	0	86751143	1	0	0	0	298.21339	12.723537	-4.865282e-14	2.603429e-11	-1790.667	7.7091023e+08	18374970	1.0050006	0.031458686	1.0046845	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.222	-1.57328e-13	2.57412e-11	0	24	-130.75144	-130.75144
0.077768411	8.979	25	0	0	0	86751147	1	0	0	0	298.17446	12.723537	2.11348e-11	1.156321e-09	-1790.667	7.7091023e+08	8.1612996e+08	1.0119187	50.015875	0.50579872	1	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.183	2.11348e-11	1.16058e-09	0	30	56798.467	56798.467
0.097765611	8.979	25	0	0	0	86751152	1	0	0	0	298.13538	12.723537	2.901707e-12	1.719691e-10	-1790.667	7.7091023e+08	1.2137558e+08	1.012177	0.031425335	1.0118589	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.143	2.90171e-12	1.71479e-10	0	25	7798.1579	7798.1579
0.11776281	8.979	25	0	0	0	86751157	1	0	0	0	298.10331	12.723537	-4.034403e-13	3.655742e-12	-1790.667	7.7091023e+08	2580218.3	1.011856	0.031340428	1.0115389	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.103	-4.0344e-13	3.60423e-12	0	26	-1084.2208	-1084.2208
0.13777372	8.979	25	0	0	0	86751162	1	0	0	0	298.0644	12.723537	-2.954615e-13	1.467271e-12	-1790.667	7.7091023e+08	1035598.1	1.0120051	0.03218956	1.0116794	1	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.064	-2.95461e-13	1.46549e-12	0	27	-794.03449	-794.03449
0.15777092	8.979	25	0	0	0	86751167	1	0	0	0	298.02389	12.723537	-5.53914e-13	3.055334e-13	-1790.667	7.7091023e+08	215645.1	1.0118358	0.031530806	1.0115168	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	298.024	-7.53949e-13	2.94875e-13	0	17	-1488.6096	-1488.6096
0.17776812	8.979	25	0	0	0	86751172	1	0	0	0	297.98456	12.723537	-5.295317e-13	1.065814e-13	-1790.667	7.7091023e+08	75225.023	1.012175	0.031741545	1.0118538	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.988	-5.90637e-13	7.63833e-14	0	17	-1423.0837	-1423.0837
0.19776532	8.979	25	0	0	0	86751176	1	0	0	0	297.9454	12.723537	-7.58427e-13	4.618528e-14	-1790.667	7.7091023e+08	32597.515	1.0119331	0.031243171	1.011617	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.953	-5.30328e-13	7.81597e-14	0	18	-2038.2256	-2038.2256
0.21776252	8.979	25	0	0	0	86751181	1	0	0	0	297.90608	12.723537	-6.378092e-13	4.263256e-14	-1790.667	7.7091023e+08	30090.009	1.0122685	0.031770228	1.0119469	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.913	-6.37809e-13	4.9738e-14	0	29	-1714.0727	-1714.0727
0.23777342	8.979	25	0	0	0	86751186	1	0	0	0	297.87214	12.723537	-6.551255e-13	1.776357e-14	-1790.667	7.7091023e+08	12537.506	1.012088	0.031712657	1.011767	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.872	-6.55125e-13	4.44089e-14	0	22	-1760.6092	-1760.6092
0.25777062	8.979	25	0	0	0	86751191	1	0	0	0	297.83332	12.723537	-5.753107e-13	1.136868e-13	-1790.667	7.7091023e+08	80240.005	1.0119642	0.031431943	1.0116461	1	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.833	-5.38787e-13	1.03029e-13	0	25	-1546.1119	-1546.1119
0.27776782	8.979	25	0	0	0	86751196	1	0	0	0	297.79224	12.723537	-5.792915e-13	1.101341e-13	-1790.667	7.7091023e+08	77732.514	1.011896	0.031876794	1.0115734	0	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.792	-5.49983e-13	1.33819e-13	0	22	-1556.81	-1556.81
