# Scan number: 23
# Command: ascan monoE 8.959 8.999 40 1
# Date: Sun Jul 28 17:44:03 2024
# date: Sun Jul 28 17:44:03 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86751331	1	0	0	0	296.71954	12.751037	1.619579e-11	8.096137e-10	-1790.667	7.7091023e+08	5.6955101e+08	1.0118144	0.032132375	1.0114893	1	0	0	1	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.727	1.61958e-11	8.08614e-10	0	18	43577.138	43577.138
8.96	12.747324	-56.6503	12.6006	0	0	0	86751334	1	0	0	0	296.70451	12.751037	1.649315e-11	8.078302e-10	-1790.667	7.7091023e+08	5.6838954e+08	1.0120352	0.03180917	1.0117133	1	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.705	1.66281e-11	8.08583e-10	0	22	44374.568	44374.568
8.961	12.745879	-56.6566	12.6005	0	0	0	86751336	1	0	0	0	296.68195	12.748537	1.6172e-11	8.094219e-10	-1790.667	7.7091023e+08	5.6960287e+08	1.0119312	0.033361952	1.0115936	5	0	1	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.689	1.5983e-11	8.09958e-10	0	21	43507.913	43507.913
8.962	12.744429	-56.663	12.6004	0	0	0	86751339	1	0	0	0	296.66515	12.748537	1.583443e-11	8.097132e-10	-1790.667	7.7091023e+08	5.6990134e+08	1.0119526	0.031811765	1.0116307	1	0	0	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.665	1.58344e-11	8.08877e-10	0	27	42597.189	42597.189
8.963	12.742984	-56.6693	12.6003	0	0	0	86751342	1	0	0	0	296.64035	12.746037	1.645931e-11	8.104344e-10	-1790.667	7.7091023e+08	5.7050252e+08	1.0117882	0.032196463	1.0114624	2	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.645	1.61587e-11	8.0891e-10	0	23	44275.568	44275.568
8.964	12.741539	-56.6756	12.6002	0	0	0	86751344	1	0	0	0	296.62689	12.746037	1.607494e-11	8.098446e-10	-1790.667	7.7091023e+08	5.7018087e+08	1.0120531	0.0302909	1.0117466	2	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.627	1.60749e-11	8.10799e-10	0	18	43239.026	43239.026
8.965	12.740094	-56.6819	12.6001	0	0	0	86751347	1	0	0	0	296.60275	12.743537	1.638046e-11	8.091838e-10	-1790.667	7.7091023e+08	5.6980912e+08	1.0120739	0.033167538	1.0117382	4	0	0	0	0	0	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.603	1.65479e-11	8.09576e-10	0	26	44058.192	44058.192
8.966	12.738649	-56.6883	12.6	0	0	0	86751349	1	0	0	0	296.5795	12.743537	1.63279e-11	8.106973e-10	-1790.667	7.7091023e+08	5.7096859e+08	1.0119165	0.032160757	1.011591	1	0	0	0	0	0	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.588	1.63279e-11	8.10025e-10	0	17	43914.198	43914.198
8.967	12.737204	-56.6946	12.5999	0	0	0	86751352	1	0	0	0	296.56362	12.741037	1.627753e-11	8.094752e-10	-1790.667	7.7091023e+08	5.7020146e+08	1.0122346	0.032403557	1.0119066	2	0	0	1	0	0	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.564	1.62879e-11	8.09621e-10	0	18	43776.112	43776.112
8.968	12.735759	-56.7009	12.5998	0	0	0	86751354	1	0	0	0	296.54088	12.741037	1.616275e-11	8.083241e-10	-1790.667	7.7091023e+08	5.6948409e+08	1.0120864	0.03212374	1.0117613	1	0	0	0	0	0	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.547	1.61627e-11	8.08834e-10	0	19	43464.833	43464.833
