# Scan number: 32
# Command: ascan mz -1.1 1.9 20 1
# Date: Sun Jul 28 18:03:45 2024
# date: Sun Jul 28 18:03:45 2024
mz	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.1	0	0	0	86752539	1	0	0	0	297.31401	12.723537	1.14554e-07	1.238673e-09	-1790.667	7.7091023e+08	8.742539e+08	1.0066403	19.722286	0.80810784	8023	400	445	1104	419	422	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.375	1.15169e-07	1.24136e-09	0	6	3.0785678e+08	3.0785678e+08
0.25	0	0	0	86752541	1	0	0	0	297.29761	12.723537	8.435028e-08	1.244965e-09	-1790.667	7.7091023e+08	8.7869478e+08	1.0118624	20.283928	0.80661696	8390	402	499	1263	403	393	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.298	8.43503e-08	1.24017e-09	0	23	2.2668616e+08	2.2668616e+08
0.4	0	0	0	86752544	1	0	0	0	297.27613	12.723537	6.273829e-08	1.241174e-09	-1790.667	7.7091023e+08	8.760191e+08	1.0122848	21.547074	0.79416704	8928	539	607	1441	546	537	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.281	8.74453e-08	1.24209e-09	0	18	1.6860527e+08	1.6860527e+08
0.55	0	0	0	86752546	1	0	0	0	297.26139	12.723537	1.559096e-07	1.246571e-09	-1790.667	7.7091023e+08	8.798283e+08	1.0119587	16.084008	0.8491952	5886	138	214	502	189	213	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.261	1.5591e-07	1.24127e-09	0	13	4.189974e+08	4.189974e+08
0.7	0	0	0	86752549	1	0	0	0	297.23549	12.723537	8.32423e-08	1.241304e-09	-1790.667	7.7091023e+08	8.7611086e+08	1.0122854	20.601177	0.80374272	8332	319	488	1507	419	422	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.235	8.62256e-08	1.24245e-09	0	24	2.2370853e+08	2.2370853e+08
0.85	0	0	0	86752551	1	0	0	0	297.21309	12.723537	8.85765e-08	1.242553e-09	-1790.667	7.7091023e+08	8.769924e+08	1.0120771	24.362697	0.76550784	9454	642	392	1888	500	519	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.221	8.62256e-08	1.24321e-09	0	26	2.3804386e+08	2.3804386e+08
1	0	0	0	86752554	1	0	0	0	297.19707	12.723537	7.62829e-07	1.240673e-09	-1790.667	7.7091023e+08	8.756655e+08	1.0122461	8.4368418	0.92684448	1743	2	4	31	25	39	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.197	7.62829e-07	1.24101e-09	0	24	2.0500557e+09	2.0500557e+09
1.15	0	0	0	86752556	1	0	0	0	297.17418	12.723537	8.876929e-07	1.242912e-09	-1790.667	7.7091023e+08	8.7724578e+08	1.0117917	4.2977068	0.96830784	672	0	4	13	6	13	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.182	8.86943e-07	1.24289e-09	0	19	2.3856197e+09	2.3856197e+09
1.3	0	0	0	86752559	1	0	0	0	297.15736	12.723537	8.881354e-07	1.24175e-09	-1790.667	7.7091023e+08	8.7642564e+08	1.0118422	5.4052379	0.95714976	731	0	2	18	13	16	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.157	8.88135e-07	1.24232e-09	0	25	2.3868089e+09	2.3868089e+09
1.45	0	0	0	86752561	1	0	0	0	297.13658	12.723537	8.89444e-07	1.247308e-09	-1790.667	7.7091023e+08	8.8034847e+08	1.0117885	4.8217193	0.96300288	749	0	3	14	9	15	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.144	8.89926e-07	1.24463e-09	0	21	2.3903257e+09	2.3903257e+09
1.6	0	0	0	86752564	1	0	0	0	297.1217	12.723537	8.898984e-07	1.246194e-09	-1790.667	7.7091023e+08	8.7956221e+08	1.0121642	5.8726916	0.95272288	753	1	2	21	8	15	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.122	8.89898e-07	1.24469e-09	0	23	2.3915469e+09	2.3915469e+09
1.75	0	0	0	86752566	1	0	0	0	297.09771	12.723537	8.896133e-07	1.244409e-09	-1790.667	7.7091023e+08	8.7830236e+08	1.0120851	6.5720322	0.94557056	805	0	0	15	10	14	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.107	8.87998e-07	1.24466e-09	0	29	2.3907807e+09	2.3907807e+09
1.9	0	0	0	86752569	1	0	0	0	297.08161	12.723537	8.889539e-07	1.247502e-09	-1790.667	7.7091023e+08	8.804854e+08	1.0121315	5.318297	0.95830336	835	0	2	22	10	17	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.082	8.89664e-07	1.24819e-09	0	25	2.3890086e+09	2.3890086e+09
