# Scan number: 34
# Command: ascan monoE 8.959 8.999 40 1
# Date: Sun Jul 28 18:09:25 2024
# date: Sun Jul 28 18:09:25 2024
# C Sun Jul 28 18: 13:18 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86752853	1	0	0	0	296.61035	12.751037	4.427595e-08	8.592806e-10	-1790.667	7.7091023e+08	6.0449092e+08	1.0117939	13.874319	0.8714144	5699	439	425	274	377	397	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.61	2.21332e-08	8.61675e-10	0	20	1.1913091e+08	1.1913091e+08
8.96	12.747324	-56.6503	12.6006	0	0	0	86752856	1	0	0	0	296.58486	12.751037	4.433557e-08	8.627126e-10	-1790.667	7.7091023e+08	6.0700481e+08	1.0122138	13.89923	0.87152384	5583	403	433	298	353	398	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.585	4.43356e-08	8.6504e-10	0	29	1.1928417e+08	1.1928417e+08
8.961	12.745879	-56.6566	12.6005	0	0	0	86752859	1	0	0	0	296.56314	12.748537	4.424908e-08	8.635617e-10	-1790.667	7.7091023e+08	6.077019e+08	1.0121795	14.285023	0.86758944	5731	427	461	290	342	371	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.569	4.43146e-08	8.61592e-10	0	22	1.1904434e+08	1.1904434e+08
8.962	12.744429	-56.663	12.6004	0	0	0	86752861	1	0	0	0	296.54848	12.748537	4.426049e-08	8.62908e-10	-1790.667	7.7091023e+08	6.0734149e+08	1.0122742	13.647401	0.87412512	5811	426	466	307	440	405	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.548	4.41299e-08	8.63865e-10	0	20	1.1906791e+08	1.1906791e+08
8.963	12.742984	-56.6693	12.6003	0	0	0	86752864	1	0	0	0	296.52655	12.746037	4.401437e-08	8.621761e-10	-1790.667	7.7091023e+08	6.0692591e+08	1.0121254	14.059886	0.86982176	5738	396	442	303	379	400	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.53	4.40144e-08	8.63176e-10	0	20	1.1839872e+08	1.1839872e+08
8.964	12.741539	-56.6756	12.6002	0	0	0	86752866	1	0	0	0	296.51063	12.746037	4.40884e-08	8.612489e-10	-1790.667	7.7091023e+08	6.0637269e+08	1.0118368	13.311459	0.87714656	5573	385	434	343	401	396	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.511	4.41557e-08	8.62032e-10	0	22	1.1859077e+08	1.1859077e+08
8.965	12.740094	-56.6819	12.6001	0	0	0	86752869	1	0	0	0	296.48641	12.743537	4.407486e-08	8.628085e-10	-1790.667	7.7091023e+08	6.0757044e+08	1.0120611	15.075042	0.85949248	5752	414	471	346	379	389	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.49	4.40749e-08	8.61968e-10	0	38	1.1854726e+08	1.1854726e+08
8.966	12.738649	-56.6883	12.6	0	0	0	86752871	1	0	0	0	296.46257	12.743537	4.436937e-08	8.601475e-10	-1790.667	7.7091023e+08	6.0579603e+08	1.0121776	14.532438	0.86508352	5754	377	443	380	404	410	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.472	4.43448e-08	8.60817e-10	0	24	1.1933227e+08	1.1933227e+08
8.967	12.737204	-56.6946	12.5999	0	0	0	86752874	1	0	0	0	296.44861	12.741037	4.448334e-08	8.62709e-10	-1790.667	7.7091023e+08	6.0769981e+08	1.0119997	14.86176	0.86159872	5765	412	455	345	372	377	1	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.449	4.44833e-08	8.61816e-10	0	21	1.1963164e+08	1.1963164e+08
8.968	12.735759	-56.7009	12.5998	0	0	0	86752876	1	0	0	0	296.42379	12.741037	4.464228e-08	8.595258e-10	-1790.667	7.7091023e+08	6.0555694e+08	1.0122102	14.650142	0.86392	5669	366	456	387	384	375	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.431	4.44986e-08	8.59577e-10	0	31	1.2005192e+08	1.2005192e+08
8.969	12.734319	-56.7072	12.5997	0	0	0	86752879	1	0	0	0	296.4072	12.738537	4.46871e-08	8.620518e-10	-1790.667	7.7091023e+08	6.0743629e+08	1.0118189	14.11772	0.86897312	5819	436	503	406	373	377	0	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	296.407	4.46871e-08	8.59727e-10	0	35	1.2016529e+08	1.2016529e+08
8.97	12.732874	-56.7135	12.5996	0	0	0	86752881	1	0	0	0	296.73478	12.736037	4.451957e-08	8.598384e-10	-1790.667	7.7091023e+08	6.0597613e+08	1.0120246	13.933163	0.8710176	5789	397	406	428	360	365	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.742	4.44746e-08	8.60105e-10	0	25	1.1970765e+08	1.1970765e+08
8.971	12.731429	-56.7199	12.5995	0	0	0	86752884	1	0	0	0	296.7206	12.736037	4.442638e-08	8.598455e-10	-1790.667	7.7091023e+08	6.0608066e+08	1.0120339	14.50285	0.86526016	5849	374	462	476	374	397	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.721	4.44264e-08	8.6076e-10	0	21	1.1944996e+08	1.1944996e+08
8.972	12.729989	-56.7262	12.5994	0	0	0	86752887	1	0	0	0	296.69696	12.733537	4.426183e-08	8.599947e-10	-1790.667	7.7091023e+08	6.0628539e+08	1.012207	14.732543	0.8630832	5813	361	456	461	338	375	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.704	4.42618e-08	8.59021e-10	0	23	1.1900044e+08	1.1900044e+08
8.973	12.728544	-56.7325	12.5993	0	0	0	86752889	1	0	0	0	296.68122	12.733537	4.430152e-08	8.571952e-10	-1790.667	7.7091023e+08	6.0441106e+08	1.0120061	14.701256	0.86322848	5923	390	427	524	397	389	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.681	4.41833e-08	8.58499e-10	0	24	1.1910006e+08	1.1910006e+08
8.974	12.727104	-56.7388	12.5992	0	0	0	86752892	1	0	0	0	296.65658	12.731037	4.416681e-08	8.590675e-10	-1790.667	7.7091023e+08	6.0583074e+08	1.0119718	15.129749	0.85886304	5945	382	454	580	357	373	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.661	4.41668e-08	8.58199e-10	0	21	1.1873084e+08	1.1873084e+08
8.975	12.725659	-56.7452	12.5992	0	0	0	86752894	1	0	0	0	296.63494	12.731037	4.391672e-08	8.565273e-10	-1790.667	7.7091023e+08	6.041386e+08	1.0120755	15.268078	0.85755104	5902	367	466	609	354	355	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.642	4.39995e-08	8.549e-10	0	26	1.1805151e+08	1.1805151e+08
8.976	12.724219	-56.7515	12.5991	0	0	0	86752897	1	0	0	0	296.6192	12.728537	4.369229e-08	8.535253e-10	-1790.667	7.7091023e+08	6.0212013e+08	1.0120074	15.668345	0.85344256	6065	361	448	668	366	372	0	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	296.619	4.36923e-08	8.52644e-10	0	26	1.1744125e+08	1.1744125e+08
8.977	12.722779	-56.7578	12.599	0	0	0	86752900	1	0	0	0	296.5948	12.726037	4.357547e-08	8.528644e-10	-1790.667	7.7091023e+08	6.0175279e+08	1.012225	15.62723	0.85404224	6176	412	451	760	405	397	0	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	296.602	4.35755e-08	8.50113e-10	0	23	1.1712028e+08	1.1712028e+08
