# Scan number: 35
# Command: eigerloopscan 30 10 0
# Date: Sun Jul 28 18:21:38 2024;
# date: Sun Jul 28 18:21:38 2024;
# U You have following Eiger Directory and BaseFilename: 
# U Following are the MOTOR POSITION: 
# C Sun Jul 28 18: 27:12 2024.  do /home/ivo/share/spec.d/myspot_macros/UTIL_start.mac.
Time	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1	eiger_ctime	eiger_data_filename	eiger_data_file_Nr	first_image_Nr
6.91414e-06	86753591	10	0	0	0	296.83929	6.3120137	-6.776164e-13	1.873346e-10	-1790.667	7.7091023e+08	5.9013721e+08	10.012104	31.662275	6.8420438	114188	940	1336	64482	1510	1928	2	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.873	-5.68692e-13	1.87471e-10	0	247	-2634.7155	-2634.7155	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	0	1
10.7353	86753602	10	0	0	0	296.75428	6.3120137	-4.662368e-13	1.866596e-10	-1790.667	7.7091023e+08	5.8801084e+08	10.012266	31.405863	6.8678272	114368	1001	1362	64382	1573	1952	2	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.793	-5.25491e-13	1.86733e-10	0	223	-1812.827	-1812.827	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	1	2
21.4352	86753612	10	0	0	0	296.67111	6.3120137	-5.571978e-13	1.859846e-10	-1790.667	7.7091023e+08	5.8588447e+08	10.012082	31.589431	6.8493222	114587	1017	1307	64712	1518	1822	2	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.713	-5.51883e-13	1.8645e-10	0	198	-2166.5025	-2166.5025	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	2	3
32.1497	86753625	10	0	0	0	296.56725	6.3120137	-5.645621e-13	1.851284e-10	-1790.667	7.7091023e+08	5.8318729e+08	10.012139	31.129883	6.8953715	114058	979	1297	64522	1488	1868	2	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.625	-5.89243e-13	1.85917e-10	0	220	-2195.1365	-2195.1365	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	3	4
45.0842	86753636	10	0	0	0	296.48937	6.3120137	-6.318373e-13	1.854374e-10	-1790.667	7.7091023e+08	5.8416069e+08	10.011775	31.342614	6.873823	113602	967	1334	64209	1530	1985	3	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.524	-6.05239e-13	1.85153e-10	0	198	-2456.7167	-2456.7167	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	4	5
55.5927	86753646	10	0	0	0	298.06684	6.3120137	-5.861579e-13	1.859561e-10	-1790.667	7.7091023e+08	5.8579469e+08	10.012006	31.583787	6.8498352	113070	1018	1293	63889	1499	1877	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.444	-5.50281e-13	1.84947e-10	0	200	-2279.1055	-2279.1055	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	5	6
66.3324	86753657	10	0	0	0	297.98278	6.3120137	-5.791915e-13	1.847305e-10	-1790.667	7.7091023e+08	5.8193383e+08	10.011837	31.435959	6.8645203	113409	968	1337	64258	1537	1923	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.025	-5.75957e-13	1.85456e-10	0	233	-2252.0187	-2252.0187	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	6	7
77.0351	86753668	10	0	0	0	297.90295	6.3120137	-6.564188e-13	1.85171e-10	-1790.667	7.7091023e+08	5.8332149e+08	10.012277	31.239967	6.8844448	113328	969	1298	63861	1588	1967	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.939	-5.82764e-13	1.85029e-10	0	220	-2552.2947	-2552.2947	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	7	8
87.7504	86753686	10	0	0	0	297.76419	6.3120137	-4.888279e-13	1.822791e-10	-1790.667	7.7091023e+08	5.7421149e+08	10.011979	30.763368	6.9319568	112995	1034	1300	63588	1489	1915	1	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.857	-6.07992e-13	1.83891e-10	0	210	-1900.666	-1900.666	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	8	9
105.502	86753696	10	0	0	0	297.68054	6.3120137	-4.192635e-13	1.818385e-10	-1790.667	7.7091023e+08	5.7282352e+08	10.012115	31.205218	6.8878128	111992	917	1298	63181	1514	1927	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.722	-5.94517e-13	1.82692e-10	0	212	-1630.1849	-1630.1849	10	2024-07-28_001_S6-Cu-6Sm_Activation_ramp_000035	9	10
