# Scan number: 9
# Command: ascan kox -2 2 40 1
# Date: Sun Jul 28 16:56:17 2024
# date: Sun Jul 28 16:56:17 2024
kox	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0	0	0	0	86748517	1	0	0	0	296.56717	12.623537	4.047142e-12	8.479368e-10	-1790.667	7.7091023e+08	6.0553206e+08	1.0118266	3.4878389	0.97653568	28	0	1	20	0	1	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.567	4.04714e-12	8.48471e-10	0	19	10831.556	10831.556
0.099999997	0	0	0	86748519	1	0	0	0	296.5523	12.623537	4.851711e-12	8.478196e-10	-1790.667	7.7091023e+08	6.0544837e+08	1.012223	0.040623458	1.0118118	21	0	0	16	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.552	4.85171e-12	8.48167e-10	0	17	12984.861	12984.861
0.19999999	0	0	0	86748521	1	0	0	0	296.52716	12.623537	6.191065e-12	8.464021e-10	-1790.667	7.7091023e+08	6.044361e+08	1.0120989	0.03752993	1.011719	17	0	0	13	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.536	6.19107e-12	8.48075e-10	0	12	16569.437	16569.437
0.29999999	0	0	0	86748524	1	0	0	0	296.51405	12.623537	7.761975e-12	8.454286e-10	-1790.667	7.7091023e+08	6.037409e+08	1.0118074	6.2838839	0.94822656	15	0	0	13	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.522	7.96028e-12	8.48424e-10	0	30	20773.737	20773.737
0.39999999	0	0	0	86748526	1	0	0	0	296.49733	12.623537	1.279606e-11	8.461782e-10	-1790.667	7.7091023e+08	6.0427621e+08	1.0121066	0.033419406	1.0117683	11	0	0	9	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.497	1.10147e-11	8.47201e-10	0	16	34246.695	34246.695
0.49999999	0	0	0	86748528	1	0	0	0	296.48356	12.623537	1.714762e-11	8.48015e-10	-1790.667	7.7091023e+08	6.0558791e+08	1.012064	7.1774749	0.93942336	13	0	0	11	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.484	1.71476e-11	8.46693e-10	0	24	45892.979	45892.979
0.59999998	0	0	0	86748530	1	0	0	0	298.21005	12.623537	2.374146e-11	8.517809e-10	-1790.667	7.7091023e+08	6.0827723e+08	1.0118643	8.3662758	0.92720896	11	0	1	8	1	1	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	296.469	2.37415e-11	8.4958e-10	0	27	63540.382	63540.382
0.69999998	0	0	0	86748533	1	0	0	0	298.19399	12.623537	2.918191e-11	8.510277e-10	-1790.667	7.7091023e+08	6.0773935e+08	1.0118656	0.033016242	1.0115315	10	0	0	9	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.194	2.96333e-11	8.51871e-10	0	15	78100.913	78100.913
0.79999998	0	0	0	86748535	1	0	0	0	298.17939	12.623537	3.171408e-11	8.527437e-10	-1790.667	7.7091023e+08	6.0896479e+08	1.012088	0.032914134	1.0117549	3	0	0	3	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.179	3.03666e-11	8.52541e-10	0	12	84877.878	84877.878
0.89999998	0	0	0	86748537	1	0	0	0	298.1633	12.623537	3.12216e-11	8.530492e-10	-1790.667	7.7091023e+08	6.0918295e+08	1.012249	8.3667322	0.9275568	11	0	0	7	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.163	3.12216e-11	8.52471e-10	0	22	83559.831	83559.831
0.99999997	0	0	0	86748539	1	0	0	0	298.14112	12.623537	2.716291e-11	8.516601e-10	-1790.667	7.7091023e+08	6.0819096e+08	1.0120307	0.035603662	1.0116704	12	0	0	10	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.149	2.67253e-11	8.52887e-10	0	18	72697.369	72697.369
1.1	0	0	0	86748542	1	0	0	0	298.12607	12.623537	2.38872e-11	8.520011e-10	-1790.667	7.7091023e+08	6.0843448e+08	1.0118336	0.034788329	1.0114816	9	0	0	8	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.13	2.41663e-11	8.51729e-10	0	16	63930.433	63930.433
1.2	0	0	0	86748544	1	0	0	0	298.10979	12.623537	1.825621e-11	8.520509e-10	-1790.667	7.7091023e+08	6.0847004e+08	1.0121264	0.033418751	1.0117882	12	0	0	9	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.11	1.82562e-11	8.51625e-10	0	14	48859.95	48859.95
1.3	0	0	0	86748546	1	0	0	0	298.09461	12.623537	1.307261e-11	8.528396e-10	-1790.667	7.7091023e+08	6.0903327e+08	1.0118787	0.035640635	1.0115181	11	0	0	6	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.095	1.30726e-11	8.50921e-10	0	16	34986.839	34986.839
1.4	0	0	0	86748557	1	0	0	0	298.0098	12.623537	1.01273e-11	8.520757e-10	-1790.667	7.7091023e+08	6.0848775e+08	1.0120272	9.1228536	0.91970144	10	0	0	6	2	2	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	298.079	9.89485e-12	8.51648e-10	0	22	27104.168	27104.168
1.5	0	0	0	86748559	1	0	0	0	297.99336	12.623537	1.209731e-11	8.523919e-10	-1790.667	7.7091023e+08	6.0871356e+08	1.0119536	0.037472074	1.0115744	17	0	0	12	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	297.993	1.20973e-11	8.51793e-10	0	13	32376.598	32376.598
1.6	0	0	0	86748561	1	0	0	0	297.9709	12.623537	1.573161e-11	8.521894e-10	-1790.667	7.7091023e+08	6.0856895e+08	1.0118298	0.036812517	1.0114573	16	0	0	11	1	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	297.978	1.57316e-11	8.51523e-10	0	16	42103.245	42103.245
1.7	0	0	0	86748564	1	0	0	0	297.95555	12.623537	1.851236e-11	8.517347e-10	-1790.667	7.7091023e+08	6.0824424e+08	1.0120019	0.033580964	1.0116621	5	0	0	4	0	0	0	0	0	16.997457	0	9.0464152	0	0	0	0	0	0	297.846	-5.22782e-13	297.963	1.85687e-11	8.51378e-10	0	19	49545.497	49545.497
