# Scan number: 2
# Command: ascan mz -0.3 1.1 30 1
# Date: Sun Jul 28 18:31:17 2024
# date: Sun Jul 28 18:31:17 2024
mz	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.026625	0	0	0	86754177	1	0	0	0	298.15789	6.3120137	7.419901e-12	1.900133e-10	-1790.667	7.7091023e+08	5.9857559e+08	1.012096	17.623625	0.833728	4513	24	34	1455	48	79	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.161	7.4199e-12	1.8974e-10	0	28	28850.14	28850.14
0.073375	0	0	0	86754179	1	0	0	0	298.14468	6.3120137	7.796202e-12	1.907807e-10	-1790.667	7.7091023e+08	6.0099304e+08	1.0120806	19.498652	0.81473856	5742	59	54	2148	82	115	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.148	7.7962e-12	1.90221e-10	0	14	30313.277	30313.277
0.12	0	0	0	86754181	1	0	0	0	298.1282	6.3120137	7.46231e-12	1.910436e-10	-1790.667	7.7091023e+08	6.0182122e+08	1.0122742	26.55821	0.74343232	8261	66	95	4213	116	135	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.131	7.19591e-12	1.89434e-10	0	30	29015.035	29015.035
0.166625	0	0	0	86754183	1	0	0	0	298.11034	6.3120137	6.727527e-12	1.906884e-10	-1790.667	7.7091023e+08	6.0070227e+08	1.0118624	27.456793	0.73403744	8607	75	78	4530	131	148	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.11	6.58706e-12	1.89759e-10	0	19	26158.044	26158.044
0.213375	0	0	0	86754185	1	0	0	0	298.09666	6.3120137	7.426571e-12	1.908802e-10	-1790.667	7.7091023e+08	6.0130648e+08	1.0118144	23.999722	0.76898176	7392	63	107	3291	87	109	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.097	7.40676e-12	1.90203e-10	0	24	28876.074	28876.074
0.26	0	0	0	86754187	1	0	0	0	298.08292	6.3120137	7.809146e-12	1.907807e-10	-1790.667	7.7091023e+08	6.0099304e+08	1.0121741	30.413804	0.70433344	9624	62	124	4972	110	138	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.083	8.07146e-12	1.90052e-10	0	23	30363.606	30363.606
0.306625	0	0	0	86754189	1	0	0	0	298.06751	6.3120137	8.139851e-12	1.893703e-10	-1790.667	7.7091023e+08	5.9655003e+08	1.0122678	35.833236	0.64953952	11595	76	124	6622	146	174	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.068	8.46269e-12	1.89812e-10	0	22	31649.457	31649.457
0.353375	0	0	0	86754191	1	0	0	0	298.0506	6.3120137	7.251364e-12	1.906031e-10	-1790.667	7.7091023e+08	6.0043356e+08	1.012239	36.070911	0.6471152	11664	74	131	6954	126	174	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.051	7.8181e-12	1.90454e-10	0	18	28194.832	28194.832
0.4	0	0	0	86754193	1	0	0	0	298.03388	6.3120137	8.431733e-12	1.910863e-10	-1790.667	7.7091023e+08	6.0195573e+08	1.0119203	34.720963	0.66057184	11145	85	126	6224	155	193	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.034	7.65902e-12	1.90751e-10	0	20	32784.356	32784.356
0.446625	0	0	0	86754195	1	0	0	0	298.01969	6.3120137	8.486388e-12	1.896083e-10	-1790.667	7.7091023e+08	5.9729977e+08	1.0121062	34.715692	0.66074656	11226	84	118	6256	147	178	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.02	8.2407e-12	1.9044e-10	0	28	32996.866	32996.866
