# Scan number: 4
# Command: ascan monoE 8.959 8.999 40 1
# Date: Sun Jul 28 18:40:07 2024
# date: Sun Jul 28 18:40:07 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.6439	12.6007	0	0	0	86754694	1	0	0	0	296.99067	12.751037	8.764166e-10	8.817054e-10	-1790.667	7.7091023e+08	6.2026643e+08	1.0120189	14.341772	0.86687744	5821	399	470	320	368	348	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.997	7.15556e-07	8.80338e-10	0	28	2358126.8	2358126.8
8.96	12.747324	-56.6502	12.6006	0	0	0	86754697	1	0	0	0	296.97621	12.751037	5.352405e-08	8.782877e-10	-1790.667	7.7091023e+08	6.1796346e+08	1.0120416	13.97767	0.87058176	5589	368	428	284	384	377	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.976	5.35221e-08	8.78282e-10	0	35	1.4400564e+08	1.4400564e+08
8.961	12.745879	-56.6565	12.6005	0	0	0	86754700	1	0	0	0	296.95102	12.748537	5.333936e-08	8.788703e-10	-1790.667	7.7091023e+08	6.184748e+08	1.0121725	14.322555	0.86720352	5663	354	421	316	383	379	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.959	5.33394e-08	8.78702e-10	0	26	1.4350014e+08	1.4350014e+08
8.962	12.744429	-56.6629	12.6004	0	0	0	86754703	1	0	0	0	296.92911	12.748537	5.314678e-08	8.76895e-10	-1790.667	7.7091023e+08	6.1718598e+08	1.011896	13.435594	0.87594176	5233	382	407	286	343	327	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.935	5.3086e-08	8.76819e-10	0	33	1.4297347e+08	1.4297347e+08
8.963	12.742984	-56.6692	12.6003	0	0	0	86754705	1	0	0	0	296.90614	12.746037	5.295811e-08	8.765895e-10	-1790.667	7.7091023e+08	6.1707218e+08	1.0119731	13.683367	0.87350112	5610	381	447	313	375	350	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.913	5.29581e-08	8.75977e-10	0	28	1.4245739e+08	1.4245739e+08
8.964	12.741539	-56.6755	12.6002	0	0	0	86754708	1	0	0	0	296.88805	12.746037	5.309867e-08	8.760104e-10	-1790.667	7.7091023e+08	6.167657e+08	1.0122858	14.181102	0.86873248	5806	374	467	308	339	362	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.888	5.30521e-08	8.76328e-10	0	22	1.4282696e+08	1.4282696e+08
8.965	12.740094	-56.6818	12.6001	0	0	0	86754710	1	0	0	0	296.86568	12.743537	5.309725e-08	8.764864e-10	-1790.667	7.7091023e+08	6.1720211e+08	1.0119011	13.961333	0.87062624	5649	346	455	305	404	403	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.872	5.30973e-08	8.76065e-10	0	22	1.428146e+08	1.428146e+08
8.966	12.738649	-56.6881	12.6	0	0	0	86754713	1	0	0	0	296.84874	12.743537	5.346605e-08	8.770371e-10	-1790.667	7.7091023e+08	6.1769126e+08	1.0117853	14.472636	0.86535328	5748	410	434	378	355	364	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.849	5.34437e-08	8.76349e-10	0	28	1.4379796e+08	1.4379796e+08
8.967	12.737204	-56.6945	12.5999	0	0	0	86754715	1	0	0	0	296.82603	12.741037	5.35632e-08	8.764545e-10	-1790.667	7.7091023e+08	6.1738227e+08	1.0122147	13.895929	0.87155808	5778	396	488	366	365	393	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.833	5.35632e-08	8.75568e-10	0	23	1.4405064e+08	1.4405064e+08
8.968	12.735759	-56.7008	12.5998	0	0	0	86754718	1	0	0	0	296.80932	12.741037	5.353908e-08	8.752501e-10	-1790.667	7.7091023e+08	6.1663509e+08	1.0119075	15.366875	0.85640896	5620	374	430	378	363	336	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.809	5.35448e-08	8.75409e-10	0	24	1.4397718e+08	1.4397718e+08
8.969	12.734319	-56.7071	12.5997	0	0	0	86754720	1	0	0	0	296.78469	12.738537	5.366753e-08	8.770336e-10	-1790.667	7.7091023e+08	6.1799306e+08	1.0120349	14.186958	0.86845792	5868	371	441	399	356	358	0	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	296.794	5.36675e-08	8.75669e-10	0	18	1.44314e+08	1.44314e+08
8.97	12.732874	-56.7134	12.5996	0	0	0	86754723	1	0	0	0	296.77045	12.736037	5.351037e-08	8.742056e-10	-1790.667	7.7091023e+08	6.161015e+08	1.012009	14.075132	0.86956736	5730	384	442	430	384	374	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.77	5.34824e-08	8.76165e-10	0	28	1.4388281e+08	1.4388281e+08
8.971	12.731429	-56.7198	12.5995	0	0	0	86754725	1	0	0	0	296.74782	12.736037	5.338278e-08	8.750263e-10	-1790.667	7.7091023e+08	6.1678117e+08	1.0119267	15.117142	0.85895232	5757	343	459	407	355	377	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.756	5.33828e-08	8.74452e-10	0	30	1.4353118e+08	1.4353118e+08
8.972	12.729989	-56.7261	12.5994	0	0	0	86754728	1	0	0	0	296.73281	12.733537	5.358716e-08	8.744721e-10	-1790.667	7.7091023e+08	6.1649178e+08	1.0122368	14.88594	0.86155584	5729	357	433	502	362	363	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.733	5.35353e-08	8.74697e-10	0	22	1.4407212e+08	1.4407212e+08
8.973	12.728544	-56.7324	12.5993	0	0	0	86754730	1	0	0	0	296.71152	12.733537	5.338253e-08	8.736194e-10	-1790.667	7.7091023e+08	6.1599181e+08	1.0122035	14.267392	0.86778848	5891	343	438	536	357	374	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.717	5.33825e-08	8.74493e-10	0	27	1.4351341e+08	1.4351341e+08
8.974	12.727104	-56.7387	12.5992	0	0	0	86754733	1	0	0	0	296.69221	12.731037	5.335924e-08	8.714736e-10	-1790.667	7.7091023e+08	6.1457976e+08	1.0121197	14.42416	0.86612992	5851	338	402	547	355	371	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.692	5.32998e-08	8.72372e-10	0	25	1.4344226e+08	1.4344226e+08
8.975	12.725659	-56.745	12.5991	0	0	0	86754735	1	0	0	0	296.67024	12.730695	5.319671e-08	8.709868e-10	-1790.667	7.7091023e+08	6.1433739e+08	1.0118608	15.279319	0.85725536	5922	350	422	551	371	372	0	0	0	16.997457	0	8.9715102	0	0	0	0	0	0	297.846	-5.22782e-13	296.677	5.31967e-08	8.71114e-10	0	26	1.4299684e+08	1.4299684e+08
8.976	12.724219	-56.7514	12.599	0	0	0	86754738	1	0	0	0	296.65611	12.728537	5.297363e-08	8.693348e-10	-1790.667	7.7091023e+08	6.1327295e+08	1.0120371	15.704404	0.85310272	6043	341	429	669	370	364	0	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	296.656	5.30116e-08	8.69736e-10	0	14	1.4238872e+08	1.4238872e+08
8.977	12.722779	-56.7577	12.5989	0	0	0	86754741	1	0	0	0	296.62859	12.726037	5.279435e-08	8.67999e-10	-1790.667	7.7091023e+08	6.1243126e+08	1.0121126	15.489375	0.85534272	6100	387	431	746	320	348	0	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	296.633	5.27944e-08	8.6837e-10	0	26	1.418984e+08	1.418984e+08
8.978	12.721339	-56.764	12.5988	0	0	0	86754743	1	0	0	0	296.61299	12.726037	5.252264e-08	8.6375e-10	-1790.667	7.7091023e+08	6.0953349e+08	1.0120045	15.13704	0.85881696	6088	385	388	777	361	367	0	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	296.613	5.25226e-08	8.64189e-10	0	23	1.4115972e+08	1.4115972e+08
8.979	12.719899	-56.7703	12.5987	0	0	0	86754746	1	0	0	0	296.59254	12.723537	5.184532e-08	8.583498e-10	-1790.667	7.7091023e+08	6.0582225e+08	1.0118314	15.857631	0.85137888	6328	382	437	993	366	368	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.593	5.18854e-08	8.58432e-10	0	25	1.3933109e+08	1.3933109e+08
8.98	12.718459	-56.7767	12.5986	0	0	0	86754748	1	0	0	0	296.56892	12.723537	5.053297e-08	8.495569e-10	-1790.667	7.7091023e+08	5.9971482e+08	1.0122096	16.919626	0.84094752	6479	338	425	1339	351	369	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.575	5.0533e-08	8.48162e-10	0	29	1.3579617e+08	1.3579617e+08
8.981	12.717019	-56.783	12.5985	0	0	0	86754751	1	0	0	0	296.55288	12.721037	4.826094e-08	8.295054e-10	-1790.667	7.7091023e+08	5.8565647e+08	1.0121546	17.072934	0.83935008	6881	323	382	1671	334	338	0	0	0	16.997457	0	8.9782092	0	0	0	0	0	0	297.846	-5.22782e-13	296.553	4.86804e-08	8.29053e-10	0	38	1.296829e+08	1.296829e+08
8.982	12.715579	-56.7893	12.5984	0	0	0	86754753	1	0	0	0	296.5313	12.718537	4.348863e-08	7.873098e-10	-1790.667	7.7091023e+08	5.559565e+08	1.01192	19.25319	0.81709312	7436	283	363	2496	333	338	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.537	4.34886e-08	7.87059e-10	0	20	1.1685221e+08	1.1685221e+08
8.983	12.714139	-56.7956	12.5984	0	0	0	86754756	1	0	0	0	296.51256	12.718537	3.573565e-08	7.076046e-10	-1790.667	7.7091023e+08	4.997551e+08	1.012039	21.206012	0.79742592	8470	293	327	3723	258	292	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.513	3.71775e-08	7.08452e-10	0	26	96014578	96014578
8.984	12.712699	-56.8019	12.5983	0	0	0	86754759	1	0	0	0	296.49163	12.716037	2.737729e-08	6.108607e-10	-1790.667	7.7091023e+08	4.3149942e+08	1.0121184	24.852839	0.76057824	8976	236	243	4772	221	248	0	0	0	16.997457	0	8.9816813	0	0	0	0	0	0	297.846	-5.22782e-13	296.492	2.74857e-08	6.11362e-10	0	33	73552974	73552974
8.985	12.711259	-56.8083	12.5982	0	0	0	86754761	1	0	0	0	296.79655	12.716037	2.131973e-08	5.312515e-10	-1790.667	7.7091023e+08	3.7532686e+08	1.012112	26.770476	0.7411648	9699	182	254	5679	224	252	0	0	0	16.997457	0	8.9816813	0	0	0	0	0	0	297.846	-5.22782e-13	296.804	2.13197e-08	5.31866e-10	0	27	57275090	57275090
8.986	12.709824	-56.8146	12.5981	0	0	0	86754764	1	0	0	0	296.78101	12.713537	1.896706e-08	4.941292e-10	-1790.667	7.7091023e+08	3.4915757e+08	1.0059859	27.527733	0.7290608	9742	173	195	5967	187	240	0	0	0	16.997457	0	8.9834184	0	0	0	0	0	0	297.846	-5.22782e-13	296.781	1.89671e-08	4.94525e-10	0	31	50951669	50951669
8.987	12.708384	-56.8209	12.598	0	0	0	86754766	1	0	0	0	296.75701	12.713537	1.87903e-08	4.927472e-10	-1790.667	7.7091023e+08	3.4823834e+08	1.0117866	27.948535	0.72900704	9866	187	204	6015	213	226	0	0	0	16.997457	0	8.9834184	0	0	0	0	0	0	297.846	-5.22782e-13	296.766	1.8799e-08	4.92451e-10	0	19	50473851	50473851
8.988	12.706949	-56.8272	12.5979	0	0	0	86754769	1	0	0	0	296.74015	12.711037	1.866617e-08	4.919585e-10	-1790.667	7.7091023e+08	3.4773817e+08	1.011865	26.522369	0.7434944	9813	183	222	5943	219	245	0	0	0	16.997457	0	8.9851561	0	0	0	0	0	0	297.846	-5.22782e-13	296.74	1.86662e-08	4.92322e-10	0	29	50137455	50137455
8.989	12.705509	-56.8336	12.5978	0	0	0	86754772	1	0	0	0	296.71843	12.708557	1.778778e-08	4.817977e-10	-1790.667	7.7091023e+08	3.4061213e+08	1.0118669	27.514892	0.7334528	10058	165	209	6127	212	262	1	0	0	16.997457	0	8.986881	0	0	0	0	0	0	297.846	-5.22782e-13	296.725	1.79433e-08	4.81152e-10	0	30	47775272	47775272
8.99	12.704074	-56.8399	12.5977	0	0	0	86754774	1	0	0	0	296.70204	12.708537	1.648392e-08	4.607941e-10	-1790.667	7.7091023e+08	3.2581704e+08	1.0122646	27.373111	0.73517632	10058	160	198	6267	188	211	0	0	0	16.997457	0	8.9868946	0	0	0	0	0	0	297.846	-5.22782e-13	296.702	1.64839e-08	4.6046e-10	0	32	44270690	44270690
8.991	12.702634	-56.8462	12.5976	0	0	0	86754777	1	0	0	0	296.6799	12.706037	1.50375e-08	4.357901e-10	-1790.667	7.7091023e+08	3.0818802e+08	1.0122099	27.451792	0.73434016	9945	160	200	6341	197	199	0	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	296.683	1.53422e-08	4.35843e-10	0	24	40383673	40383673
8.992	12.701199	-56.8525	12.5975	0	0	0	86754779	1	0	0	0	296.66461	12.706037	1.347626e-08	4.112586e-10	-1790.667	7.7091023e+08	2.9088739e+08	1.0119434	27.855852	0.73005792	9894	161	155	6429	192	218	1	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	296.665	1.34763e-08	4.11195e-10	0	23	36188781	36188781
8.993	12.699764	-56.8589	12.5974	0	0	0	86754781	1	0	0	0	296.63958	12.703537	1.179137e-08	3.797886e-10	-1790.667	7.7091023e+08	2.6867259e+08	1.0122573	26.858816	0.74037696	9725	127	169	6369	164	171	0	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	296.646	1.23957e-08	3.80043e-10	0	34	31662357	31662357
8.994	12.698329	-56.8652	12.5973	0	0	0	86754784	1	0	0	0	296.62584	12.703537	1.009687e-08	3.455192e-10	-1790.667	7.7091023e+08	2.4446977e+08	1.0121069	25.977999	0.74918176	9623	127	169	6413	153	162	0	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	296.626	1.00969e-08	3.46008e-10	0	28	27110665	27110665
8.995	12.696894	-56.8715	12.5972	0	0	0	86754787	1	0	0	0	296.6012	12.701037	8.510917e-09	3.117613e-10	-1790.667	7.7091023e+08	2.2062094e+08	1.0122314	25.844779	0.7506224	9185	112	131	6267	157	164	0	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	296.605	8.89802e-09	3.11802e-10	0	18	22850946	22850946
8.996	12.695459	-56.8778	12.5971	0	0	0	86754789	1	0	0	0	296.58544	12.701037	7.280669e-09	2.811831e-10	-1790.667	7.7091023e+08	1.9901476e+08	1.0120704	25.296738	0.7560496	9038	95	116	6232	131	166	0	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	296.585	7.28067e-09	2.81849e-10	0	29	19546706	19546706
8.997	12.694024	-56.8841	12.597	0	0	0	86754792	1	0	0	0	296.56264	12.698537	6.446258e-09	2.595506e-10	-1790.667	7.7091023e+08	1.8373406e+08	1.0120992	23.891698	0.77029152	8856	82	107	6124	129	139	0	0	0	16.997457	0	8.9938553	0	0	0	0	0	0	297.846	-5.22782e-13	296.57	6.61347e-09	2.59131e-10	0	28	17305511	17305511
8.998	12.692589	-56.8905	12.5969	0	0	0	86754794	1	0	0	0	296.54635	12.696037	6.100777e-09	2.47752e-10	-1790.667	7.7091023e+08	1.7541082e+08	1.0120323	24.462586	0.76446304	8542	73	82	5947	120	138	0	0	0	16.997457	0	8.9955972	0	0	0	0	0	0	297.846	-5.22782e-13	296.546	6.10078e-09	2.47224e-10	0	20	16377076	16377076
8.999	12.691154	-56.8968	12.5968	0	0	0	86754797	1	0	0	0	296.52378	12.696037	6.135384e-09	2.463167e-10	-1790.667	7.7091023e+08	1.7442336e+08	1.0122806	24.250129	0.76680128	8608	85	97	6020	126	146	0	0	0	16.997457	0	8.9955972	0	0	0	0	0	0	297.846	-5.22782e-13	296.524	6.13538e-09	2.46368e-10	0	28	16469009	16469009
