# Scan number: 8
# Command: k-scan 3 12 8.979 180 1 10
# Date: Sun Jul 28 18:51:56 2024
# date: Sun Jul 28 18:51:56 2024
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86755427	1	0	0	0	297.96416	12.676037	3.195461e-08	1.245809e-09	-1790.667	7.7091023e+08	8.8427264e+08	1.0120234	62.294783	0.3815856	18802	181	239	12444	287	365	1	0	0	16.997457	0	9.0095574	0	0	0	0	0	0	297.846	-5.22782e-13	298.173	3.17748e-08	1.24531e-09	0	19	85703024	85703024
9.01444	12.669064	25	-58.6672	12.589	86755430	1.0200544	0	0	0	297.94928	12.673537	3.228413e-08	1.244313e-09	-1790.667	7.7091023e+08	8.8337854e+08	1.0282509	65.773396	0.35193536	17375	180	241	11322	290	303	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	297.949	3.21871e-08	1.24422e-09	0	31	86581002	86581002
9.0156	12.667399	25	-58.6672	12.5889	86755433	1.0404384	0	0	0	297.92602	12.671037	3.235045e-08	1.247916e-09	-1790.667	7.7091023e+08	8.8610619e+08	1.0518534	65.07696	0.3673392	17855	182	219	11846	279	296	1	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.93	3.23504e-08	1.24715e-09	0	38	86753002	86753002
9.01678	12.665709	25	-58.6672	12.5888	86755435	1.061152	0	0	0	297.90238	12.671037	3.214745e-08	1.248079e-09	-1790.667	7.7091023e+08	8.8639471e+08	1.0679459	64.122738	0.38314976	18484	206	208	12219	320	340	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.911	3.21475e-08	1.24777e-09	0	30	86202705	86202705
9.01799	12.663989	25	-58.6672	12.5887	86755438	1.0821956	0	0	0	297.88668	12.668537	3.192371e-08	1.246281e-09	-1790.667	7.7091023e+08	8.8529473e+08	1.0918566	64.708246	0.38533536	18850	204	215	12463	321	372	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.887	3.19424e-08	1.24478e-09	0	27	85596727	85596727
9.01921	12.662244	25	-58.6672	12.5887	86755440	1.1035684	0	0	0	297.86209	12.666037	3.175805e-08	1.243411e-09	-1790.667	7.7091023e+08	8.8343411e+08	1.1158125	65.590605	0.38394432	19009	208	233	12373	324	370	2	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.866	3.17581e-08	1.24326e-09	0	38	85146506	85146506
9.02045	12.660474	25	-58.6672	12.5886	86755443	1.1252712	0	0	0	297.84029	12.666037	3.138612e-08	1.241297e-09	-1790.667	7.7091023e+08	8.821129e+08	1.1318102	65.598982	0.38935424	19332	212	254	12701	311	357	1	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.846	3.13861e-08	1.24059e-09	0	23	84143264	84143264
9.02171	12.658679	25	-58.6672	12.5885	86755446	1.1473032	0	0	0	297.82326	12.663537	3.097064e-08	1.238613e-09	-1790.667	7.7091023e+08	8.803889e+08	1.156104	65.836984	0.39496	19853	211	225	13133	331	358	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.823	3.10027e-08	1.23912e-09	0	25	83023329	83023329
9.02299	12.656859	25	-58.6672	12.5884	86755449	1.1696652	0	0	0	297.80035	12.661037	3.067588e-08	1.235914e-09	-1790.667	7.7091023e+08	8.7865641e+08	1.180177	66.090753	0.40018912	20276	193	241	13437	295	336	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.8	3.06693e-08	1.23641e-09	0	36	82227057	82227057
9.02428	12.655009	25	-58.6672	12.5883	86755452	1.1923568	0	0	0	297.7781	12.658537	3.022961e-08	1.234621e-09	-1790.667	7.7091023e+08	8.7792442e+08	1.2041939	66.480482	0.40364	20798	234	222	13909	311	370	0	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.781	3.02401e-08	1.23549e-09	0	21	81024766	81024766
