monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,54536970.0,,1.011961,,53892363.440883584,
7.093,54378518.0,,1.0120413,,53731520.640511416,
7.094,54492649.0,,1.0120986,,53841245.3094985,
7.095,54875535.0,,1.0121034,,54219297.158768564,
7.096,54541809.0,,1.0118061,,53905396.49840023,
7.097,55263669.0,,1.012039,,54606264.18547112,
7.098,55124704.0,,1.0121366,,54463699.860275775,
7.099,54977929.0,,1.0122541,,54312379.668306604,
7.1,54365495.0,,1.0119654,,53722681.625280865,
7.101,54156267.0,,1.012256,,53500564.086555175,
7.102,53909979.0,,1.0122624,,53256921.32790865,
7.103,54131376.0,,1.0119344,,53492969.50474261,
7.104,54095539.0,,1.0122778,,53439420.483191475,
7.105,54252670.0,,1.0122765,,53594714.48759306,
7.106,53152468.0,,1.0122397,,52509764.23864821,
7.107,53270556.0,,1.0120835,,52634546.45787626,
7.108,52858329.0,,1.0122493,,52218686.64171959,
7.109,51627045.0,,1.0117882,,51025545.6626199,
7.11,50348725.0,,1.0119821,,49752584.55658455,
7.111,48736662.0,,1.0119398,,48161621.867229655,
7.112,45622405.0,,1.0118179,,45089541.30975544,
7.113,39060688.0,,1.0121946,,38590097.20067663,
7.114,28381376.0,,1.0122672,,28037435.17521856,
7.115,21422672.0,,1.0119722,,21169229.7476156,
7.116,17807089.0,,1.0118726,,17598153.166712884,
7.117,15658293.0,,1.0119107,,15473986.983238738,
7.118,14531748.0,,1.0121558,,14357224.451018313,
7.119,13617727.0,,1.0121277,,13454554.20299237,
7.12,12078902.0,,1.0120355,,11935255.235611793,
7.121,9499274.9,,1.0118515,,9388012.86552424,
7.122,7446298.5,,1.011799,,7359464.182115223,
7.123,5687761.0,,1.0119606,,5620536.016916073,
7.124,4594775.6,,1.0120906,,4539885.658457849,
7.125,3940986.0,,1.0119763,,3894346.1422960204,
7.126,3458945.2,,1.0122099,,3417221.270015241,
7.127,3199487.5,,1.0121734,,3161007.293809539,
7.128,2922399.4,,1.0121386,,2887351.001137591,
7.129,2701914.3,,1.0118608,,2670243.080866459,
7.13,2465756.8,,1.0122112,,2436010.1923393058,
7.131,2190473.3,,1.0118256,,2164872.3851224952,
7.132,1924908.5,,1.0118752,,1902318.0921916063,
