# Scan number: 13
# Command: ascan monoE 5.673 5.703 15 2
# Date: Sun Jul 28 20:58:31 2024
# date: Sun Jul 28 20:58:31 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.673	20.395599	-35.868	13.1998	0	0	0	86763003	2	0	0	0	297.6366	20.399865	1.694833e-09	2.92804e-10	-1790.667	7.7091023e+08	1.4929604e+08	2.0120214	3.548161	1.9406317	484	3	332	91	22	1	0	0	0	16.997457	0	5.6718646	0	0	0	0	0	0	297.846	-5.22782e-13	297.641	1.68312e-09	2.94e-10	0	21	6418946.8	6418946.8
5.675	20.388094	-35.8806	13.1991	0	0	0	86763007	2	0	0	0	297.59701	20.392365	1.707728e-09	2.889067e-10	-1790.667	7.7091023e+08	1.4731032e+08	2.0121613	2.6357649	1.9591254	507	4	342	105	24	3	0	0	0	16.997457	0	5.6738617	0	0	0	0	0	0	297.846	-5.22782e-13	297.609	1.70565e-09	2.89655e-10	0	36	6465981.3	6465981.3
5.677	20.380589	-35.8933	13.1984	0	0	0	86763012	2	0	0	0	297.56867	20.387365	1.687832e-09	2.86466e-10	-1790.667	7.7091023e+08	1.4606732e+08	2.0119696	3.7917074	1.9356816	501	5	333	94	32	2	0	0	0	16.997457	0	5.675194	0	0	0	0	0	0	297.846	-5.22782e-13	297.573	1.71198e-09	2.86446e-10	0	21	6388867.4	6388867.4
5.679	20.373094	-35.9059	13.1977	0	0	0	86763017	2	0	0	0	297.53128	20.379865	1.678317e-09	2.83702e-10	-1790.667	7.7091023e+08	1.4465948e+08	2.0119178	3.7417195	1.9366374	483	1	340	83	37	1	0	0	0	16.997457	0	5.6771936	0	0	0	0	0	0	297.846	-5.22782e-13	297.535	1.65779e-09	2.85026e-10	0	31	6351080.1	6351080.1
5.681	20.365604	-35.9186	13.197	0	0	0	86763022	2	0	0	0	297.49138	20.372365	1.70077e-09	2.788205e-10	-1790.667	7.7091023e+08	1.4217192e+08	2.0122723	3.290656	1.9460554	461	1	309	86	29	0	0	0	0	16.997457	0	5.6791948	0	0	0	0	0	0	297.846	-5.22782e-13	297.495	1.67786e-09	2.77579e-10	0	33	6434253.2	6434253.2
5.683	20.358119	-35.9312	13.1963	0	0	0	86763026	2	0	0	0	297.4536	20.364865	1.669548e-09	2.745644e-10	-1790.667	7.7091023e+08	1.4000325e+08	2.0118973	3.9079053	1.9332742	482	2	312	95	34	3	0	0	0	16.997457	0	5.6811974	0	0	0	0	0	0	297.846	-5.22782e-13	297.464	1.68206e-09	2.75662e-10	0	33	6314376.4	6314376.4
5.685	20.350639	-35.9439	13.1956	0	0	0	86763031	2	0	0	0	297.41493	20.357365	1.682832e-09	2.739284e-10	-1790.667	7.7091023e+08	1.3968051e+08	2.0121994	3.6112525	1.9395338	471	2	311	100	30	1	0	0	0	16.997457	0	5.6832016	0	0	0	0	0	0	297.846	-5.22782e-13	297.427	1.68741e-09	2.72959e-10	0	27	6362844.9	6362844.9
5.687	20.343164	-35.9565	13.1949	0	0	0	86763036	2	0	0	0	297.38392	20.349865	1.699543e-09	2.720917e-10	-1790.667	7.7091023e+08	1.3874555e+08	2.0118115	2.8448629	1.9545782	467	2	307	89	37	3	0	0	0	16.997457	0	5.6852073	0	0	0	0	0	0	297.846	-5.22782e-13	297.388	1.68745e-09	2.72296e-10	0	24	6424240.3	6424240.3
5.689	20.335699	-35.9692	13.1942	0	0	0	86763041	2	0	0	0	297.34646	20.342365	1.720174e-09	2.663185e-10	-1790.667	7.7091023e+08	1.3580326e+08	2.0121373	3.3728911	1.9442701	447	1	298	83	35	1	0	0	0	16.997457	0	5.6872145	0	0	0	0	0	0	297.846	-5.22782e-13	297.354	1.72699e-09	2.68121e-10	0	44	6500414.9	6500414.9
5.691	20.328234	-35.9818	13.1935	0	0	0	86763045	2	0	0	0	297.30648	20.334865	1.698212e-09	2.56108e-10	-1790.667	7.7091023e+08	1.3059821e+08	2.012263	4.7115908	1.9174534	437	0	283	96	38	2	0	0	0	16.997457	0	5.6892232	0	0	0	0	0	0	297.846	-5.22782e-13	297.318	1.70082e-09	2.59599e-10	0	17	6415635.8	6415635.8
