# Scan number: 20
# Command: ascan cr2roll -0.0183939 0.181606 20 1
# Date: Sun Jul 28 23:15:31 2024
# date: Sun Jul 28 23:15:31 2024
# C Sun Jul 28 23: 17:17 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0016036137	8.333	25	0	0	0	86771228	1	0	0	0	297.97091	13.728342	9.349149e-12	-1.24345e-13	-1790.667	7.7091023e+08	-79332.769	1.0119709	0.052997572	1.0114346	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.971	9.34915e-12	-1.33227e-13	0	31	26272.67	26272.67
0.011609067	8.333	25	0	0	0	86771231	1	0	0	0	297.93749	13.728342	1.712758e-11	-7.460699e-14	-1790.667	7.7091023e+08	-47599.655	1.0122333	0.058231636	1.0116438	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.947	1.69987e-11	-5.68434e-14	0	45	48131.36	48131.36
0.021600814	8.333	25	0	0	0	86771235	1	0	0	0	297.91338	13.728342	3.62392e-11	1.421085e-14	-1790.667	7.7091023e+08	9066.5976	1.0120576	0.056850519	1.0114822	1	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.913	3.62392e-11	-1.77636e-14	0	37	101838.2	101838.2
0.031606267	8.333	25	0	0	0	86771239	1	0	0	0	297.88141	13.728342	9.457049e-11	1.207923e-13	-1790.667	7.7091023e+08	77066.128	1.0119213	0.058629066	1.011328	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.881	9.45705e-11	1.35003e-13	0	42	265758.87	265758.87
0.04161172	8.333	25	0	0	0	86771243	1	0	0	0	297.84961	13.728342	3.245512e-10	6.501466e-13	-1790.667	7.7091023e+08	414796.98	1.0059133	0.056784219	1.0053421	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.859	2.93271e-10	6.37712e-13	0	49	912043.07	912043.07
0.051603467	8.333	25	0	0	0	86771246	1	0	0	0	297.8183	13.728342	1.628047e-09	3.392842e-12	-1790.667	7.7091023e+08	2164651.2	1.0118541	0.057178205	1.0112755	3	0	0	3	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.827	1.38075e-09	3.29573e-12	0	31	4575084	4575084
0.061608919	8.333	25	0	0	0	86771250	1	0	0	0	297.79541	13.728342	5.683561e-08	1.167706e-10	-1790.667	7.7091023e+08	74500262	1.0122794	1.7233187	0.99483456	183	0	0	141	1	2	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.795	5.68356e-08	1.16653e-10	0	23	1.5971756e+08	1.5971756e+08
0.071600666	8.333	25	0	0	0	86771254	1	0	0	0	297.76419	13.728342	1.608861e-07	5.364598e-10	-1790.667	7.7091023e+08	3.422642e+08	1.0122864	4.8575976	0.9631136	785	1	2	544	3	8	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.764	5.68356e-08	5.37912e-10	0	39	4.5211681e+08	4.5211681e+08
0.081606119	8.333	25	0	0	0	86771257	1	0	0	0	297.73277	13.728342	2.836968e-07	5.795542e-10	-1790.667	7.7091023e+08	3.6975865e+08	1.0119424	6.4132346	0.94704416	933	0	1	659	14	17	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.74	3.00933e-07	5.81084e-10	0	27	7.9723539e+08	7.9723539e+08
0.091611572	8.333	25	0	0	0	86771261	1	0	0	0	297.70166	13.728342	1.044867e-07	2.35147e-10	-1790.667	7.7091023e+08	1.5002503e+08	1.0120899	5.0161235	0.96132224	315	0	1	227	5	8	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.709	1.04487e-07	2.35122e-10	0	44	2.9362508e+08	2.9362508e+08
0.10160332	8.333	25	0	0	0	86771265	1	0	0	0	297.67946	13.728342	6.347505e-09	1.73408e-11	-1790.667	7.7091023e+08	11063522	1.0122573	5.3161188	0.95844448	18	0	1	10	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.679	6.34751e-09	1.75451e-11	0	38	17837549	17837549
0.11160877	8.333	25	0	0	0	86771269	1	0	0	0	297.64837	13.728342	6.140013e-10	1.566747e-12	-1790.667	7.7091023e+08	999592.89	1.0118723	0.057019052	1.0112954	1	0	0	1	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.648	6.17683e-10	1.56675e-12	0	36	1725446.2	1725446.2
0.12160052	8.333	25	0	0	0	86771272	1	0	0	0	297.6156	13.728342	2.904076e-10	8.31335e-13	-1790.667	7.7091023e+08	530396.14	1.0120883	0.05861939	1.011495	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.62	2.90408e-10	8.10019e-13	0	40	816093.85	816093.85
0.13160597	8.333	25	0	0	0	86771276	1	0	0	0	297.58567	13.728342	1.325096e-10	4.192202e-13	-1790.667	7.7091023e+08	267464.71	1.0118112	0.056990869	1.0112346	1	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.592	1.3251e-10	4.15668e-13	0	31	372374.1	372374.1
0.14161143	8.333	25	0	0	0	86771280	1	0	0	0	297.56123	13.728342	5.616904e-11	2.167155e-13	-1790.667	7.7091023e+08	138265.64	1.0118342	0.057938344	1.011248	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.561	6.17976e-11	1.66978e-13	0	34	157844.38	157844.38
0.15160317	8.333	25	0	0	0	86771284	1	0	0	0	297.52957	13.728342	1.740791e-11	9.947598e-14	-1790.667	7.7091023e+08	63466.202	1.0119469	0.056508895	1.011375	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.53	1.87646e-11	7.81597e-14	0	41	48919.134	48919.134
0.16160863	8.333	25	0	0	0	86771287	1	0	0	0	297.49724	13.728342	5.518422e-12	4.973799e-14	-1790.667	7.7091023e+08	31733.101	1.0119619	0.056128594	1.0113939	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.506	5.51842e-12	3.01981e-14	0	35	15507.687	15507.687
0.17160037	8.333	25	0	0	0	86771291	1	0	0	0	297.46588	13.728342	2.42527e-12	2.842171e-14	-1790.667	7.7091023e+08	18133.202	1.0121002	0.05634225	1.0115299	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.473	2.42527e-12	3.19744e-14	0	32	6815.4137	6815.4137
0.18160582	8.333	25	0	0	0	86771295	1	0	0	0	297.44368	13.728342	1.193126e-12	2.131628e-14	-1790.667	7.7091023e+08	13599.9	1.0117904	0.056169736	1.0112221	0	0	0	0	0	0	0	0	0	16.997457	0	8.3307423	0	0	0	0	0	0	297.846	-5.22782e-13	297.444	1.32055e-12	7.10543e-14	0	40	3352.8833	3352.8833
