# Scan number: 6
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sun Jul 28 20:34:22 2024
# date: Sun Jul 28 20:34:22 2024
# C Sun Jul 28 20: 38:14 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86761546	2	0	0	0	296.73183	20.289865	1.444125e-09	1.564082e-10	-1790.667	7.7091023e+08	79764088	2.0118634	3.6597475	1.9382342	325	2	184	86	33	2	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	296.742	1.45276e-09	1.56959e-10	0	28	5446628.5	5446628.5
5.704	20.279864	-36.064	13.189	0	0	0	86761551	2	0	0	0	296.70035	20.284865	1.417216e-09	1.568203e-10	-1790.667	7.7091023e+08	79974801	2.0118445	2.9433209	1.9526294	307	0	180	65	39	3	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	1.42707e-09	1.57956e-10	0	34	5344396.4	5344396.4
5.705	20.276154	-36.0703	13.1887	0	0	0	86761555	2	0	0	0	296.67118	20.282365	1.430827e-09	1.581597e-10	-1790.667	7.7091023e+08	80658429	2.0120429	5.3807044	1.9037808	322	0	193	72	48	9	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.675	1.42992e-09	1.57763e-10	0	27	5394974.4	5394974.4
5.706	20.272444	-36.0766	13.1883	0	0	0	86761559	2	0	0	0	296.63053	20.277365	1.459567e-09	1.549409e-10	-1790.667	7.7091023e+08	79017460	2.0122288	4.3600608	1.9244944	291	1	165	65	23	1	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.642	1.43922e-09	1.55365e-10	0	41	5502574.8	5502574.8
5.707	20.268734	-36.083	13.188	0	0	0	86761564	2	0	0	0	296.59929	20.274865	1.428161e-09	1.544116e-10	-1790.667	7.7091023e+08	78748086	2.0119642	2.097437	1.9697645	293	1	174	67	26	1	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.602	1.41471e-09	1.53587e-10	0	24	5383426	5383426
5.708	20.265029	-36.0893	13.1877	0	0	0	86761568	2	0	0	0	296.56775	20.269865	1.402523e-09	1.518856e-10	-1790.667	7.7091023e+08	77460413	2.0119018	4.5049357	1.9212669	325	1	184	86	28	1	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.571	1.4136e-09	1.51759e-10	0	33	5286049.7	5286049.7
5.709	20.261324	-36.0956	13.1873	0	0	0	86761572	2	0	0	0	296.52807	20.267365	1.424781e-09	1.494627e-10	-1790.667	7.7091023e+08	76225307	2.0119626	3.3354418	1.9448547	297	1	169	79	30	0	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.54	1.42807e-09	1.50118e-10	0	39	5369193.3	5369193.3
5.71	20.257619	-36.1019	13.187	0	0	0	86761577	2	0	0	0	296.49837	20.262365	1.420142e-09	1.467306e-10	-1790.667	7.7091023e+08	74832497	2.0120854	3.2471782	1.9467494	305	4	164	92	30	1	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.502	1.41689e-09	1.48307e-10	0	36	5350968.3	5350968.3
5.711	20.253919	-36.1083	13.1866	0	0	0	86761581	2	0	0	0	296.4582	20.259865	1.444598e-09	1.450147e-10	-1790.667	7.7091023e+08	73957936	2.0119744	2.8193281	1.9552502	285	0	168	71	33	1	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.471	1.42412e-09	1.46511e-10	0	37	5442360.5	5442360.5
5.712	20.250214	-36.1146	13.1863	0	0	0	86761586	2	0	0	0	296.42899	20.257365	1.395702e-09	1.406981e-10	-1790.667	7.7091023e+08	71756992	2.0058042	3.5735652	1.9341254	304	1	175	74	43	1	0	0	0	16.997457	0	5.7100691	0	0	0	0	0	0	297.846	-5.22782e-13	296.436	1.38535e-09	1.42433e-10	0	20	5257420.3	5257420.3
5.713	20.246514	-36.1209	13.186	0	0	0	86761590	2	0	0	0	296.39679	20.252365	1.39808e-09	1.440021e-10	-1790.667	7.7091023e+08	73442608	2.0122342	3.0572822	1.9507146	328	2	187	80	54	1	0	0	0	16.997457	0	5.7114196	0	0	0	0	0	0	297.846	-5.22782e-13	296.401	1.3796e-09	1.4119e-10	0	34	5265646.8	5265646.8
5.714	20.242819	-36.1272	13.1856	0	0	0	86761594	2	0	0	0	296.71966	20.249865	1.395726e-09	1.397851e-10	-1790.667	7.7091023e+08	71292434	2.0122288	4.9527569	1.912568	270	0	164	71	35	0	0	0	0	16.997457	0	5.7120951	0	0	0	0	0	0	297.846	-5.22782e-13	296.723	1.39093e-09	1.40209e-10	0	34	5256051.1	5256051.1
5.715	20.239119	-36.1335	13.1853	0	0	0	86761599	2	0	0	0	296.68068	20.244865	1.395577e-09	1.371454e-10	-1790.667	7.7091023e+08	69946685	2.0118602	3.5855375	1.9397242	302	2	163	82	43	3	0	0	0	16.997457	0	5.7134466	0	0	0	0	0	0	297.846	-5.22782e-13	296.692	1.3961e-09	1.38835e-10	0	28	5254760.6	5254760.6
5.716	20.235424	-36.1399	13.1849	0	0	0	86761603	2	0	0	0	296.64896	20.242365	1.398109e-09	1.396003e-10	-1790.667	7.7091023e+08	71199280	2.0119274	5.6187794	1.8988816	307	4	176	77	42	1	0	0	0	16.997457	0	5.7141226	0	0	0	0	0	0	297.846	-5.22782e-13	296.653	1.38971e-09	1.38857e-10	0	34	5263563.7	5263563.7
5.717	20.231729	-36.1462	13.1846	0	0	0	86761607	2	0	0	0	296.61782	20.237365	1.39185e-09	1.37419e-10	-1790.667	7.7091023e+08	70087314	2.0121107	2.7815567	1.9561427	286	2	160	74	40	1	0	0	0	16.997457	0	5.7154752	0	0	0	0	0	0	297.846	-5.22782e-13	296.622	1.37853e-09	1.37334e-10	0	24	5239272.9	5239272.9
5.718	20.228039	-36.1525	13.1842	0	0	0	86761611	2	0	0	0	296.57887	20.234865	1.380669e-09	1.341576e-10	-1790.667	7.7091023e+08	68424453	2.0118947	3.9711183	1.932	295	3	160	82	36	1	0	0	0	16.997457	0	5.7161517	0	0	0	0	0	0	297.846	-5.22782e-13	296.591	1.39727e-09	1.36617e-10	0	24	5196463.7	5196463.7
5.719	20.224344	-36.1588	13.1839	0	0	0	86761616	2	0	0	0	296.54754	20.229865	1.39293e-09	1.352483e-10	-1790.667	7.7091023e+08	68981290	2.0121885	4.0470006	1.9307552	266	1	160	57	29	2	0	0	0	16.997457	0	5.7175053	0	0	0	0	0	0	297.846	-5.22782e-13	296.555	1.38555e-09	1.34918e-10	0	33	5241883.4	5241883.4
5.72	20.220654	-36.1652	13.1836	0	0	0	86761620	2	0	0	0	296.51803	20.227365	1.393652e-09	1.357421e-10	-1790.667	7.7091023e+08	69233699	2.0121901	2.7476211	1.9569027	255	7	154	63	38	0	0	0	0	16.997457	0	5.7181823	0	0	0	0	0	0	297.846	-5.22782e-13	296.522	1.40437e-09	1.34246e-10	0	41	5243872.9	5243872.9
5.721	20.216969	-36.1715	13.1832	0	0	0	86761624	2	0	0	0	296.48544	20.222365	1.410243e-09	1.345803e-10	-1790.667	7.7091023e+08	68641690	2.0120998	2.7162231	1.9574467	296	5	171	70	35	0	0	0	0	16.997457	0	5.7195369	0	0	0	0	0	0	297.846	-5.22782e-13	296.489	1.40889e-09	1.36408e-10	0	26	5305563.6	5305563.6
5.722	20.213279	-36.1778	13.1829	0	0	0	86761628	2	0	0	0	296.44904	20.219865	1.39483e-09	1.337597e-10	-1790.667	7.7091023e+08	68223704	2.0119923	4.7041611	1.917345	290	8	142	91	34	4	0	0	0	16.997457	0	5.7202145	0	0	0	0	0	0	297.846	-5.22782e-13	296.46	1.37889e-09	1.34996e-10	0	32	5246849.7	5246849.7
5.723	20.209594	-36.1841	13.1825	0	0	0	86761633	2	0	0	0	296.75753	20.214865	1.371581e-09	1.349036e-10	-1790.667	7.7091023e+08	68807710	2.011839	3.7716258	1.93596	261	7	147	69	42	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.763	1.36019e-09	1.33705e-10	0	26	5158679.8	5158679.8
5.724	20.205909	-36.1904	13.1822	0	0	0	86761637	2	0	0	0	296.71983	20.212365	1.363136e-09	1.314326e-10	-1790.667	7.7091023e+08	67037878	2.011857	3.2100413	1.9472755	279	4	162	79	47	0	0	0	0	16.997457	0	5.7222482	0	0	0	0	0	0	297.846	-5.22782e-13	296.73	1.34069e-09	1.32829e-10	0	26	5126206.3	5126206.3
