# Scan number: 8
# Command: ascan cr2roll -0.020395 0.179605 20 1
# Date: Sun Jul 28 20:41:27 2024
# date: Sun Jul 28 20:41:27 2024
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0096079761	5.723	25	0	0	0	86761988	1	0	0	0	297.13042	20.214865	-6.072548e-13	6.039613e-14	-1790.667	7.7091023e+08	30805.104	1.0119712	0.031937668	1.011648	0	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	297.13	-6.07255e-13	6.57252e-14	0	6	-2283.9578	-2283.9578
0.019599723	5.723	25	0	0	0	86761991	1	0	0	0	297.09897	20.214865	-4.403607e-13	1.421085e-13	-1790.667	7.7091023e+08	72482.577	1.0118486	0.030866277	1.0115363	0	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	297.106	-4.40361e-13	1.29674e-13	0	10	-1656.2491	-1656.2491
0.029605176	5.723	25	0	0	0	86761995	1	0	0	0	297.07314	20.214865	-5.113181e-13	2.060574e-13	-1790.667	7.7091023e+08	105099.77	1.0121174	0.031711735	1.0117965	0	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	297.073	-3.82938e-13	2.22045e-13	0	19	-1923.1284	-1923.1284
0.039610629	5.723	25	0	0	0	86761999	1	0	0	0	297.04388	20.214865	-3.474097e-13	3.765876e-13	-1790.667	7.7091023e+08	192078.87	1.0119088	0.031971261	1.0115853	1	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	297.044	-3.4741e-13	3.85469e-13	0	9	-1306.6493	-1306.6493
0.049602376	5.723	25	0	0	0	86762003	1	0	0	0	297.01112	20.214865	-1.959412e-13	8.135714e-13	-1790.667	7.7091023e+08	414962.87	1.0122502	0.031865638	1.0119277	0	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	297.021	-1.95941e-13	8.26006e-13	0	16	-736.95824	-736.95824
0.059607829	5.723	25	0	0	0	86762006	1	0	0	0	296.97905	20.214865	7.199539e-13	2.16005e-12	-1790.667	7.7091023e+08	1101735.6	1.0119674	0.031906167	1.0116445	0	0	0	0	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.987	7.19954e-13	2.15117e-12	0	12	2707.8325	2707.8325
0.069599576	5.723	25	0	0	0	86762010	1	0	0	0	296.95576	20.214865	2.491227e-11	1.023182e-11	-1790.667	7.7091023e+08	5218749.6	1.0121114	8.3677116	0.9274208	11	0	6	1	0	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.956	1.90021e-11	1.01608e-11	0	13	93698.02	93698.02
0.079605029	5.723	25	0	0	0	86762014	1	0	0	0	296.92553	20.214865	1.366614e-09	1.524967e-10	-1790.667	7.7091023e+08	77781088	1.0120819	2.3777364	0.98801728	171	3	97	41	20	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.93	1.36661e-09	1.54561e-10	0	13	5139998.3	5139998.3
0.089610482	5.723	25	0	0	0	86762017	1	0	0	0	296.89469	20.214865	6.452089e-10	6.105338e-11	-1790.667	7.7091023e+08	31140335	1.0119226	1.1678048	1.0001053	90	1	39	37	12	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.903	6.45209e-10	6.108e-11	0	19	2426707.7	2426707.7
0.099602229	5.723	25	0	0	0	86762021	1	0	0	0	296.87201	20.214865	2.750596e-11	7.634782e-12	-1790.667	7.7091023e+08	3894127.9	1.0121427	0.034524775	1.0117933	9	1	5	0	1	0	0	0	0	16.997457	0	5.7215701	0	0	0	0	0	0	297.846	-5.22782e-13	296.872	3.26492e-11	7.63478e-12	0	10	103453.2	103453.2
