monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
7.062,261.0,,1.8889286,,138.17356569221303,
7.064,238.0,,1.9010781,,125.19212124951625,
7.066,264.0,,1.8906669,,139.63326908616213,
7.068,281.0,,1.8869811,,148.91511102045484,
7.07,273.0,,1.9032752,,143.43695541243852,
7.072,272.0,,1.9009069,,143.08959581345093,
7.074,265.0,,1.903151,,139.24276108411786,
7.076,228.0,,1.8891504,,120.68917329186708,
7.078,241.0,,1.8931222,,127.3029284638889,
7.08,268.0,,1.8928778,,141.58336053177865,
7.082,288.0,,1.9006147,,151.52992345055523,
7.084,274.0,,1.8997107,,144.23248760982395,
7.086,276.0,,1.897343,,145.46658142465543,
7.088,265.0,,1.8790317,,141.03008480378483,
7.09,253.0,,1.8947968,,133.5235524991387,
7.092,260.0,1.4142135623730951,1.89362755,0.008164891291682885,137.30549379372263,1.3388577880320947
7.093,286.0,,1.9009539,,150.45078157865902,
7.094,296.0,,1.8963917,,156.08589723315075,
7.095,289.0,,1.9040848,,151.77895438270397,
7.096,276.0,,1.8926202,,145.8295753157448,
7.097,310.0,,1.890039,,164.01777952730075,
7.098,292.0,,1.903177,,153.42766332295946,
7.099,315.0,,1.8921728,,166.47528175016575,
7.1,307.0,,1.8950493,,162.0010624525705,
7.101,285.0,,1.8814474,,151.47912187180995,
7.102,310.0,,1.8761619,,165.23094302256112,
7.103,295.0,,1.8752742,,157.310328270927,
7.104,286.0,,1.8853091,,151.69926247107173,
7.105,306.0,,1.8837808,,162.43928168287945,
7.106,298.0,,1.8925936,,157.45588487671097,
7.107,305.0,,1.8871459,,161.6197242619132,
7.108,315.0,,1.8893533,,166.72371440534707,
7.109,319.0,,1.8940019,,168.42644138846958,
7.11,357.0,,1.8877194,,189.11709017770332,
7.111,369.0,,1.8967549,,194.5427951708468,
7.112,397.0,,1.8944829,,209.5558635023837,
7.113,464.0,,1.8809094,,246.68918130772275,
7.114,630.0,,1.8762976,,335.7676308918159,
7.115,1065.0,,1.8801731,,566.4372072975622,
7.116,1207.0,,1.878601,,642.4993918346685,
7.117,1419.0,,1.8795082,,754.9847348364854,
7.118,1466.0,,1.8806803,,779.5051609781843,
7.119,1445.0,,1.876023,,770.2464202197948,
7.12,1580.0,,1.8649024,,847.2293241726752,
7.121,1622.0,,1.8640259,,870.1595830830463,
7.122,1862.0,,1.8571235,,1002.6258350615885,
7.123,2029.0,,1.8656803,,1087.5389529492272,
7.124,2153.0,,1.8588224,,1158.2601974239174,
7.125,2302.0,,1.8580042,,1238.9638301140546,
7.126,2555.0,,1.8570186,,1375.861286472844,
7.127,2764.0,,1.8561274,,1489.1219212646718,
7.128,2892.0,,1.8518237,,1561.703741020271,
7.129,2993.0,,1.8520947,,1616.0080799324137,
7.13,3030.0,,1.8445578,,1642.670129393614,
7.131,3292.0,,1.8410992,,1788.062261935696,
7.132,3131.0,,1.8371208,,1704.29728954133,
7.133,3168.0,,1.8331424,,1728.179982089771,
7.134,3192.0,,1.8431696,,1731.7993959969826,
7.135,3187.0,,1.8449299,,1727.4369069523998,
7.136,3183.0,,1.8383184,,1731.4737207656738,
7.137,3330.0,,1.8506618,,1799.3563167511213,
7.138,3325.0,,1.8478406,,1799.3976320251866,
7.139,3393.0,,1.8511171,,1832.9472511490494,
7.14,3339.0,,1.8439443,,1810.7922240384376,
7.141,3356.0,,1.8436182,,1820.3335159090964,
7.142,3284.0,,1.8431786,,1781.7047138025584,
7.143,3149.0,,1.8478362,,1704.1553791402075,
7.144,3296.0,,1.8420355,,1789.324907147555,
7.145,3215.0,,1.8431098,,1744.3344937995555,
7.146,3185.0,,1.8481882,,1723.3093469593625,
7.147,3205.0,,1.8453962,,1736.7544162061242,
7.148,3117.0,,1.8545139,,1680.763891820924,
7.149,3038.0,,1.8544435,,1638.2273172517794,
7.15,3183.0,,1.8509725,,1719.6365694249916,
7.151,3069.0,,1.8500048,,1658.9146147080266,
7.152,3113.0,,1.8424989,,1689.5532474944762,
7.153,3206.0,,1.8412784,,1741.1815616801891,
7.154,3178.0,,1.8463795,,1721.2062850567827,
7.155,3127.0,,1.8497491,,1690.4995385590403,
