monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,53022326.0,,1.0121341,,52386661.016558975,
7.093,52988340.0,,1.0122832,,52345371.334820144,
7.094,52697323.0,,1.0118646,,52079421.49572186,
7.095,52787942.0,,1.0119424,,52164967.09694149,
7.096,52705246.0,,1.012175,,52071278.188060366,
7.097,52238827.0,,1.012057,,51616487.016047515,
7.098,51702201.0,,1.0120624,,51085981.457269825,
7.099,51872642.0,,1.0120192,,51256578.926565826,
7.1,51254054.0,,1.0121722,,50637682.0070735,
7.101,51631031.0,,1.0120675,,51015402.628777236,
7.102,50427703.0,,1.0117971,,49839738.61953153,
7.103,50317464.0,,1.0119104,,49725216.778086275,
7.104,49335987.0,,1.0122384,,48739493.58174912,
7.105,48804600.0,,1.0121549,,48218508.846817814,
7.106,48762409.0,,1.0121418,,48177448.06113136,
7.107,46955838.0,,1.0118806,,46404524.40732632,
7.108,47250781.0,,1.0122192,,46680384.05120155,
7.109,46319262.0,,1.011881,,45775404.42008497,
7.11,45691789.0,,1.0119578,,45151871.94564833,
7.111,43808190.0,,1.0119155,,43292340.121284835,
7.112,41128433.0,,1.0120208,,40639908.784483485,
7.113,36470163.0,,1.0121421,,36032650.9489132,
7.114,28301390.0,,1.0118662,,27969498.338811986,
7.115,19426733.0,,1.0119475,,19197372.393330682,
7.116,15391444.0,,1.0121728,,15206340.26126764,
7.117,13304867.0,,1.0122893,,13143344.496479416,
7.118,11707755.0,,1.0122067,,11566565.406057874,
7.119,10988652.0,,1.0118678,,10859770.41664929,
7.12,9888774.1,,1.0118352,,9773107.41907378,
7.121,8140566.7,,1.0120355,,8043756.073774091,
7.122,6265122.1,,1.011897,,6191462.273334143,
7.123,4723206.2,,1.0120646,,4666901.8953928435,
7.124,3661370.3,,1.0118819,,3618377.105075207,
7.125,2892269.8,,1.012023,,2857909.158191069,
7.126,2517549.6,,1.0118086,,2488167.8214634666,
7.127,2203310.1,,1.0121248,,2176915.4357249225,
7.128,2033567.9,,1.0119213,,2009610.7276326725,
7.129,1807137.1,,1.0119949,,1785717.5960076482,
7.13,1658817.3,,1.0119552,,1639220.095909384,
7.131,1490929.0,,1.011871,,1473437.8196430178,
7.132,1350367.2,,1.012081,,1334248.1481225316,
