# Scan number: 15
# Command: ascan monoE 7.092 7.232 140 2
# Date: Mon Jul 29 03:47:00 2024
# date: Mon Jul 29 03:47:00 2024
# C Mon Jul 29 03: 57:17 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86787504	2	0	0	0	297.39225	16.192951	1.617631e-09	4.659597e-10	-1790.667	7.7091023e+08	2.553404e+08	2.0118774	5.4980208	1.901264	3187	391	379	23	86	219	1	0	0	16.997457	0	7.0893962	0	0	0	0	0	0	297.846	-5.22782e-13	297.405	1.61154e-09	4.64778e-10	0	75	5119658.6	5119658.6
7.093	16.184499	-44.8461	12.8454	0	0	0	86787509	2	0	0	0	297.35997	16.190451	1.607615e-09	4.627125e-10	-1790.667	7.7091023e+08	2.5358468e+08	2.0118294	5.3060403	1.905081	3253	382	365	23	74	247	0	0	0	16.997457	0	7.0904616	0	0	0	0	0	0	297.846	-5.22782e-13	297.368	1.60696e-09	4.63726e-10	0	53	5087390.6	5087390.6
7.094	16.182154	-44.8524	12.8452	0	0	0	86787513	2	0	0	0	297.33082	16.187951	1.623404e-09	4.58023e-10	-1790.667	7.7091023e+08	2.5103813e+08	2.0121072	5.7277266	1.8968592	3259	390	364	19	101	263	1	0	0	16.997457	0	7.0915273	0	0	0	0	0	0	297.846	-5.22782e-13	297.334	1.61381e-09	4.60922e-10	0	90	5136782.2	5136782.2
7.095	16.179809	-44.8587	12.8451	0	0	0	86787517	2	0	0	0	297.30078	16.185451	1.582687e-09	4.504166e-10	-1790.667	7.7091023e+08	2.4689225e+08	2.0121699	5.4233034	1.9030438	3087	385	372	19	103	238	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.306	1.58769e-09	4.53974e-10	0	52	5007386.3	5007386.3
7.096	16.177469	-44.865	12.8449	0	0	0	86787521	2	0	0	0	297.27144	16.182951	1.597028e-09	4.545342e-10	-1790.667	7.7091023e+08	2.4917261e+08	2.0117949	5.3092967	1.9049827	3272	379	378	27	107	261	1	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	297.274	1.59452e-09	4.53877e-10	0	72	5052195.2	5052195.2
7.097	16.175124	-44.8714	12.8447	0	0	0	86787525	2	0	0	0	297.24017	16.180451	1.599692e-09	4.502105e-10	-1790.667	7.7091023e+08	2.4682552e+08	2.0122112	5.8783332	1.8939267	3194	376	368	18	99	255	1	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	297.244	1.57229e-09	4.48087e-10	0	70	5060058.1	5060058.1
7.098	16.172784	-44.8777	12.8445	0	0	0	86787529	2	0	0	0	297.20214	16.177951	1.583431e-09	4.461782e-10	-1790.667	7.7091023e+08	2.4463777e+08	2.0122682	5.6726117	1.89812	3197	364	422	21	82	248	2	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	297.213	1.5735e-09	4.47161e-10	0	83	5008063.5	5008063.5
7.099	16.170444	-44.884	12.8443	0	0	0	86787533	2	0	0	0	297.17	16.175451	1.583271e-09	4.495426e-10	-1790.667	7.7091023e+08	2.4650559e+08	2.0118656	5.4865375	1.9014838	3168	360	383	17	81	242	1	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	297.182	1.5829e-09	4.46484e-10	0	64	5006998.9	5006998.9
7.1	16.168104	-44.8903	12.8442	0	0	0	86787539	2	0	0	0	297.13299	16.172951	1.582097e-09	4.368097e-10	-1790.667	7.7091023e+08	2.3954602e+08	2.0121894	5.7976887	1.895529	3140	370	383	27	87	303	1	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	297.148	1.5965e-09	4.40732e-10	0	59	5002728.3	5002728.3
7.101	16.165764	-44.8966	12.844	0	0	0	86787543	2	0	0	0	297.10225	16.170451	1.608598e-09	4.36021e-10	-1790.667	7.7091023e+08	2.3913596e+08	2.0122438	5.718305	1.8971776	3033	370	339	13	75	242	2	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	297.106	1.60741e-09	4.37952e-10	0	64	5085959.7	5085959.7
