# Scan number: 16
# Command: ascan monoE 8.233 8.313 10 1
# Date: Mon Jul 29 03:58:51 2024
# date: Mon Jul 29 03:58:51 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.233	13.894574	-54.5828	12.6694	0	0	0	86788214	1	0	0	0	297.51363	13.898342	2.82653e-11	1.421654e-10	-1790.667	7.7091023e+08	89392486	1.0119126	4.9941386	0.96137632	1287	61	77	374	80	491	0	0	0	16.997457	0	8.2308133	0	0	0	0	0	0	297.846	-5.22782e-13	297.521	2.90235e-11	1.42515e-10	0	31	80069.71	80069.71
8.241	13.880819	-54.5828	12.6686	0	0	0	86788218	1	0	0	0	297.48207	13.885842	2.971267e-11	1.462048e-10	-1790.667	7.7091023e+08	92038342	1.0120563	5.2247843	0.95917856	1327	58	68	394	92	501	0	0	0	16.997457	0	8.2380768	0	0	0	0	0	0	297.846	-5.22782e-13	297.489	2.96818e-11	1.46237e-10	0	27	84114.935	84114.935
8.249	13.867084	-54.5828	12.6678	0	0	0	86788223	1	0	0	0	297.4549	13.873342	3.131274e-11	1.524327e-10	-1790.667	7.7091023e+08	96069667	1.0120221	5.1624802	0.95977664	1516	80	78	409	90	626	0	0	0	16.997457	0	8.2453536	0	0	0	0	0	0	297.846	-5.22782e-13	297.458	3.13127e-11	1.51481e-10	0	37	88587.019	88587.019
8.257	13.853384	-54.5828	12.6671	0	0	0	86788227	1	0	0	0	297.42315	13.858342	3.432383e-11	1.586926e-10	-1790.667	7.7091023e+08	1.0013058e+08	1.0119037	5.1769038	0.9595184	1509	85	87	378	59	594	0	0	0	16.997457	0	8.2541032	0	0	0	0	0	0	297.846	-5.22782e-13	297.423	3.43238e-11	1.57954e-10	0	31	97042.759	97042.759
8.265	13.839704	-54.5828	12.6663	0	0	0	86788231	1	0	0	0	297.39382	13.845842	3.563341e-11	1.661533e-10	-1790.667	7.7091023e+08	1.0495953e+08	1.0121014	5.6349767	0.95506976	1594	78	101	418	57	641	0	0	0	16.997457	0	8.2614092	0	0	0	0	0	0	297.846	-5.22782e-13	297.394	3.56334e-11	1.65466e-10	0	49	100680.17	100680.17
8.273	13.826054	-54.5828	12.6656	0	0	0	86788235	1	0	0	0	297.35609	13.830842	3.290325e-11	1.712479e-10	-1790.667	7.7091023e+08	1.0830337e+08	1.0122643	6.5849678	0.94560704	1634	68	112	418	90	664	0	0	0	16.997457	0	8.2701939	0	0	0	0	0	0	297.846	-5.22782e-13	297.364	3.40175e-11	1.71156e-10	0	27	92906.341	92906.341
8.281	13.812434	-54.5828	12.6648	0	0	0	86788239	1	0	0	0	297.32381	13.818342	2.98187e-11	1.706368e-10	-1790.667	7.7091023e+08	1.0804237e+08	1.0117882	5.579666	0.95533376	1670	78	90	408	80	669	0	0	0	16.997457	0	8.2775293	0	0	0	0	0	0	297.846	-5.22782e-13	297.334	2.91268e-11	1.71264e-10	0	41	84142.625	84142.625
8.289	13.798839	-54.5828	12.6641	0	0	0	86788244	1	0	0	0	297.29609	13.803342	2.366748e-11	1.674145e-10	-1790.667	7.7091023e+08	1.0612559e+08	1.0119626	5.8771819	0.95248768	1608	82	96	395	72	639	0	0	0	16.997457	0	8.2863494	0	0	0	0	0	0	297.846	-5.22782e-13	297.3	2.36675e-11	1.67166e-10	0	19	66742.268	66742.268
8.297	13.785274	-54.5828	12.6633	0	0	0	86788248	1	0	0	0	297.26621	13.790842	1.937149e-11	1.61485e-10	-1790.667	7.7091023e+08	1.0248629e+08	1.0121398	5.9798535	0.95161536	1524	80	100	335	56	620	0	0	0	16.997457	0	8.2937144	0	0	0	0	0	0	297.846	-5.22782e-13	297.266	1.93715e-11	1.60902e-10	0	30	54592.674	54592.674
8.305	13.771729	-54.5828	12.6626	0	0	0	86788252	1	0	0	0	297.23597	13.775842	1.633042e-11	1.556444e-10	-1790.667	7.7091023e+08	98895050	1.0120416	5.2285282	0.95912672	1541	86	80	334	64	591	0	0	0	16.997457	0	8.3025701	0	0	0	0	0	0	297.846	-5.22782e-13	297.236	1.63304e-11	1.55368e-10	0	22	45993.018	45993.018
8.313	13.758219	-54.5828	12.6618	0	0	0	86788256	1	0	0	0	297.20425	13.763342	1.395755e-11	1.49349e-10	-1790.667	7.7091023e+08	95006154	1.0120902	5.5108446	0.95631552	1398	84	75	322	76	551	0	0	0	16.997457	0	8.3099648	0	0	0	0	0	0	297.846	-5.22782e-13	297.204	1.39625e-11	1.49166e-10	0	34	39285.09	39285.09
